CompanyCode,DocumentNo,FiscalYear,LineItem,Amount,Currency,DocumentDate,Vendor,ReferenceDoc
77362,512838993,1997,625,123,HRK,2009-05-16,58411,901
13251,7292991524,1980,646,820,WST,2009-05-27,74883,178
3974,2029260558,2018,35,704,INR,2013-09-22,23182,749
13178,2713361682,2015,726,167,MDL,2006-09-20,55412,220
96878,3174065521,1997,554,56,MDL,2018-12-26,65823,166
92635,3674403509,1992,249,352,BWP,2018-08-05,63857,528
91184,6064390744,1986,15,517,GMD,2016-11-23,22691,330
72401,2418498319,2003,198,825,CVE,2016-08-04,72463,745
33426,2110437913,1986,740,813,SPL,2023-04-19,53766,584
40194,9418708343,1990,891,191,BBD,2008-11-01,33863,530
12708,7251366091,2011,797,648,UAH,2017-12-26,86452,386
23979,6643882813,2022,898,178,KYD,2012-08-16,37480,676
3701,4728068599,1975,698,692,MWK,2000-11-25,3314,110
38949,4806965276,2023,378,857,MXN,2008-10-10,37539,800
47902,4597371763,2001,832,580,LBP,2006-05-27,2132,84
26279,8072687432,1977,730,761,JEP,2022-05-15,37279,5
19020,608457826,1987,848,422,HTG,2006-04-22,84142,862
84879,7544797317,1993,764,134,TTD,2002-09-01,75832,172
696,8304768456,1995,526,994,GYD,2013-09-24,3794,831
61333,324011238,2000,841,846,KES,2001-06-09,64977,811
24254,6454529056,1995,168,759,VEF,2023-08-04,53628,576
91898,4537899692,2008,92,175,VND,2021-09-23,26470,582
64170,4356000976,1989,505,114,SOS,2024-03-22,22160,770
71686,6901572172,1985,317,799,VEF,2023-08-19,89128,97
11272,6665213212,1987,979,491,TOP,2008-04-14,77832,33
21308,6622467516,2010,338,966,ISK,2015-04-20,585,236
24978,7272517647,1988,956,586,JPY,2013-07-11,32979,801
22148,7580791964,1988,798,751,RON,2023-05-14,51387,604
68717,1476204519,2014,633,87,CRC,2013-08-14,53288,269
10625,1258705281,2021,204,220,AMD,2004-09-30,34829,96
72843,3683838534,2001,160,319,ILS,2009-01-16,89943,989
25134,8107198530,2016,169,102,VEF,2000-08-05,53520,15
75572,8119162035,2003,509,927,HUF,2012-06-26,53866,73
112,3480396560,2015,935,915,SAR,2001-02-03,13208,832
48098,2731954203,2024,901,206,ZMW,2010-12-29,47907,234
24333,509348341,2013,618,190,SZL,2007-11-08,92176,407
13356,564840006,1987,107,898,SYP,2017-02-18,68267,754
63731,8283406297,1974,570,386,KZT,2010-01-15,1886,630
56942,6800000851,1977,102,126,XAF,2000-12-09,46309,989
12848,3819072419,1972,338,892,EUR,2020-05-24,92769,482
43596,695344192,1988,973,189,CLP,2023-02-28,43433,581
60778,8095397727,2012,49,834,RUB,2023-10-26,13260,887
73135,1543109593,2014,586,142,KHR,2010-07-09,78684,781
4877,7049017308,1990,302,684,PKR,2017-08-07,3232,576
19175,6945497332,2024,778,873,LTL,2021-05-07,95971,12
73160,4281475412,2002,810,276,QAR,2015-07-16,62424,167
32088,8014645637,1976,137,135,SGD,2017-03-15,14347,307
88336,5203179378,1995,414,195,HKD,2007-07-16,39004,448
6630,7850507009,1976,662,707,INR,2011-09-30,69304,388
3030,7680278253,2007,117,451,RON,2020-06-20,30446,184
44151,4822696191,1986,969,285,GHS,2007-04-19,26703,680
14620,7298022841,2008,627,895,ARS,2017-08-10,44011,254
67306,7682218939,1986,430,718,XAF,2006-08-16,59963,969
48824,8769414754,1972,291,182,KMF,2007-06-30,54992,949
78582,5315781965,1981,226,865,MAD,2017-10-21,34124,248
1041,1222548043,1981,806,13,SZL,2016-03-27,69839,845
92417,475241108,2005,135,578,MVR,2012-08-20,92836,994
54877,2236898398,1981,231,673,SBD,2023-12-04,54134,248
79614,1651032939,1987,841,694,CZK,2023-12-21,73133,686
46454,8859507963,1972,360,137,ZWD,2008-05-11,27012,613
31032,2558186506,1989,249,882,CAD,2013-05-26,71666,654
16123,4601346684,2019,352,402,THB,2003-11-10,98848,822
38116,9859690587,1973,614,272,GIP,2011-01-01,15445,100
36696,6380840997,1973,985,816,ETB,2018-09-24,82130,859
27754,8093088444,1979,37,750,ZAR,2013-01-28,35656,139
65190,4311483528,2008,429,952,BZD,2001-10-26,18934,448
48628,1831603784,1971,26,55,BBD,2006-01-24,29238,394
35758,3399308850,1983,138,384,BMD,2018-09-20,72654,316
43808,8189907729,2022,57,974,MUR,2011-01-01,80295,136
16055,7593697462,2001,651,663,SCR,2013-10-21,54729,805
74875,7074322194,1996,108,138,GGP,2011-10-29,79103,171
12551,2413544175,1980,805,22,BSD,2006-04-27,63361,739
36646,2335278909,1970,99,756,HUF,2018-12-14,25482,143
79745,9583147294,2007,91,907,TWD,2016-03-25,14499,461
31083,9878219372,1985,143,24,RWF,2018-04-27,68986,742
80041,424732149,2012,478,842,RON,2018-03-27,593,892
9547,5892992223,2014,951,486,YER,2001-01-22,86682,995
38457,1157209492,2000,998,822,SZL,2022-09-05,67057,208
44262,528368357,2019,318,369,VEF,2008-02-08,80112,983
94868,9301926256,1979,43,874,IMP,2006-01-23,18548,952
7301,9971698727,2006,748,910,DKK,2004-09-06,61244,997
40522,5271696484,1989,450,399,HRK,2007-01-10,36533,419
63672,8884433372,2019,344,618,BYR,2015-04-13,25403,61
39841,5513372461,2016,425,717,COP,2004-05-03,8803,487
35734,2223572514,2019,745,593,PGK,2020-12-15,49428,377
57260,382363516,2022,125,869,PEN,2013-07-23,25940,639
5787,5425502153,1984,890,289,KYD,2005-02-13,25990,197
80669,5875210057,1991,472,391,UGX,2013-01-07,46500,343
63269,8020407395,1975,966,684,KGS,2002-01-08,76637,752
94717,7360942962,1976,142,519,UZS,2012-08-22,70833,229
93290,7720048686,2023,35,829,ZAR,2016-11-08,10499,998
48461,3250165436,1995,868,459,DJF,2006-05-31,74727,661
35629,1439261750,1993,800,797,PKR,2022-08-30,56861,989
80229,5185874667,1997,8,866,MZN,2003-06-16,67066,373
69772,8459409954,2010,827,169,AOA,2003-05-24,55859,766
44672,7151169904,2011,797,397,MAD,2014-09-25,16232,340
9986,440517125,2012,146,760,AZN,2004-08-19,44147,26
70073,251838069,2009,721,58,NPR,2008-12-15,81535,468
34164,253409968,1988,14,769,BGN,2019-03-13,61703,71
1734,7284852574,1986,35,520,AOA,2008-03-07,69104,758
98149,9649986075,1980,976,212,NIS,2017-09-07,75279,719
39882,7169958001,1986,796,823,BBD,2006-09-10,91071,481
9424,8859320308,1973,29,955,GHS,2008-01-29,48747,269
58567,7610832526,2022,959,730,SAR,2016-01-12,49457,802
3469,4185657804,2016,8,128,AMD,2014-01-31,98072,431
98741,9129804749,2000,799,331,MNT,2002-03-06,18496,457
54382,6290868063,2019,836,406,BRL,2024-03-17,2108,730
14145,4208473448,1990,7,107,TOP,2004-08-29,174,658
7347,4158135055,1976,833,99,CDF,2015-04-03,46215,117
83393,2303570021,2024,469,465,BTN,2009-02-21,83102,788
58181,291234566,1977,985,650,SZL,2011-04-10,23002,666
70420,9713942752,2020,228,876,USD,2023-01-04,35555,240
50319,9659179588,1983,538,369,BND,2005-05-21,44577,32
64003,5191249722,2011,772,496,HKD,2016-09-24,49629,68
30456,9653236032,1971,691,183,SOS,2014-03-31,44126,248
93814,6451691967,1984,973,260,FJD,2005-07-22,5730,179
33336,1831574523,1987,101,342,GIP,2006-05-05,59595,439
59746,2312296059,1980,539,345,ZAR,2015-10-31,98585,59
6650,4895595953,1979,108,331,MNT,2020-04-18,51079,576
41329,3599717044,1970,267,520,ERN,2023-05-07,91147,404
62551,4504466503,1990,614,324,HTG,2005-11-22,45141,617
95709,1517509525,1990,182,834,ALL,2021-02-07,76947,309
34528,6649837300,2024,929,251,SGD,2016-11-10,88794,614
32804,6754332849,1994,329,246,HTG,2011-05-23,58178,366
69469,4300751437,2006,791,190,RSD,2013-02-17,25114,621
91041,551172205,1973,760,113,USD,2021-09-19,14052,414
53838,7456062,1992,524,172,SRD,2019-04-30,58028,975
33725,8069979680,1996,992,176,MXN,2019-12-23,99959,903
94329,6060166386,1991,739,630,DZD,2020-08-01,57937,509
37575,1613445503,2010,805,311,MZN,2016-09-10,20233,332
28908,7009820637,2008,289,572,BAM,2011-12-14,53554,189
30080,4446780115,1986,993,543,ARS,2010-02-11,41695,264
3983,8271928258,2001,909,888,TMT,2004-09-23,37224,376
24613,7593090168,1977,93,767,SZL,2024-01-06,22430,423
33575,5897536439,1973,924,836,ANG,2010-02-22,45889,575
9886,3585163506,2018,904,908,KWD,2018-02-03,96729,550
60348,743796206,2024,701,313,VND,2016-07-01,26844,976
55309,9051381197,1996,889,524,MMK,2006-04-02,76978,561
48343,2455547450,2021,562,809,DOP,2013-08-22,96771,436
71654,2012510601,2020,630,540,KPW,2002-11-04,42781,192
45441,4308982934,1972,240,796,KZT,2004-01-30,1467,439
41679,253249452,2024,18,995,CRC,2020-07-09,54674,373
15617,5355308987,1994,821,381,AUD,2002-06-15,34895,921
36200,9996099976,1988,412,299,BDT,2008-03-17,18005,8
32917,8092263182,2021,281,507,IDR,2017-08-29,49077,450
73450,4681306867,2005,889,553,IRR,2003-04-01,71610,172
90081,4716293624,2006,313,502,HRK,2019-11-01,37756,51
64801,5809743456,2002,685,667,BND,2003-10-19,23940,127
44844,976983127,1973,74,115,SAR,2000-05-18,69330,259
28548,3163400166,1984,737,447,BBD,2004-06-01,40318,101
54856,3057839818,1971,801,617,PAB,2002-03-18,34926,319
41025,9805884293,2002,277,902,MGA,2006-04-14,79737,841
31605,6407152226,1971,227,69,BWP,2007-08-21,46786,825
33467,44574983,2023,893,417,KGS,2010-09-19,13004,320
39057,3809772205,1972,306,571,BTN,2015-03-03,83314,142
72257,5154959579,1993,833,23,KHR,2003-10-14,20531,559
36403,6141104601,2010,657,170,CNY,2015-02-15,43545,357
5429,501561884,2010,886,298,BBD,2015-05-29,69914,186
90081,3887005232,1991,654,741,SVC,2023-07-16,97317,651
76556,4583853561,1997,193,544,EGP,2020-05-12,37107,396
5256,696347154,2017,689,156,CUC,2001-05-28,96361,173
26635,7558453830,1979,720,528,MKD,2007-07-30,57169,719
97474,8730522001,1992,402,991,YER,2004-01-05,5525,607
36695,7517968454,2003,439,844,TJS,2022-11-02,98425,279
40980,7975545227,1971,459,971,NAD,2010-04-16,49959,128
75430,8223672599,2000,352,358,MKD,2015-04-20,95262,385
21236,688248187,2006,677,666,BIF,2010-10-06,7374,724
26671,7649196634,2009,509,829,HUF,2023-10-25,56861,747
55771,679005863,2002,235,663,DOP,2006-04-12,58339,524
31627,8412522455,2024,845,760,KGS,2012-03-10,88856,836
19802,9512067593,2020,259,858,NAD,2015-03-08,50349,327
19270,7053541068,2017,239,554,SYP,2016-01-29,68174,896
39293,2141201774,1990,751,135,AMD,2019-07-10,15547,996
69314,7722049530,2017,820,355,LKR,2003-02-18,61256,544
63395,6516848832,1973,524,671,RSD,2021-02-22,3684,230
35705,7695742000,2010,485,160,MNT,2005-02-21,82398,811
15220,2846175314,2016,285,877,JOD,2004-11-06,98357,221
2081,6144187658,1984,64,936,MXN,2002-05-30,15227,408
37080,6762025275,1994,577,498,SRD,2021-03-08,92010,713
79061,9263294381,1973,987,501,MWK,2008-03-28,97448,441
42767,7008930802,2005,892,404,VUV,2015-11-27,64244,30
37264,1285563777,1971,125,957,CAD,2023-03-26,52217,295
51553,6633636393,2018,521,355,MUR,2012-07-20,89798,261
39550,1434156976,2002,949,935,CHF,2001-08-23,67198,980
50614,7510339758,1981,693,252,BZD,2001-01-01,72862,843
50,8071785125,2009,996,861,KRW,2011-07-03,57347,315
37390,2665557015,2024,756,653,KGS,2009-07-25,40300,314
93832,5391076591,2001,965,361,KRW,2009-10-26,97495,733
39642,6608153148,1984,167,205,LBP,2023-06-07,28592,527
18981,1522356640,2003,717,490,PLN,2006-08-29,14246,961
12757,5020367645,1985,368,684,GYD,2020-05-10,68647,779
29878,9242398746,2015,336,780,CNY,2015-01-14,19679,629
17117,8790925273,1999,273,958,KMF,2015-12-05,84525,453
93048,9538015566,2014,716,333,MZN,2013-12-18,70708,54
52741,3898469809,2002,667,606,XPF,2021-04-08,69095,787
3241,5484103785,2020,413,596,KRW,2005-03-19,71553,520
48616,9053549090,2023,341,854,CNY,2011-09-05,40860,994
71203,7011354431,1994,192,506,HUF,2003-06-23,68031,107
24094,7637952536,2023,629,299,IMP,2007-07-05,80353,256
48658,3044292266,2002,423,620,NIO,2015-08-08,88384,161
74302,2822621147,2019,404,199,BAM,2021-03-18,12026,680
12967,9523689235,2022,741,698,BGN,2019-10-28,65909,887
13223,8835576552,1997,226,689,ARS,2014-05-12,5173,723
56355,8473392246,1989,287,844,TVD,2005-04-12,87657,109
21067,8842633114,2018,454,801,DOP,2012-04-21,8967,374
72251,7808792159,2019,398,997,HNL,2004-11-26,85509,721
47054,3544901741,2001,968,593,MGA,2021-01-05,40774,992
93563,7187247544,2019,363,875,UZS,2006-07-21,21991,269
75339,9035228343,1996,444,5,LRD,2008-08-19,39872,705
31931,3885088625,2021,861,682,VND,2021-05-28,56158,7
50157,1147428841,1988,711,427,ARS,2007-10-25,79324,882
80705,4493141643,1978,516,859,KGS,2014-07-08,91282,705
43461,8962634480,1978,999,526,ZAR,2003-03-27,60868,462
72921,1638925766,1997,775,257,PGK,2022-01-28,75306,848
40768,8494869203,1973,131,953,LAK,2004-06-06,42318,933
55128,9247883327,1984,414,765,BGN,2007-11-29,8348,665
19914,3434215280,1989,830,309,AZN,2016-05-03,12164,61
25244,6022317095,1974,547,99,MRO,2010-12-11,95726,128
93539,4933561657,1979,104,757,EGP,2003-05-13,1928,496
22128,7951685948,2010,617,597,BAM,2008-03-29,50269,454
9122,1327103953,2022,195,869,STD,2016-09-28,78017,481
20430,2789613335,2001,46,324,CLP,2004-11-16,6105,441
95525,594851711,1973,356,996,GHS,2015-12-16,52139,151
17846,9774240125,2005,777,742,NZD,2004-06-21,51985,947
79630,1448736596,1971,668,908,THB,2001-04-12,71281,385
93728,515306375,1978,731,658,CNY,2019-05-08,29757,968
63082,3859143117,2009,717,347,XDR,2004-06-27,10279,197
97570,744695772,2011,82,37,XPF,2010-12-13,3646,836
2745,3442964600,2010,44,990,DOP,2011-03-12,42996,677
33063,2944575985,2010,186,297,AWG,2006-12-09,73217,162
20136,7129002249,1983,19,222,UZS,2009-09-07,84034,564
1266,8309242641,2009,878,167,DJF,2002-01-31,84005,977
76344,6026600215,2012,358,955,BBD,2019-02-05,90051,564
64267,2320837422,1988,96,119,BDT,2003-03-28,83659,244
42922,6946662721,2014,720,596,ILS,2006-01-08,51650,870
89141,5365716393,2011,715,209,BWP,2017-12-25,47930,312
50374,6937632118,2009,77,647,IRR,2013-05-07,91189,183
37804,7329754985,1971,397,328,YER,2020-02-09,46309,926
4090,3677769083,1990,371,35,TMT,2018-07-26,4414,742
99972,4764901315,2011,175,831,SLL,2019-05-21,81826,395
2881,5382770343,1972,581,752,ANG,2000-06-16,91047,798
40296,4871740436,1997,149,826,DKK,2018-05-25,69965,890
56065,8934884524,2003,404,224,TWD,2007-01-30,45309,352
32351,760784472,1973,731,591,BBD,2018-04-12,37096,308
31183,4092920711,2019,399,394,THB,2000-05-16,68445,929
28826,2783017072,1979,388,34,NGN,2007-07-05,23276,497
27734,3908691805,2011,217,307,BWP,2015-11-16,33128,125
23213,1422361285,2018,380,281,SBD,2002-12-26,86713,21
31420,606688595,2009,125,926,SYP,2012-07-17,13686,145
43387,7478293384,2014,73,403,HKD,2011-03-19,40925,926
88356,1818538844,2022,181,734,KWD,2002-11-16,76947,363
29937,691836985,2014,857,869,GEL,2004-07-07,57159,24
31824,3308840401,1992,505,698,XOF,2007-06-02,11234,895
77514,1223838946,1992,149,237,BSD,2004-11-21,51285,365
92184,5530178905,1997,20,835,XCD,2001-10-16,15415,645
71828,6687323744,1980,160,160,KHR,2001-07-01,98072,452
64560,5298367389,2013,83,324,SHP,2018-02-08,35820,630
18127,9823824850,1992,119,737,GEL,2005-01-13,186,409
7441,1675544821,2024,552,902,AFN,2020-05-26,7543,835
99895,7030707365,1983,950,991,IQD,2012-02-25,53815,53
88054,9985763931,2009,235,406,UGX,2009-02-22,47829,620
90223,8891786579,1973,217,473,BIF,2009-06-08,99563,121
26646,2716546790,1982,722,453,TVD,2018-12-30,42384,502
43040,3296902506,1999,213,218,CDF,2004-07-24,28108,485
29565,971509822,1971,633,37,VND,2004-04-02,38590,497
86478,356007507,2013,563,755,AFN,2014-10-12,70630,964
84947,3627016164,2016,365,564,IDR,2018-11-14,25567,144
42669,4333179064,2020,790,586,SGD,2016-02-04,55334,972
96633,7662324963,1996,477,382,ETB,2017-01-19,73882,57
30119,9242609385,2023,297,34,BGN,2021-04-21,5718,212
28317,9623307972,1981,503,883,HKD,2007-09-23,94673,28
15898,9805715072,1997,708,796,COP,2010-09-08,79707,468
24475,8601906037,1976,806,596,LSL,2012-04-02,67596,960
98298,3619323841,1990,547,122,NPR,2008-08-28,63850,325
72485,1127721653,2002,843,858,JMD,2003-05-15,62737,922
63914,8550897161,2000,112,211,MKD,2012-03-23,39263,314
31466,4824938346,2024,209,353,BND,2003-10-30,45810,366
24895,2462145380,1979,133,358,PYG,2018-05-25,20343,275
59809,1586373657,2001,667,920,MXN,2020-03-27,82132,529
75242,108366066,1983,399,655,MYR,2022-12-12,90730,157
37390,1512520434,2009,966,628,AMD,2018-01-11,77939,762
28199,4243760009,2009,636,736,WST,2023-11-10,63873,196
66390,8456775484,2017,694,230,UAH,2000-01-21,68414,420
41574,8419082900,1970,679,211,PEN,2017-10-24,1629,10
67359,6909449802,2000,978,318,BSD,2003-12-06,94683,491
63489,8327222499,1989,183,452,ETB,2019-03-01,29428,106
78578,3684994716,1997,523,899,YER,2016-11-09,60494,552
99911,6860301138,2020,160,766,SYP,2012-06-23,53068,342
59908,808899942,1975,509,117,TVD,2019-04-19,20519,608
66203,6127548585,2023,583,579,PKR,2019-01-31,76067,818
2351,8983133379,1999,855,57,XAF,2011-07-31,99827,456
45795,2379082818,2015,568,290,BTN,2006-09-06,45366,549
95636,4881562330,1995,200,838,ZAR,2000-07-24,14488,464
35117,5083221337,2004,23,252,NIO,2007-02-21,89141,298
26406,3839823354,2002,680,111,SHP,2017-11-28,96167,870
16365,565722095,1985,243,375,VND,2022-04-26,18218,193
7416,5470149867,1986,474,361,AUD,2023-10-19,25614,207
34691,5372111852,2013,316,355,BTN,2008-11-17,89065,357
72419,9297222939,1991,300,24,ETB,2011-09-20,92452,248
28670,2865128932,2003,257,449,BSD,2008-08-10,85073,215
91467,5496199196,1998,159,48,BOB,2014-12-11,45004,926
45345,7888359675,1989,30,232,KPW,2007-07-30,87293,972
22519,701578742,2014,390,307,UYU,2012-11-23,80350,118
78676,8585538019,2004,846,819,AOA,2012-09-12,58445,42
33426,269041773,2017,175,602,AED,2017-12-06,7926,399
77814,6501655393,2020,711,20,UZS,2020-04-12,73192,514
91633,5783140559,2024,744,792,CUC,2023-08-20,26056,989
85651,4781076513,1975,914,247,ETB,2012-01-02,46797,940
48699,1815883167,1988,495,687,LBP,2017-07-20,53151,160
71378,5985544854,2001,621,739,MYR,2000-01-23,82610,817
15585,1579260894,2011,3,612,EUR,2008-10-04,30878,895
21611,8043241614,1977,933,140,JEP,2004-01-18,89924,298
90668,6082310682,2011,371,760,IQD,2019-05-15,1395,403
86807,4937581233,1975,543,378,GGP,2015-08-24,95914,172
49025,6875548577,2004,852,92,ERN,2012-07-14,33887,870
57987,1839711842,2014,600,162,GTQ,2016-09-21,99743,734
26646,3618912971,2016,419,312,HTG,2000-09-13,32995,43
74706,1980575283,1977,770,842,BGN,2014-10-06,32220,327
33376,7110205481,2018,260,203,CHF,2005-08-10,5746,624
93344,7773817032,2011,405,544,HNL,2021-08-22,96639,167
20135,8552444244,1988,935,432,PKR,2010-10-05,58002,809
23794,8299647809,2001,83,532,BTN,2007-08-09,42288,162
94309,9543396762,1974,608,898,COP,2014-10-21,68720,43
82230,1717695433,2000,510,788,AOA,2009-05-29,69049,472
38910,8811704106,2013,360,717,RSD,2021-11-18,74080,41
32510,2979298912,1992,278,707,MGA,2004-06-24,28483,579
46844,1003623392,1987,513,6,JPY,2010-12-09,96634,137
83774,8676430768,2001,695,6,LYD,2010-03-18,86766,880
80695,2342194157,1972,893,262,IDR,2002-08-28,81564,565
62594,5677134779,2014,659,897,IQD,2022-07-12,5730,358
60165,5594421369,2012,521,914,LSL,2007-08-17,25707,526
13983,1089495311,2003,902,448,UGX,2010-02-26,81275,560
48343,6999712989,2016,149,680,NIO,2002-04-12,58085,204
72899,4406788891,2009,200,647,SOS,2015-07-24,28033,437
32999,6161474412,1971,799,748,GTQ,2002-04-20,33495,933
10367,8182483698,1989,159,402,AWG,2008-05-07,90911,175
88929,4425196565,1976,588,6,MUR,2016-01-18,51376,614
39568,9430986978,1978,491,502,SEK,2001-02-01,57099,220
90340,4441034205,1992,380,831,STD,2005-04-23,2736,168
53429,425470004,2022,913,512,ETB,2011-03-03,96864,439
60818,6085782524,2008,242,836,MYR,2012-02-11,54701,492
57119,4012609003,1981,331,838,BWP,2015-04-07,10888,875
45933,7303783972,1973,584,348,SBD,2022-01-27,76973,847
12671,1753512473,2008,786,409,LSL,2017-11-07,80873,394
48948,6317644588,2024,579,802,MVR,2013-03-11,63394,797
44470,8843038735,2011,711,945,BWP,2005-01-26,84519,432
11134,121206070,2008,414,405,PHP,2022-09-21,71655,543
21987,2004140739,1999,638,380,KPW,2007-09-22,65902,102
43329,7042745720,2013,821,409,PKR,2009-01-17,11615,809
22152,4697203966,1971,814,961,YER,2018-09-27,77634,94
56983,3183508016,1981,677,376,CAD,2003-01-13,15566,156
12287,529963333,1995,802,343,ERN,2000-05-08,34765,35
15784,1926162692,2006,301,481,SPL,2023-08-15,89194,587
