CompanyCode,DocumentNo,FiscalYear,LineItem,SpecialGLInd,SpecialGLTrans,Vendor,ClearingDoc,ClearingDate,AllocationNo
72988,7389482161,2011,370,8xS1,89LT,49963,9622rskZG2,2019-02-11,1913xEyvA7
15119,2147474613,1992,346,2KF1,00jF,5200,0947YpHXl7,2016-06-20,1176LnTEZ1
15119,2147474613,1992,996,7pr6,78BZ,1652,9582CIwrJ5,2005-02-01,0514MjNzk8
15119,2147474613,1992,169,1vl8,55Hx,47568,4953ZiCHa5,2010-10-20,5915sfonw1
60207,6412914693,2008,431,2aP8,66GJ,49309,7756BXXYk4,1992-08-09,8245Rogus2
60207,6412914693,2008,449,9ui4,09Hj,67713,6101lNeyV4,1970-04-06,1855okhds1
60207,6412914693,2008,233,8Gv1,96AF,8632,6845hSjga1,1998-05-15,4292ZQNxZ0
10997,1528447046,2007,475,6GC2,88Qo,8723,5355hilyq4,1982-11-20,9982XGsnQ4
34452,5309073190,2021,43,7fg3,36zE,23363,5570zKbxS8,2001-06-12,8385OdbeA4
44132,5384561627,2007,512,2vB8,86iy,38190,6442QAWYG6,2001-02-18,2808euVOF6
44132,5384561627,2007,968,6Rq1,74JY,70926,5371Pgqxr4,1988-06-19,5270XZhsP1
47289,373820388,1986,172,1sd8,42QK,37968,0921arzYV3,2003-09-28,1742JWzus2
92157,5418558967,1978,304,8Ad3,73qh,30245,2998xAMhj0,2005-02-03,7425nRIeq8
92157,5418558967,1978,355,5Ix5,51qu,517,0705FdYBL4,1989-09-24,4045JuTFu5
19985,5404945978,1994,785,9nL8,29hQ,24298,5874FDGSs2,1993-07-02,3596VOZjl0
19985,5404945978,1994,469,1Zl9,66Cy,13887,0566icMks7,1992-04-11,1399GJNDX8
55817,6747512011,1986,237,7AU3,32KM,8567,7114ElMrD1,1985-05-29,6965srtLX4
22480,7364927037,1977,220,5Vf6,44vg,30728,6817dUgUA2,1982-09-15,9442bJSMP1
22480,7364927037,1977,764,9vq7,90VN,41023,0361ayAgr0,2016-08-23,0826FGMSQ6
49477,2856845638,1999,156,4ch2,97hm,2776,7698ggkAI9,1975-04-23,0957YrSsv0
49477,2856845638,1999,212,1ma3,87iF,82411,0570CkTPa7,2010-10-11,2710Ghjff4
81189,2258391555,2001,751,9Aq7,83eA,84898,0276IOjvV3,2022-09-12,1913uWRiL2
81189,2258391555,2001,567,3or9,00vj,80322,8093JAfpm2,2002-03-06,3448txMqQ5
46601,7040990826,2013,508,2nF9,83Ox,55600,4510jihKs4,2003-04-22,9637fMQtA8
46601,7040990826,2013,340,7sI9,73Kg,53018,7992MTJws0,1987-06-15,6530CRCzA1
46601,7040990826,2013,327,4ZC3,04Ep,31438,8100ZhmJQ8,2012-05-26,8702ZKTjp4
86529,6970599981,2013,91,7ou6,24Ea,47102,5403DmsNg1,1991-09-14,3874vasaW4
86529,6970599981,2013,590,1aa9,62PA,14074,9319TeTmo5,1988-10-03,7273fjbXX9
99988,9674667947,2007,716,4zp2,43ui,83071,4178CVKPp8,2017-11-25,2606HWIyS5
36450,2879940566,2009,474,7oD1,95bt,48045,3305zQPNX4,1983-10-23,1277FKUAA7
43493,9151926848,2014,716,6Rd0,80bW,81888,7246ZKUXt4,1993-10-08,1271lrlYO6
43493,9151926848,2014,974,7ij3,04Ui,75761,7096ewZlA7,2016-06-09,8081VKQAg5
43493,9151926848,2014,155,5tC6,04WH,62989,9652AywkI7,1970-03-25,0007KFBbj1
81541,3846219603,2012,934,0lq4,25Tf,33993,8499ooepA8,2008-05-30,0273VuSNi9
51256,3448154048,1993,884,4tc5,46DB,32483,8608NvMEz1,1987-09-19,2522fhZtK8
51256,3448154048,1993,127,7xW1,04Lm,13182,4852scHCt9,2020-06-04,5130ohiSi1
13417,5041573244,2022,415,7Ah9,43TA,60713,7751MHJOF3,2006-12-02,3910nMtHq2
13417,5041573244,2022,498,0Vq4,76Lf,41902,3920kaJwa6,1986-12-23,6893gnwFj8
13417,5041573244,2022,526,1qU7,22jk,67092,1573bWSjp7,2010-01-08,6026wjOhN5
88295,8815724861,2006,800,1fQ1,46Xh,81931,3229xxuaX7,2018-02-15,8327iDTOd6
9878,720193149,1976,242,1eh7,07JS,5255,0431rodOJ1,1977-10-30,3254dmnly3
9878,720193149,1976,448,2Is9,07lI,38727,5886kAuIs1,1978-04-02,2386liwEY5
25322,3376237130,1991,937,1Uh2,94Lu,71674,5453eYcNH5,1973-08-11,9237mKUzV9
25322,3376237130,1991,396,4YW0,91Os,94352,8004VSnXi3,1993-12-02,1263viwDM8
86807,5837592711,1973,801,3Ox0,41nB,46975,5514ffyCL1,1997-01-06,9986gpXEs4
86807,5837592711,1973,779,8Yh4,08Gi,66190,5132vErev2,1976-03-02,1311kaWYT3
86661,2883879979,1991,384,3DH5,07jm,54078,8364dssbu6,2009-09-29,3474fimXS0
86661,2883879979,1991,783,1eQ3,33hC,2518,4018cdKkL5,2007-05-15,5025SdNni0
75597,2521560495,1994,437,1jc4,37fQ,54451,2905tGyhm8,1986-11-11,7389khhho6
60816,1106540490,2003,418,1fQ8,99PF,66029,9701mpMsq6,1992-07-07,7071BupuI5
60816,1106540490,2003,488,7BC6,47ZE,24362,7269RyFOH9,2019-12-06,2452YWdeH3
86129,9584403139,1981,207,6tp6,10Zb,35635,8839sRsob4,1995-03-30,4647YyjNu2
86129,9584403139,1981,891,2Hi5,30rI,75551,4963PSUxc8,1986-01-15,7211KlXnW1
34432,2210102360,2017,521,8xc0,06QU,91696,6193lEbKi7,1987-07-06,2238MudUb9
34432,2210102360,2017,182,0IQ9,32xk,57140,9949bWBGX7,1999-07-08,2589TpMRj8
60192,5356412810,1978,138,9gy6,31iP,67489,7671samBS7,2009-08-23,8735jqDNK6
60192,5356412810,1978,409,3Dn8,23lF,96328,7173JRSHs0,1993-02-07,0334gjpIr1
23472,4803684405,1975,590,0gh9,64GH,56421,5872TyvaH1,1982-08-22,9098xCEGa4
23472,4803684405,1975,317,0sa9,85CN,15494,2146KAnYh1,2010-01-07,0301UuBex9
23629,7530407711,1980,751,4UE7,42tn,84407,4566EkqNn8,2015-01-04,7556INcjn5
36364,463509511,1993,874,3pq3,25rB,39410,4764kbufA3,2005-08-21,7413jxHrT9
56674,5838264448,2011,796,0zs7,24UW,40634,4905gjvjn6,1989-01-14,6467sjItZ2
41404,5681731798,1992,301,8MZ0,58ar,43018,2127BeYhm1,2021-04-29,5859EPqQc0
11573,7361961257,1976,912,1bu5,87aL,1120,5972yvKJl3,2010-04-01,8418twmoU7
93562,9810089161,2004,207,9yG9,65EB,45585,3680WwZxp4,2007-01-10,9856XggvU0
93562,9810089161,2004,453,8tj9,08HZ,35956,7424pCeuq2,1974-05-22,0364VfSsc7
50338,9481392065,2015,4,1PK3,66GR,17877,4071YRQUt0,1971-05-09,8699HPnAx7
50338,9481392065,2015,754,1hS1,03Gs,95289,3398jBADX4,1987-09-19,1521HLdSZ6
40495,2128906563,2009,631,2Ii0,49yf,58628,7946ZPXAq2,1981-07-26,3843oVCpt0
53322,2594926091,2021,446,7Lg0,25cj,44404,7489LiXtD4,2001-09-14,4713FrLkt3
53322,2594926091,2021,580,3RN9,67Uh,31798,4557mjacu3,1984-12-16,0872jRNJu0
33777,1740933888,1995,394,2UP3,10zX,19128,6107trdpw6,1991-11-03,9505iElVL3
33777,1740933888,1995,280,8hd8,93Pq,11983,1979VBQdr9,1982-11-08,1426mCoIw1
33777,1740933888,1995,563,9mc5,01la,47809,4174FdSfP6,1996-02-18,8997cDvXs9
39559,3464867827,1982,725,2Xp2,50cv,13258,3395bwAUh3,1990-03-16,8189ZeKku4
39559,3464867827,1982,312,8lQ6,36tB,34405,1711RbJRg6,2006-05-05,0480AkRKQ1
39559,3464867827,1982,221,7zt9,36fy,67985,4170FeZxa6,1995-11-25,5829UdmeH2
84315,6394531697,2001,429,3WQ8,88Nf,57123,5266wJsOQ9,2023-07-06,3030FTxEJ9
73599,4341380386,2022,598,9dr8,93TU,70871,0907NnGXX5,1984-12-05,7835lpTkt4
66735,288714683,1980,89,9vk5,01QA,793,0679kKwNs9,1972-03-26,7995xWLXL2
7347,9474006381,1988,921,9rb7,91bd,16738,3409roylD1,2014-08-30,2783DaYnT2
7347,9474006381,1988,905,9bI3,81ON,54665,4937nNZsJ7,1999-01-30,5585PsNPw9
15325,5965285311,1989,16,4hE6,14Ax,98111,9744TdYDo3,1996-12-10,9448HjnLs2
44841,2961254533,1973,429,3xg9,59bd,82782,7086hBhSA1,2023-08-10,9784ZDioh2
44841,2961254533,1973,303,6fm6,45gb,83531,9600FippL5,2023-12-06,6187ECxzs5
97416,3411176189,2000,49,7oX6,76ic,80305,7539fYsfZ2,2004-04-07,5694iLabz3
97416,3411176189,2000,509,9oX1,08IY,42438,3429XEcLp0,2009-12-21,7837aDfEs5
97416,3411176189,2000,35,5ID2,95NN,55869,6468ecOfz4,2013-02-14,3193tgJUI3
64749,2012943330,1983,756,9TG0,01fk,12812,2980pfjwI7,2023-07-19,7290RCvwU9
64749,2012943330,1983,218,8SY0,40DN,31676,1668QjBvU4,2003-03-05,6373kHEbJ5
28317,3626303145,2022,223,8cl0,44xZ,24901,3202svBLX3,1973-06-15,4465vSSKt2
28317,3626303145,2022,174,6Gv1,34bR,99640,6395xnAvm5,1982-06-03,1937nfPOO3
22451,8253110846,1995,832,5bj1,86Jk,41132,1349GxFyF5,2007-01-27,5883vLuDR2
22451,8253110846,1995,388,4CK2,50ah,43545,1305tbWhf6,1992-01-12,2002nYmja8
22451,8253110846,1995,639,0Cv8,36yN,74754,4463UcxdG2,2021-04-25,1415APaXF3
5591,3720662354,1980,876,5Hp0,35cW,82835,3292XZjEM6,2010-01-02,0120ZoAoS2
48635,9596200030,2019,340,0Ki9,02HZ,84808,4205jVxuq5,1973-11-07,9563HXurN0
48635,9596200030,2019,838,7jJ9,55xc,19063,3789UCUvi0,1979-05-27,6624nPMTa5
48635,9596200030,2019,169,4eh4,24an,19021,4695YqGEP9,1978-04-18,6448gGLaV9
38502,9268747068,2011,714,0Cs7,36rA,35697,9992dIpJV9,2000-03-11,4650yoxIF0
38502,9268747068,2011,179,9Pb7,55oF,88541,8184PFiNr2,1993-09-19,6510QgnNv4
17183,6910015398,1983,469,6yH4,37xr,64322,8920qYuyP4,1975-09-14,8941uHKmz0
17183,6910015398,1983,349,2ve8,63EO,153,4660tERVR8,1984-07-15,3232hRehS9
21951,2424121870,1992,135,5cA4,30Fo,99279,0074ENiEW0,1988-01-17,1076aatyN2
21951,2424121870,1992,754,4iU7,99uR,61740,6384nOXZw1,1998-11-28,1887Yajvr6
40761,183393841,2024,578,9FN0,15Qm,59285,5695JHFvU1,2001-10-01,7575tcQAj2
40830,6330761423,2021,396,5xI5,74Jz,872,0708iBmny7,1980-03-09,3638IeUjM7
89822,333497192,2009,121,3kC4,08Lx,39554,3604VBfFC1,1987-06-07,9289yoipG7
74695,1749042983,2005,655,5ow7,49zt,81826,2060zvCrC0,2013-02-15,7947qiNxg4
74695,1749042983,2005,973,3nN8,61gt,7829,3398wixcP4,1981-12-13,0137WLcVi2
96036,1218146788,2008,562,7BO3,33cC,49563,4397gDlwZ7,1978-02-21,9480theoc0
51543,3164325348,1977,243,7Ua2,97jm,5072,4493VpfyK5,1984-11-27,4963cdFEr8
30522,4285627964,1979,621,4UQ3,02eW,12780,0061hmbDb1,1995-11-30,8866kKbyb8
77362,512838993,1997,94,2Sz3,32Mb,74330,5503MYtXo3,1971-12-04,0210LxcKv1
13251,7292991524,1980,177,0hM6,89LL,66550,0611URfRk6,2015-05-28,0016UKPYu1
3974,2029260558,2018,498,6NQ5,24Mx,68870,7303XGCiK3,2012-05-13,5844yFJmj8
13178,2713361682,2015,870,7sc8,98Na,1454,0595NrUnH2,2016-02-24,6112Vvtdb1
96878,3174065521,1997,286,7Qd2,13hG,67994,9665btour4,2004-03-22,1769IFGfj1
92635,3674403509,1992,802,2fV8,04QE,36729,8314iDxaS4,2015-07-15,9850vKWaQ5
92635,3674403509,1992,760,4VB9,68jS,62991,7530HyJKn8,2004-07-29,9889RTTxC3
91184,6064390744,1986,27,0Nr7,92Xr,26056,2725PBYAx7,1977-12-23,2334cSDCX5
72401,2418498319,2003,144,8Qy1,84gM,246,4343QVfYA0,2010-05-20,1644MaffO5
72401,2418498319,2003,161,6KF1,07MG,45151,3055jbNFf5,2003-05-06,8307sPtOl4
33426,2110437913,1986,258,4XV7,76pQ,20051,8028xXEpv2,2000-09-10,7090LZPBy0
33426,2110437913,1986,324,1hN1,97wH,10413,4496TdRKb6,2014-11-13,8893rmPQu0
33426,2110437913,1986,655,9Ez8,24ce,68318,8183oFhAy9,1977-02-07,0898iAiNv5
40194,9418708343,1990,712,6TO9,60bM,41531,1766WOuSP8,2009-03-15,4597sbiob4
40194,9418708343,1990,361,5mU2,68bE,68662,3356TYPwj6,2007-09-28,0472kALvm7
12708,7251366091,2011,774,1iF0,35NW,75874,8433aGlAr9,1986-12-30,5018TvPno6
23979,6643882813,2022,645,6vt9,70ZX,20046,9810eIqdF4,2005-10-15,4173begbK5
23979,6643882813,2022,111,0Zo2,17Zw,98894,9136rCseS4,1990-01-16,3385lTvne1
23979,6643882813,2022,96,8Wj2,38uC,68982,2774EWmPy5,2006-09-08,3366xznVg0
3701,4728068599,1975,738,9VA4,41zK,14724,1338LssKE6,1998-01-09,0840niYpb7
3701,4728068599,1975,250,3np7,82zd,44555,3872JiCUt8,2016-06-19,3086oMBLf5
3701,4728068599,1975,338,1mU0,42uN,75288,3849TtpCz0,2006-10-23,9107NoPVn3
38949,4806965276,2023,963,3oB1,80Zg,64134,0922DdTPC7,2018-10-07,4131mZWnk9
47902,4597371763,2001,868,2rH2,89lG,27208,1304OVmRQ8,1975-02-24,3477IZkst4
47902,4597371763,2001,962,6Dw7,92qH,72189,9064inoXS7,1972-01-27,7831ZRbjc2
26279,8072687432,1977,794,2bs6,35zh,43418,1979McPzj7,1978-01-15,0077DGCgb9
19020,608457826,1987,451,1GC1,92mK,30824,9017QPTjd3,1984-06-29,2607gINBh6
19020,608457826,1987,772,9Tq4,86HZ,74460,3775UbLMZ7,2000-11-20,6885mrUBA8
19020,608457826,1987,65,4Bc2,74Yz,55692,1228HvBmV0,1972-02-06,4592JBFSa0
84879,7544797317,1993,169,1Rt2,61RH,57381,8758VBtQl4,2011-04-03,9400iuqQT5
84879,7544797317,1993,476,2BC8,16GI,49767,8658UCxrz4,1977-12-15,2307YxtVx7
696,8304768456,1995,577,1jB0,62mx,37280,8824FPgsT8,1973-04-14,5971nyxak1
696,8304768456,1995,482,3pq9,51Or,71535,7523aVQjP8,2003-11-22,0964hsHVV0
61333,324011238,2000,662,7nI1,55NR,71863,3856nBtTo6,1997-02-18,3902VMWlC9
24254,6454529056,1995,80,3YR8,17jd,33728,8324jzXLF4,1986-05-06,9493iywEF4
91898,4537899692,2008,208,1iD4,17Il,16486,8142gVirE5,1980-03-13,8595DRCPH8
64170,4356000976,1989,920,1DY2,72zM,7483,0111eUkrW7,1981-03-10,2278LmcrS6
71686,6901572172,1985,920,5Eo5,23UN,80485,5432aVTnk0,2009-01-31,7559KkSqY4
71686,6901572172,1985,974,3qw0,21Ni,67567,4112CCViq5,1971-09-30,5932pxsJG5
11272,6665213212,1987,567,5mf2,02zr,48199,0978SpIjF2,1989-12-27,0887odJLl4
11272,6665213212,1987,778,5wO5,43PN,82762,5415fRWop3,2017-09-23,1655DPtWg9
21308,6622467516,2010,41,8vg6,80Yx,42341,3463BTNiN9,1983-01-09,2184KWlDg3
21308,6622467516,2010,394,9hl5,76PR,80962,4175UvjHT6,1989-04-27,1787dwgVD3
24978,7272517647,1988,753,6LS5,28iK,55924,2350JlcCm1,2018-03-17,3719GQPWo2
24978,7272517647,1988,446,9BB7,30fE,16879,5445LDMgN5,1970-12-13,4013RWoAr8
24978,7272517647,1988,657,8Tk0,31no,98737,9728SSChX5,1991-07-05,0233GwsYO7
22148,7580791964,1988,386,4ZZ5,88fl,7937,7622XcxPZ3,1982-06-05,2086RpjdA4
22148,7580791964,1988,964,8YU0,72NG,26703,1359nZcfD9,1974-02-21,6685gnwBB0
68717,1476204519,2014,620,1Zq5,14mv,14055,7785amtDT4,2016-07-30,1408oJVLl5
68717,1476204519,2014,68,9ur8,26dI,42562,9493cALOF9,1990-10-22,6364cknAe5
68717,1476204519,2014,53,3vI0,70Wu,93047,7975xoNFf5,2021-10-18,7812eDjZH1
10625,1258705281,2021,723,7Kg2,46ly,73766,6531WNNEz0,2008-05-29,3867UYSoY0
10625,1258705281,2021,881,4Ke1,51FD,43433,7911SqugR7,1988-10-01,3644rhvCc1
10625,1258705281,2021,150,4tT9,67mX,43022,7297Wfimn4,1971-12-10,5177hWjUr3
72843,3683838534,2001,893,3SP3,89Ev,4400,8039vfPzx8,2022-04-21,0130BfWqx5
25134,8107198530,2016,423,4Gn3,22pk,38426,8586BWqhv3,1972-08-26,6296esCkC0
25134,8107198530,2016,443,7ph3,12mH,29268,9873FiBHN5,2002-12-13,5823QgOuO8
75572,8119162035,2003,311,7ZP2,38uu,12484,2587UUJiQ2,2024-01-27,4567AlRse9
75572,8119162035,2003,515,5BQ6,51Sb,90416,4296vDdva5,1978-10-28,7537uckqn0
112,3480396560,2015,983,1mj2,54gb,34685,8507ZUWbt7,2016-08-05,0027iDcCa0
48098,2731954203,2024,163,5Ee8,72dY,30579,0646wWHGL1,2019-02-11,4844yTpwL0
24333,509348341,2013,914,3oN4,85nF,92437,8974pOVbG4,1980-08-21,4539FJYxX4
24333,509348341,2013,476,1Ml7,43vG,21063,4641vNdqV4,1984-07-15,0453CaVAt9
24333,509348341,2013,981,5dZ6,13TP,67474,0772sBakX1,1983-12-30,0115ogDuO1
13356,564840006,1987,715,6aD1,88xT,52683,8064mpnBC3,1980-06-17,1119qraoC9
13356,564840006,1987,429,0RJ2,05yH,69801,2480OkJnF6,2000-12-17,8109RbrYM3
63731,8283406297,1974,533,8ul7,32ft,32296,6085FtLBF0,2023-03-16,2121kHkvI9
63731,8283406297,1974,511,8ki9,75cY,36358,5082IFiIT9,1989-03-03,0259PUXfN5
63731,8283406297,1974,581,0Go7,43Sy,40268,4857SNaTn4,2008-12-08,3505Lcdlh5
56942,6800000851,1977,642,2tg3,60hT,71560,9225rVZFQ4,2004-08-21,8957zKxgk6
12848,3819072419,1972,150,1Ae1,48Rq,10722,7430liwMf7,2012-04-09,8927xleRK6
12848,3819072419,1972,447,7Bl3,64Ya,65874,9480opcwV2,2004-01-08,9586VQbXf2
43596,695344192,1988,233,7yC6,71fP,73149,2562GsPNB1,1992-07-09,8908xantB6
43596,695344192,1988,464,2lA7,17cx,70903,9910XWOfE0,1980-01-14,3550yPiOP0
60778,8095397727,2012,233,7jS3,95SJ,80993,9720UzlJY7,1981-05-20,2842ZJMRc6
60778,8095397727,2012,605,9PB9,81yh,34024,5340EKxhv2,1988-06-27,7873FQVYc1
60778,8095397727,2012,270,2aD0,05GW,4162,7752LscZx8,1972-08-02,2422qBTAd3
73135,1543109593,2014,720,9eh7,90JC,85778,4874TQFbr9,1982-06-07,1417IByWS7
4877,7049017308,1990,47,1fs6,52TR,42172,7242iGPJz7,2019-03-29,6053cFtcA8
4877,7049017308,1990,411,5oJ6,51tN,61709,3600CcIgs2,1970-07-18,1516DTdtu1
4877,7049017308,1990,355,6DP5,13tZ,57100,5920sRyXH1,2003-05-10,4737ElTjp3
19175,6945497332,2024,274,3Kz5,92yg,97034,4621fJlzc6,2023-12-16,1327mgTpx8
73160,4281475412,2002,97,9oM8,70Gf,96215,2778WFIHW9,2018-10-13,8975cOLrR8
32088,8014645637,1976,965,5Co6,39qA,49028,2163JGLpY5,1998-03-05,9228RnOds6
88336,5203179378,1995,296,9nW8,23xF,91645,3536fylOQ7,1992-11-02,4350WEfbl5
6630,7850507009,1976,563,4Wz2,75ln,81863,9744PoZzy6,1985-01-16,1224RGzxt7
6630,7850507009,1976,837,2eW6,96gK,94397,6857jGRfE7,1982-02-23,2284rxHqO2
6630,7850507009,1976,472,9ju0,83NZ,59006,2551swoMa7,2018-01-18,2458RgKvL4
3030,7680278253,2007,723,2bl4,83nE,1944,8943TiFak5,1987-01-07,0733GKnYR1
44151,4822696191,1986,50,0ao3,09wL,18189,4479EfLnP2,1974-09-30,0883ALMEg6
44151,4822696191,1986,477,2PE8,22Kt,80962,9972srSKG0,2022-01-13,4773RYKsV6
44151,4822696191,1986,687,8RB4,15bw,19572,8394rxNHd7,1993-04-16,6606QDIuP0
14620,7298022841,2008,881,5pz5,44Cc,64274,4284GjnZJ4,1996-07-07,9658sYgXE2
14620,7298022841,2008,308,4pQ6,42LG,4761,8010ipaJV8,2001-12-09,3496oNBZp5
67306,7682218939,1986,38,7Xp6,42oX,37351,9306lZDat3,1991-08-05,0266HFvCX6
67306,7682218939,1986,823,0wX5,66Pp,49564,7132WzMqJ2,2000-08-22,1149HWuoZ3
67306,7682218939,1986,363,1ly7,10jW,96729,1519ITafe5,1998-01-16,2678BVbYo4
48824,8769414754,1972,117,0TB8,34RY,16041,9460kIXjA7,1992-08-09,5011hYPpK1
78582,5315781965,1981,179,2Fn9,26Gv,74551,0413XAyYb0,2010-10-28,9420nwKuc9
78582,5315781965,1981,621,4IQ9,42am,87095,4316lATBH2,2017-02-22,6987BCVLq8
1041,1222548043,1981,754,8FV7,88dp,42679,6867WDiqM4,1982-02-28,1242ShhaG7
1041,1222548043,1981,725,9db1,74eA,94025,5349IvJGL8,1983-05-27,9871deodS9
92417,475241108,2005,380,6Yy0,70mZ,89089,3770hPmQu6,2022-01-02,4864WoYWn1
54877,2236898398,1981,82,0ZP7,50TC,59148,9939spTWM1,1998-01-02,9489FDaHW3
54877,2236898398,1981,745,9CH2,48rD,42490,4218kkQLw3,1994-12-20,1972fkyiV8
