CompanyCode,DocumentNo,FiscalYear,LineItem,SpecialGLInd,SpecialGLTrans,CustomerNo,ClearingDoc,ClearingDate,AllocationNo
52510,4854292562,2007,502,4tg9,34Rg,74000,1955tLVbb6,1997-11-02,6815LjPcN6
52510,4854292562,2007,22,8IK6,07gn,35843,2283pEXer3,1986-05-22,0120sSzGZ7
69468,7512137790,2015,221,3Fm0,27EB,23710,4804tOrId3,2012-09-26,2805wvlPw3
78720,3827891859,2005,52,0dz0,88cX,31432,7118bkYTm8,1990-05-07,0859bXLZU2
78720,3827891859,2005,867,8Ai5,87Bw,13811,9269ZtfPq9,2003-07-08,8064HFXXa0
78720,3827891859,2005,489,4Gl4,05Hf,47096,9293HeJMT7,1975-01-23,9459trxjI7
83638,9654139819,1990,327,7Og2,11Im,94398,2085GVkGP9,1978-08-30,9340TXGXY5
83638,9654139819,1990,482,1PN5,57TN,1902,7868iccUS1,2003-03-28,7073aoqRW0
58777,1370295522,1993,249,3VL3,58Tt,96486,1762HfPGd2,1972-08-24,7156hvhVw3
58777,1370295522,1993,818,4zy0,93Lw,82196,6598cERna3,2014-02-05,2923BYWHU5
58777,1370295522,1993,410,2Sb3,38cq,82360,9338pkfCB7,2010-10-26,6508isJZf3
73720,9967825756,2002,817,3Mw3,39gO,16212,1872KvocY7,1973-10-09,0775DODNT4
73720,9967825756,2002,34,6rg7,07mA,33179,6648VJrQk1,1987-09-19,2050CAtze2
76076,7823214060,1982,565,5uT4,42gu,54125,1289Bbsat0,2011-01-18,4415XUQXC3
61584,7834435432,1983,106,6gr5,60tI,85750,2946uuqZm5,2014-03-24,3476FBFTx5
60110,1681070738,1988,199,9Ey9,80gn,43407,3752WGKig8,1975-06-13,5696hLfLE6
28484,7901422254,2023,970,3dv7,75mm,44107,4388aWupF2,1995-12-03,7877eKIxA1
36199,3018701725,2002,79,3nS4,33XD,6191,2433EYkFN6,1980-08-02,4927KoKLB1
41939,8075947855,1980,441,3Jc6,69vE,79938,9433TzkoN0,2022-09-30,2009nKMho7
41939,8075947855,1980,905,8ck9,47to,42040,6810MuPgE5,1990-02-02,5858pWUcF4
41939,8075947855,1980,29,8BH0,34rv,92388,5770rTFQZ3,1992-01-02,2035GuQRj9
98663,8630119138,1980,966,0Fv1,28Jg,36706,4011JCWrG2,2021-10-27,3964Eiwod3
30183,7187230431,1982,281,9mS6,91ws,66656,1129OtIAJ6,1996-11-10,2283MYjdB9
12023,9115698235,2019,229,9zZ7,16LV,4750,0670YPWah7,2004-11-08,7923RUNEx6
77665,6320694923,1976,594,9tm2,20Iz,27518,5513LoidQ8,1994-12-13,5760MYvNq3
72988,7389482161,2011,634,3wE3,54US,54172,0592VGTCS5,1971-10-21,2605JserB6
72988,7389482161,2011,370,4iy4,30Wx,94125,8312LXuYZ5,1988-08-04,0828xUgDa8
15119,2147474613,1992,346,1RX1,43oI,43654,1161ftCix3,1980-11-07,7144pTWzh1
15119,2147474613,1992,996,4XB8,62rZ,73575,6044gubWQ5,2019-09-11,1147RRWxZ0
15119,2147474613,1992,169,2je5,45JC,94942,7307AAJUU1,1994-03-13,4117WASPM2
60207,6412914693,2008,431,5ym5,10gW,38100,9519APwCN2,1972-01-06,4655BwaiM9
60207,6412914693,2008,449,4Qy3,57Ga,4967,5539RFtoR8,1987-10-13,8350LjLJW4
60207,6412914693,2008,233,7Og1,57pk,70841,6859LoAlc6,1991-06-25,9705Ginhx9
10997,1528447046,2007,475,3Xr8,52VV,75429,9481LAzkE2,2023-05-28,3492VOzeE0
34452,5309073190,2021,43,0dJ7,64RQ,45642,9963GzuZi0,2016-03-14,4071fYfnZ3
44132,5384561627,2007,512,4Nr0,96TX,30783,3251TBaiF7,1981-07-05,6138oNOFz1
44132,5384561627,2007,968,4dZ0,76Bq,65352,7397ueeCT3,1999-04-21,0721NajWN6
47289,373820388,1986,172,0mZ3,08eO,37861,3306jgDRT3,2020-07-05,9128hApdb0
92157,5418558967,1978,304,3lB8,60PY,60237,3416XCMCN8,2020-10-21,0569JwQhy5
92157,5418558967,1978,355,5qt9,51TP,46477,3672ADgBR0,2000-08-06,6153XWEUP3
19985,5404945978,1994,785,0ht5,82BB,91917,5461xDCsw3,1977-11-24,9664fOsyz9
19985,5404945978,1994,469,3Ka5,73qH,24523,9008OHxdQ9,2012-04-30,8206QUjPN0
55817,6747512011,1986,237,9Nz6,20lp,28744,5819XXoXk0,1993-05-02,0630JzXmi3
22480,7364927037,1977,220,0Fa0,25Wy,90060,3093ImmGq6,2022-12-25,8437uEXno1
22480,7364927037,1977,764,9cx5,17qH,71677,6170lHUPt4,2001-09-02,1911kvEeh0
49477,2856845638,1999,156,7gQ7,91he,48996,8573qjfhC5,1972-06-08,4350gGqJn7
49477,2856845638,1999,212,5OX2,71ZZ,13832,4362CYBJw1,1975-03-02,6444osRyM4
81189,2258391555,2001,751,0GG6,72Nd,79636,4313PHgdE6,2007-10-08,4974htfWK8
81189,2258391555,2001,567,9EH0,29Zg,81705,5034VOgNm2,2021-04-29,3775EheVd8
46601,7040990826,2013,508,3kH3,18jN,67022,2947SkGEd8,1973-06-07,8246CdmwV9
46601,7040990826,2013,340,8Nj2,86mB,73827,4011sTvQM1,2021-01-29,1246VCKvY1
46601,7040990826,2013,327,0Iu1,45AF,75440,0799Yaopt8,1983-08-28,2653kUnat9
86529,6970599981,2013,91,4EA5,36tE,60706,3070awWbc3,2007-05-23,2338AwjKT3
86529,6970599981,2013,590,8Ft9,02ky,43836,7034kLoiI3,1972-10-19,1265mlDUq7
99988,9674667947,2007,716,8yE1,26Hi,28076,1971PWKDq7,1977-05-13,8465IXzGG0
36450,2879940566,2009,474,2ZX5,01vs,38773,1372KcDuC9,2001-04-23,3876rYdsu9
43493,9151926848,2014,716,2ts4,72dB,92200,9273cfPUh7,2000-07-16,8357OfCrc6
43493,9151926848,2014,974,4eS0,68hW,21914,8747aREwX3,1990-09-30,7913JSlri1
43493,9151926848,2014,155,4XF3,24WQ,14880,6266CRUGO6,1970-12-08,9273vYdQh5
81541,3846219603,2012,934,8Ab6,22lP,26594,2793yXtxy5,2008-05-30,4129Zwdmg2
51256,3448154048,1993,884,5Gb3,91Is,40168,3233rElWZ1,1991-08-24,5896TSpbU2
51256,3448154048,1993,127,6sW3,28wN,73254,1268wdswp2,2023-05-07,2938LexSl0
13417,5041573244,2022,415,4as3,69qd,88456,5902tmnpV1,1993-03-06,3095nxHxN8
13417,5041573244,2022,498,9gm4,69dc,69486,8680xUiaj3,2004-10-06,7858imOiy8
13417,5041573244,2022,526,8rs8,94Mp,52748,3717AUDcw9,1992-04-16,0356cuWDp7
88295,8815724861,2006,800,6GE1,46wV,24247,1662ackaD2,1970-08-24,0920TeeeJ5
9878,720193149,1976,242,3PB1,48PR,5612,1365uXDLV5,1992-06-18,8146aomob8
9878,720193149,1976,448,2wC7,39cU,73053,3345KigaU4,2019-07-10,2009QxBcB7
25322,3376237130,1991,937,3ST8,65pu,418,6581oMIYG4,2005-04-13,2477pQUrS0
25322,3376237130,1991,396,7AK6,00Zu,73617,8165uTZLW3,1998-01-04,3573CeSPC8
86807,5837592711,1973,801,8bS9,99xF,84942,1542KOBmn9,1994-03-06,1578yuRiS3
86807,5837592711,1973,779,9CP8,58MH,82522,2921KVXZE7,2005-10-13,0330ZnkYR9
86661,2883879979,1991,384,5LF2,27lS,77606,4762DoFZv8,1991-01-16,4711Wsria4
86661,2883879979,1991,783,5Mu3,23cw,97911,6229ejhHX3,2016-09-10,8118fhmsP3
75597,2521560495,1994,437,5oH0,54PH,95661,6511qJJmp3,2013-02-11,5045fvjrZ3
60816,1106540490,2003,418,5Kw2,96ML,40948,8452qqdTf8,1971-06-28,1352jLAoG6
60816,1106540490,2003,488,0We9,27ri,2255,7017SLRRu5,1975-05-13,8278NwIfM7
86129,9584403139,1981,207,7aS0,89QO,66171,6209DnCeZ2,1991-07-26,8915tmaYf2
86129,9584403139,1981,891,6oU7,27ng,11988,5792DXGAK1,2017-04-13,1937EUhSW4
34432,2210102360,2017,521,2Oh1,64qf,64092,5106qFtcE0,2012-07-18,2032YtNEY1
34432,2210102360,2017,182,9ji0,35tI,55104,8216MPEvv8,2018-02-28,9844ELZNJ6
60192,5356412810,1978,138,6YO9,64OM,4340,4801vXUsQ2,2002-09-10,7361sgaqt3
60192,5356412810,1978,409,3ZJ1,78du,69921,7813FSNwt0,1975-09-29,7603rRPhO6
23472,4803684405,1975,590,1QW2,84fa,64867,4275RqeYC7,1992-07-01,5067yJnso0
23472,4803684405,1975,317,2yo2,49vq,14888,2992RDrSj5,2022-03-10,2734vJJMn2
23629,7530407711,1980,751,9Dy3,82MG,92225,0421sjolt2,2003-03-28,0917OctuS8
36364,463509511,1993,874,0aC6,70jI,59293,8737FBlal8,2018-01-24,5109NzbNR9
56674,5838264448,2011,796,0OF7,87SV,87027,4564sfHMz4,1985-03-12,2037PMDXW8
41404,5681731798,1992,301,3wk3,48zu,97585,4542XMDNz6,2019-01-16,5000agIqp0
11573,7361961257,1976,912,5lV1,90xP,47135,4458TcTYd3,1975-10-01,1611NpDcL2
93562,9810089161,2004,207,4fK3,60aA,27433,2973EKOJy2,1993-02-14,5750wOJHS9
93562,9810089161,2004,453,1la3,77Nh,81813,6674rYaUF0,2021-01-07,6749fULyB4
50338,9481392065,2015,4,5aV9,79jx,83529,1203WZVvl0,1989-04-28,0624guGBY0
50338,9481392065,2015,754,6Ap5,61tg,12685,3678GtwnU2,2013-04-24,9483XklKT0
40495,2128906563,2009,631,4YP0,65Ea,28642,4169sTYfX8,2005-11-01,9506FawZO5
53322,2594926091,2021,446,7tZ5,14Er,58617,5844giMem5,1987-05-30,4360nrWse8
53322,2594926091,2021,580,9pJ0,25cZ,38373,3138yFBqI1,1972-09-09,9798nUest1
33777,1740933888,1995,394,8Kb4,30rq,61762,7563lymrf9,1998-07-14,0047GPASs3
33777,1740933888,1995,280,2ij8,13mG,21260,0179sjwnL5,1997-10-03,9611KlShB5
33777,1740933888,1995,563,1yA2,20HV,84817,8381mgcxG2,1999-09-12,6423ZWAqI4
39559,3464867827,1982,725,7kU4,25OU,29787,7041WYzfZ8,2011-01-28,7474rBSna9
39559,3464867827,1982,312,6RL5,56Ae,35228,7103sjrom9,2008-10-14,6176tokIo5
39559,3464867827,1982,221,8FN7,29zV,17531,1562JnOuj5,1989-06-25,7118YQIFl4
84315,6394531697,2001,429,7KT3,04UI,90149,2608YFllw3,1979-06-11,6006ESLEN5
73599,4341380386,2022,598,1My4,02gr,7171,7032GnIXD7,1985-02-21,8816NOMKP2
66735,288714683,1980,89,9US0,28zJ,28305,3562HYFhn9,1999-05-15,9969ghtVg6
7347,9474006381,1988,921,7xB6,38GT,67553,3147kfiZr5,1975-06-14,5782yCjhu9
7347,9474006381,1988,905,7sy8,49uM,15400,2636kstGo9,1973-03-11,9996ogmRv1
15325,5965285311,1989,16,7Ke0,34xo,53912,9234ePvkq4,2017-01-08,7329HMhfp9
44841,2961254533,1973,429,3pj8,34yN,64632,3861NqoRc1,1995-12-25,8111JHVgD8
44841,2961254533,1973,303,7Wh4,78ua,85012,0839CYqWG0,1994-09-04,7819TjJqc8
97416,3411176189,2000,49,8Be9,29mk,38962,6978YPUan3,1999-09-13,2762EodaQ9
97416,3411176189,2000,509,2TR1,17pC,63824,2813baiNs5,1993-11-09,9471ugdhh9
97416,3411176189,2000,35,8gN6,19ds,79406,5833aDuzt3,2009-11-02,0341zAzFg1
64749,2012943330,1983,756,6le8,46SU,12240,5328OGInR0,1974-06-22,6179NJtWW4
64749,2012943330,1983,218,8No7,32Na,97999,8224gcaQr2,2015-03-10,5428AwoLx5
28317,3626303145,2022,223,5ZS0,65Mo,29491,3543YGHjY1,1992-05-14,2331wtXdV1
28317,3626303145,2022,174,1fN4,91cl,18784,4461xnDZx9,1970-07-06,9587KNQXp2
22451,8253110846,1995,832,6XK0,38ac,40810,3306mcLOO7,2020-02-12,5765ACoBR9
22451,8253110846,1995,388,3Px6,26Vh,99638,1398Rtmbr1,1986-09-13,8692zlMPK9
22451,8253110846,1995,639,3Lk6,56BJ,4452,5524jNzIB5,1987-04-13,7583TIHAQ0
5591,3720662354,1980,876,5fu9,05sB,15592,6591DjiYv1,1971-01-13,0247GfFWr3
48635,9596200030,2019,340,9kb0,75hR,37797,0683sGmOX7,2017-09-28,4983FAQdj7
48635,9596200030,2019,838,8Fv4,02uw,58182,6983jaiNo2,1985-07-30,0152xGmYi0
48635,9596200030,2019,169,0VP4,26Lo,79041,8746bgatf1,2015-07-13,1229xOCWW1
38502,9268747068,2011,714,6EH0,33IL,78386,9506wzXmc5,2008-10-01,1007uLsWQ3
38502,9268747068,2011,179,8pz6,47YR,66619,2147EFkvK5,1993-05-22,4082oWbHI0
17183,6910015398,1983,469,7dn2,94pO,89925,4544IYyRQ7,2001-09-02,0817YxBDj3
17183,6910015398,1983,349,1qg8,26aH,9541,7774pZphh9,2000-05-04,5293QxsHg9
21951,2424121870,1992,135,4zO3,92DP,65151,2617kIqdQ7,2012-08-12,4602cbmNY3
21951,2424121870,1992,754,6uq6,06jE,45908,9092duQIa0,2020-03-23,0398rbQuW3
40761,183393841,2024,578,9MK1,81Dp,95295,2765VMvxC1,2006-02-05,1090HYQNG1
40830,6330761423,2021,396,1XW5,18pI,39548,1583YLKNu0,1993-10-10,4876ykASV2
89822,333497192,2009,121,8qY5,14Sa,17218,7071mvSiB1,1973-12-30,4443XqTSx0
74695,1749042983,2005,655,0mS7,48cj,89574,7769sFQHZ3,2021-01-12,1678HcwZB8
74695,1749042983,2005,973,0xM0,79dC,77667,5911gjKGg2,2016-08-16,9924yCWYl1
96036,1218146788,2008,562,5kh9,00vW,2765,1638CZRxq6,2024-02-05,2761gttmI6
51543,3164325348,1977,243,9VB6,19Lh,13759,3119EODot1,2002-10-24,0656tTgLJ5
30522,4285627964,1979,621,7Xt3,52gG,69075,5031TkoNF1,1998-12-08,4912QAKXE3
77362,512838993,1997,94,6SE1,69ub,42281,0512pQhhf7,2023-02-17,8486EOKGP4
13251,7292991524,1980,177,9Ch8,35rN,2950,9067ijczv3,1998-12-17,2934ImAbC7
3974,2029260558,2018,498,3eW5,53HQ,86788,1899YFVVx7,2008-05-12,0678xkwSr0
13178,2713361682,2015,870,3Yb8,94dZ,53687,2084AkASo7,2009-04-21,6376QAkQu6
96878,3174065521,1997,286,4oh7,80vj,62729,8160sBIZe3,2003-11-21,0631ztwYZ7
92635,3674403509,1992,802,5hc4,42YA,2273,7195AXqsu1,2023-12-01,6368fIkeK5
92635,3674403509,1992,760,2od5,06yw,47531,3876CXYZE8,2020-01-30,0974lrtlJ0
91184,6064390744,1986,27,8wJ6,75Ob,44137,2075xwmcC8,1987-01-30,1556GmCZl4
72401,2418498319,2003,144,6ej6,15ju,90968,7582hIsYV3,1994-04-17,4681ItBGs0
72401,2418498319,2003,161,4oI7,70Ag,27780,9567VYCzS5,2018-09-20,9878jZbeW8
33426,2110437913,1986,258,4dj7,87GN,98164,7357xYiTH2,1993-09-15,3526cxflp1
33426,2110437913,1986,324,5Et3,33ul,21007,7011TujJI1,2000-04-25,8289sluBx5
33426,2110437913,1986,655,6le1,44kX,26724,7792OGEHA7,2021-12-21,3653JjweF3
40194,9418708343,1990,712,9mN8,24VL,16116,7810QCjsZ5,2016-03-12,5197IROYI3
40194,9418708343,1990,361,2vF2,26xy,6019,3966EjiXp6,1989-12-09,0812EqRFq2
12708,7251366091,2011,774,8WW5,17sY,20220,9564VtMlS9,1972-12-29,5174CGfaX9
23979,6643882813,2022,645,8Lt9,87Ak,30788,0706HODde7,2020-06-20,4632KLfeu6
23979,6643882813,2022,111,8wV9,93cX,78504,5132eiwek4,1990-04-01,1244oyGNf4
23979,6643882813,2022,96,7MZ9,76mc,60751,1492aZiKQ3,1977-04-30,6919CTHwl0
3701,4728068599,1975,738,1vE3,85Fs,35228,7807lOvul9,1997-06-07,0007EvTrf2
3701,4728068599,1975,250,4Xk0,21dd,99194,0429fvKcu8,1991-03-13,5027LQaxt2
3701,4728068599,1975,338,3Lx3,42Cc,530,3499ikXie6,2007-06-28,3108yMctM9
38949,4806965276,2023,963,8nm3,78Hx,42335,2271IxzBR8,1980-07-15,0792AAUpK2
47902,4597371763,2001,868,8Pn6,34ij,61163,4719McGSr4,1981-07-18,7879slWQQ5
47902,4597371763,2001,962,3iE0,75ug,43345,2570swNZA0,2015-05-23,3969fTYBi0
26279,8072687432,1977,794,6OC7,22Ro,59523,2203qdDsX4,1978-08-27,1699Pfdif1
19020,608457826,1987,451,5FN2,68qh,38100,6275NCXMp9,1974-04-29,9233iFHZL5
19020,608457826,1987,772,5xh4,66lP,41548,7360gZTVw3,2006-02-17,5892jfvMn4
19020,608457826,1987,65,8OE2,56hY,26765,7287NrujZ3,2000-04-27,7081VqeKp6
84879,7544797317,1993,169,3Qn7,79WO,64085,9220JHsjJ6,2001-09-14,1379zthKO0
84879,7544797317,1993,476,8Yp2,31ro,45981,5496HPTZl4,1995-08-21,8881dAggC8
696,8304768456,1995,577,1Nj5,11dn,48751,1046woYNO2,1982-03-18,7302jQNej5
696,8304768456,1995,482,7EA3,31uM,12224,7808kQUwn1,1995-04-23,5863IMhhq2
61333,324011238,2000,662,3yD2,89aY,3911,6515JGJIV1,1986-01-03,6532HbjkN7
24254,6454529056,1995,80,3gY2,43xe,89703,9128fdoqf2,1975-02-28,3123ojQWd9
91898,4537899692,2008,208,9qd5,97qC,32428,1223HiTwa4,2018-01-16,6885kKAyJ1
64170,4356000976,1989,920,0wU1,53ln,75541,7197MRQio6,2021-08-29,8623IXQlx5
71686,6901572172,1985,920,8sD1,65sd,37650,7735MJaZs8,2018-07-26,6514JbuFu0
71686,6901572172,1985,974,4yG5,53eh,32419,3000Dnteh4,1982-04-20,7659lgwEN8
11272,6665213212,1987,567,2uq8,70sk,81053,7378uOibV8,2017-02-16,3792oGMwd5
11272,6665213212,1987,778,6Jp9,45BH,89317,0795ZFTrM4,2016-12-08,1414Kuuss8
21308,6622467516,2010,41,8Ba8,01iO,43641,8869byxKx9,1987-03-27,9326hhwLf2
21308,6622467516,2010,394,1Bp9,12TT,67066,5470RayPu2,1985-06-14,5597gQXvt8
24978,7272517647,1988,753,6Kd7,66Vt,72630,3801rtFgN2,1973-04-22,7376sVKFc3
24978,7272517647,1988,446,4Gv5,12zO,68547,5408JCtxM0,1999-10-22,9197tLNFE5
24978,7272517647,1988,657,9xH9,39Gz,10038,4752EIGsy9,2001-07-27,5896hahmr6
22148,7580791964,1988,386,8Xk2,84mF,25549,0198TzEwm2,2013-12-22,1253aMmhr4
22148,7580791964,1988,964,1kN8,47pZ,94843,3969jYZkp5,1993-07-06,0746vgUix6
68717,1476204519,2014,620,5pl9,66AW,98429,0651LihXj3,1992-03-17,4430sSNsb1
68717,1476204519,2014,68,6bq7,46xZ,7423,3663qdxyR9,1978-02-17,7351Crhru3
68717,1476204519,2014,53,7fD2,18rS,16750,8797iEbDV1,2001-10-26,9886zeOsN3
10625,1258705281,2021,723,9Qz9,44wm,20039,3899hedKk0,2020-04-14,7314XHcuK1
10625,1258705281,2021,881,6JV2,85Xk,84761,6221MjdDc7,2021-10-20,3871hlYgq3
10625,1258705281,2021,150,0hT2,36Ck,73891,6889iamWT8,1993-10-28,8305jLWoZ5
72843,3683838534,2001,893,1ZE8,53QF,35528,0406SnRjU1,1983-02-20,6860AlWfk3
25134,8107198530,2016,423,2Bg4,16qn,46546,1332TuHKt1,2002-04-15,2358QYqTd5
25134,8107198530,2016,443,4tB8,53Sy,8856,7427GTqUA3,1974-03-03,7717RVaeT3
75572,8119162035,2003,311,9Zo9,77Cm,85679,1348opbdQ3,2001-06-30,0142Nymto9
75572,8119162035,2003,515,7tY2,77iR,48014,2273tPXVN3,2005-12-30,1635vqVcL1
112,3480396560,2015,983,9iR5,77vl,84171,7043tYeBl0,2004-06-21,1541HdUzs5
48098,2731954203,2024,163,8Bd7,24Df,96124,9918LtUkt7,2020-05-29,9222kJbom2
24333,509348341,2013,914,5xB0,29VC,23494,5313xPfwU6,2016-11-18,1036Yotbn1
24333,509348341,2013,476,3Yv2,73kE,24823,4410uytia8,1970-03-18,3982Dqiea1
24333,509348341,2013,981,7eK3,71uv,80354,3788NqmGf2,2002-05-17,1000RhMRT4
13356,564840006,1987,715,3GC3,92WQ,6839,8777DzEvZ7,1986-08-12,7712NmCSo4
13356,564840006,1987,429,6gc7,82ev,46530,6417fwVLB3,2021-07-23,7508idkqS5
63731,8283406297,1974,533,0XH8,62bZ,28008,9203KFtgJ3,2004-05-27,5916NReAn0
63731,8283406297,1974,511,1rV2,30iP,64413,5400qexGl1,2021-05-26,3233uPDjC7
63731,8283406297,1974,581,7To0,77zY,8936,4551xfLec7,2020-10-04,4930pAAsM0
56942,6800000851,1977,642,5qX9,25iH,93029,5537ecYTC9,2010-10-26,4493rCbKH6
12848,3819072419,1972,150,8Wz0,80se,34280,8541hEzLD2,2016-04-17,6768AaCbP7
12848,3819072419,1972,447,4qF6,79HB,63054,0912xhUpr7,1987-12-31,1310kUmpe0
43596,695344192,1988,233,9fx7,77gp,89744,8929PoIPM8,1996-10-05,4031qNNkF4
43596,695344192,1988,464,5vb6,00bM,80965,6260zSCnB5,2007-01-11,8847VliCJ2
60778,8095397727,2012,233,1mv6,61Ms,48038,8325gDGRE6,2017-02-04,9263nJstf1
60778,8095397727,2012,605,7XA3,80YA,17008,5691wOiCI1,2009-07-31,5884yqzOe3
60778,8095397727,2012,270,2gs0,55tp,15330,7033GCKZh2,2017-09-21,5454nUjpI8
73135,1543109593,2014,720,5Ap7,78UX,91041,6138lGOQm7,1972-06-04,3365WcNNB4
4877,7049017308,1990,47,3Kc6,81Wp,77007,1637qpcfz5,2023-03-11,2120GUcpj6
4877,7049017308,1990,411,2Vw2,95Ng,98780,2765VkjmC6,1984-05-25,0734AfZtJ4
4877,7049017308,1990,355,5ej5,18aL,94503,0493UwsbZ6,1997-06-26,6881pXnLS6
19175,6945497332,2024,274,9sh5,16pj,60464,9378JmInE6,2001-09-12,8122GrTnH3
73160,4281475412,2002,97,4or3,97Ps,28127,3668nExgr3,2007-11-23,5021GcoDN2
32088,8014645637,1976,965,1Bz5,51qc,45849,4459CGqSl5,1974-05-09,9009zltMU0
88336,5203179378,1995,296,4Mh2,72At,46667,9873NPnRC0,2004-07-08,9506vhgRn0
6630,7850507009,1976,563,7NC2,10vE,79427,4281cDZfZ5,1979-09-19,7104CxCqc7
6630,7850507009,1976,837,4kY8,96Hz,68836,8454CwVNb0,1999-06-01,7419idiJB5
6630,7850507009,1976,472,7hp5,91Gr,99701,7188PGjoU8,1990-04-06,9959BvSzX5
3030,7680278253,2007,723,2SM2,89CS,17176,0900UrGOc4,2006-03-20,2012QRJGk1
44151,4822696191,1986,50,6YF4,83PN,66420,8150fLttA1,1988-06-28,1223AhvqP3
44151,4822696191,1986,477,3tP1,37KF,98136,5502MrJTl0,2005-10-21,6541PFERH5
44151,4822696191,1986,687,9po7,49gm,71929,1834OtnjH8,2017-08-12,3522ZZNwl3
14620,7298022841,2008,881,6Ha5,39hX,39133,8499oQJJL1,2021-01-21,8611VVNQi0
14620,7298022841,2008,308,3Hr1,43GW,67669,3377wXDbw3,2023-03-26,7994bBBwn5
67306,7682218939,1986,38,3hm8,81LO,83183,9565dLmBC0,1980-11-28,6848fpupD5
67306,7682218939,1986,823,2vW4,87GD,69871,4423IzMYJ2,1983-04-13,9127xuItg9
67306,7682218939,1986,363,7ki7,43Bb,33851,4472vhlSG8,2003-07-16,0152heJOJ9
48824,8769414754,1972,117,4zm4,22Bl,73488,3950AWjza0,2014-04-29,3253aQrkM9
78582,5315781965,1981,179,6lo9,08qu,94945,6647nxxcv3,1985-02-01,4105RhEhw6
78582,5315781965,1981,621,8rI4,95FW,48060,7639MmDpq9,2009-10-10,6611oPbYy8
1041,1222548043,1981,754,7Es4,93GC,19802,2312sGktp1,1975-12-17,5049UPJNk0
1041,1222548043,1981,725,8sm9,25yn,15452,2329ktrQM3,1988-04-19,3009EPjcR8
92417,475241108,2005,380,9KT9,43tS,12489,7562Tuyix5,1991-09-28,8404dgIZv9
54877,2236898398,1981,82,8GF2,39MM,25088,5793zShWR4,1993-04-13,0015BrSlr6
54877,2236898398,1981,745,5QF2,05GX,21986,1175rXRRX1,1980-04-20,4206zUkBE3
