IntercompanyNo,CompanyCode,FiscalYear,DocumentNo
1191,31605,1971,6407152226
1191,33467,2023,0044574983
6938,39057,1972,3809772205
2388,72257,1993,5154959579
2388,36403,2010,6141104601
2388,5429,2010,0501561884
3330,90081,1991,3887005232
3330,76556,1997,4583853561
1129,5256,2017,0696347154
1129,26635,1979,7558453830
9429,97474,1992,8730522001
9429,36695,2003,7517968454
9429,40980,1971,7975545227
7211,75430,2000,8223672599
7211,21236,2006,0688248187
7997,26671,2009,7649196634
7997,55771,2002,0679005863
7997,31627,2024,8412522455
7415,19802,2020,9512067593
7415,19270,2017,7053541068
7415,39293,1990,2141201774
137,69314,2017,7722049530
3072,63395,1973,6516848832
3072,35705,2010,7695742000
3072,15220,2016,2846175314
1343,2081,1984,6144187658
1343,37080,1994,6762025275
9216,79061,1973,9263294381
763,42767,2005,7008930802
7085,37264,1971,1285563777
121,51553,2018,6633636393
121,39550,2002,1434156976
121,50614,1981,7510339758
7025,50,2009,8071785125
3636,37390,2024,2665557015
3636,93832,2001,5391076591
1478,39642,1984,6608153148
3967,18981,2003,1522356640
3561,12757,1985,5020367645
3085,29878,2015,9242398746
3085,17117,1999,8790925273
5804,93048,2014,9538015566
6414,52741,2002,3898469809
6414,3241,2020,5484103785
6414,48616,2023,9053549090
3636,71203,1994,7011354431
3636,24094,2023,7637952536
2124,48658,2002,3044292266
2124,74302,2019,2822621147
3638,12967,2022,9523689235
3638,13223,1997,8835576552
7030,56355,1989,8473392246
4748,21067,2018,8842633114
4748,72251,2019,7808792159
1925,47054,2001,3544901741
1925,93563,2019,7187247544
241,75339,1996,9035228343
241,31931,2021,3885088625
8581,50157,1988,1147428841
6830,80705,1978,4493141643
6830,43461,1978,8962634480
3296,72921,1997,1638925766
3296,40768,1973,8494869203
2109,55128,1984,9247883327
2109,19914,1989,3434215280
6092,25244,1974,6022317095
3958,93539,1979,4933561657
3958,22128,2010,7951685948
3958,9122,2022,1327103953
2944,20430,2001,2789613335
2944,95525,1973,0594851711
7931,17846,2005,9774240125
7931,79630,1971,1448736596
7931,93728,1978,0515306375
3197,63082,2009,3859143117
8133,97570,2011,0744695772
9006,2745,2010,3442964600
9006,33063,2010,2944575985
229,20136,1983,7129002249
229,1266,2009,8309242641
4650,76344,2012,6026600215
4650,64267,1988,2320837422
8443,42922,2014,6946662721
5689,89141,2011,5365716393
2510,50374,2009,6937632118
2510,37804,1971,7329754985
4380,4090,1990,3677769083
9897,99972,2011,4764901315
9897,2881,1972,5382770343
801,40296,1997,4871740436
801,56065,2003,8934884524
801,32351,1973,0760784472
9677,31183,2019,4092920711
7650,28826,1979,2783017072
7650,27734,2011,3908691805
4133,23213,2018,1422361285
7248,31420,2009,0606688595
7248,43387,2014,7478293384
7248,88356,2022,1818538844
4726,29937,2014,0691836985
4726,31824,1992,3308840401
4726,77514,1992,1223838946
7924,92184,1997,5530178905
7924,71828,1980,6687323744
7924,64560,2013,5298367389
5730,18127,1992,9823824850
5730,7441,2024,1675544821
5730,99895,1983,7030707365
8934,88054,2009,9985763931
8934,90223,1973,8891786579
8934,26646,1982,2716546790
5102,43040,1999,3296902506
5102,29565,1971,0971509822
2525,86478,2013,0356007507
5407,84947,2016,3627016164
5407,42669,2020,4333179064
5407,96633,1996,7662324963
3352,30119,2023,9242609385
1143,28317,1981,9623307972
661,15898,1997,9805715072
661,24475,1976,8601906037
5019,98298,1990,3619323841
5019,72485,2002,1127721653
4401,63914,2000,8550897161
4401,31466,2024,4824938346
4401,24895,1979,2462145380
3846,59809,2001,1586373657
3846,75242,1983,0108366066
8365,37390,2009,1512520434
8365,28199,2009,4243760009
8365,66390,2017,8456775484
8775,41574,1970,8419082900
7677,67359,2000,6909449802
7677,63489,1989,8327222499
8583,78578,1997,3684994716
8583,99911,2020,6860301138
9077,59908,1975,0808899942
9077,66203,2023,6127548585
9077,2351,1999,8983133379
427,45795,2015,2379082818
5896,95636,1995,4881562330
5896,35117,2004,5083221337
5896,26406,2002,3839823354
7590,16365,1985,0565722095
6122,7416,1986,5470149867
6122,34691,2013,5372111852
5340,72419,1991,9297222939
5340,28670,2003,2865128932
5340,91467,1998,5496199196
3848,45345,1989,7888359675
7667,22519,2014,0701578742
7667,78676,2004,8585538019
7667,33426,2017,0269041773
2795,77814,2020,6501655393
2795,91633,2024,5783140559
2795,85651,1975,4781076513
984,48699,1988,1815883167
5954,71378,2001,5985544854
3310,15585,2011,1579260894
3310,21611,1977,8043241614
3310,90668,2011,6082310682
763,86807,1975,4937581233
763,49025,2004,6875548577
763,57987,2014,1839711842
8547,26646,2016,3618912971
8547,74706,1977,1980575283
8547,33376,2018,7110205481
1592,93344,2011,7773817032
1592,20135,1988,8552444244
1592,23794,2001,8299647809
2494,94309,1974,9543396762
1796,82230,2000,1717695433
1796,38910,2013,8811704106
1796,32510,1992,2979298912
7906,46844,1987,1003623392
9346,83774,2001,8676430768
9346,80695,1972,2342194157
9346,62594,2014,5677134779
1205,60165,2012,5594421369
9655,13983,2003,1089495311
9655,48343,2016,6999712989
9655,72899,2009,4406788891
1137,32999,1971,6161474412
1628,10367,1989,8182483698
1628,88929,1976,4425196565
9079,39568,1978,9430986978
9079,90340,1992,4441034205
9079,53429,2022,0425470004
8455,60818,2008,6085782524
8455,57119,1981,4012609003
2797,45933,1973,7303783972
2797,12671,2008,1753512473
2797,48948,2024,6317644588
842,44470,2011,8843038735
842,11134,2008,0121206070
9117,21987,1999,2004140739
9117,43329,2013,7042745720
9117,22152,1971,4697203966
7211,56983,1981,3183508016
4550,12287,1995,0529963333
4550,15784,2006,1926162692
6609,36020,2010,4980113551
4032,92788,1987,7575968237
7733,22768,1988,9639726743
7733,1056,2022,0347980342
3023,71916,1980,7151507400
3023,56759,1980,3294727359
3023,60364,2013,1548016236
1421,696,2018,3783394637
411,50679,1980,5509021511
411,52213,1981,1008261124
411,64946,2016,0832463084
4812,33840,1992,7255775850
4553,48457,1973,9626028067
4761,82849,2021,1326117255
4761,88090,1998,5699731883
4761,26855,2022,1727882381
2010,98774,1981,0607875591
7782,88579,1972,7500641896
7871,86974,2009,1797976840
507,55593,2016,6475335747
507,9947,1994,3257459129
9941,87914,2013,1218088093
2625,3986,2005,0143153469
2625,16313,2004,7599650844
1682,71977,1981,3292602968
1682,42550,1987,9837827828
6958,24947,2004,4894043656
6958,75481,2022,5172698811
9237,77540,1977,0289360982
9237,88771,2006,7652818750
9237,45161,1985,5195231181
2015,2656,2006,2008290971
2015,33998,1989,0283302439
8430,54411,2021,2625307660
8430,96646,1996,3013056703
8430,13208,2024,3108299360
5079,40556,2003,1772624316
5079,20182,2012,3367748830
5079,95519,2017,5149230006
2621,71238,2009,3365888739
2621,26940,1979,3051571844
7583,23066,2008,6615729600
2976,17342,2011,2042025538
2976,93005,2013,6999893035
8076,97419,2000,9542286145
8336,93566,2022,5978092418
4224,26396,2009,4244986702
4224,45457,1986,5332658299
4224,18216,1971,8373743143
8169,42449,1973,3642660229
8169,22839,2006,1594245082
9374,72199,1971,5591408695
420,50307,1992,6577068741
420,73432,2015,8677505148
5082,35712,2015,8776308087
5082,75012,1998,6769618383
5082,38861,2002,3986800974
1241,81170,1985,1202694986
1241,35494,2021,8999259045
6069,93040,1997,7398230012
6069,8942,2017,1002866077
6069,89554,2008,3738420317
9707,71064,1985,8637496310
7133,66711,1986,8029677596
7133,25272,1970,6267833635
7133,1513,2003,4453082806
4437,82307,2017,4567652583
4437,14616,1990,7155070985
4437,11564,1983,7586233112
2436,24405,2009,7444550880
2436,64596,2015,7546552303
2436,56931,2019,6611058461
3744,71844,1987,4828637249
3744,14365,1989,6996325042
3744,22481,1972,4738215081
5195,59649,1989,0384946132
5195,45844,2010,2931545820
5195,47260,1997,5502257728
2239,80314,2005,4186416916
2239,80851,1999,9460795215
2239,10860,2001,5584829137
1831,4106,2006,5406508483
1831,20470,2010,1815938871
1831,55564,1974,5296769535
8851,19966,1991,6336387516
8851,70576,1990,8010932043
7101,20003,2022,5507415588
7101,55951,1979,9494441874
7101,69329,2010,7129976360
438,92687,2022,5542074987
3232,37313,1976,3066913827
3232,33600,1994,4540616714
3232,39750,1975,8179483634
5584,88124,1986,3853503430
5584,47685,1992,5350087683
5584,53463,1986,4057064602
2133,53322,2008,8252366778
2133,71120,1985,2301163213
8314,96864,1988,0977658890
8314,25381,1973,6614303695
8314,88639,2021,2388832267
6505,56611,2005,7212620092
6505,14433,1972,8127099334
6505,77230,2007,6418503252
1039,18512,2000,3043347869
1039,9266,1985,9069757559
1039,37637,1976,2165652037
3294,8381,1992,2308606704
3294,84522,1996,2799932984
3294,24942,1977,1652171046
3781,76177,1987,0271844963
3781,73426,2003,3274472261
3781,55401,1971,4615238833
1682,51928,1990,6445319866
1682,1925,2018,6095198520
1682,76583,1990,5306313250
2459,53344,2024,4285518015
1491,5796,2000,6408674575
1491,86914,2001,8736093486
1491,54511,1996,4167231881
1488,87197,1993,7429800428
4310,57568,1992,1096541151
4182,99899,2007,9762124648
2814,80405,2015,6190685250
9621,65107,1975,7309078399
9621,4036,1978,2480390247
9724,50821,2009,8285722119
4196,65656,1992,6223532775
9787,61326,1980,0177231384
9787,50568,1972,4691339926
9787,31275,1982,9294525979
3800,52698,2020,0618146461
3800,48321,1972,9866183035
8046,26539,2021,9640569458
8672,12112,2012,6961753829
9673,23126,1970,2004139475
9673,13882,1984,4509751605
9673,52031,2012,3456635583
3017,30758,1988,5529241606
3017,54360,2006,4874332937
1971,3196,1989,2895120276
1971,50667,1998,6750453826
9936,39241,2021,6670273760
9936,92728,1989,4028786604
9936,61753,1971,4020977878
6172,24593,1976,9880777873
6172,16892,1974,2085254391
6172,3675,2008,8371391966
6463,85742,2003,4750945344
6463,28579,1986,5787629878
5838,42695,2014,7483806357
5838,84984,1982,8792288935
8092,2520,2013,6985220486
1188,81286,1993,9210707920
9262,33280,2002,5800913923
9325,34890,1983,1694954115
9325,86128,2003,7021801852
9325,61623,2000,9675625721
9331,44945,1970,2565143418
9331,9424,2019,3837975499
9331,66432,1996,6183146265
8607,42669,2006,2277635136
5800,76833,2022,1838673059
5800,96827,1999,7324210893
6791,83925,1985,0405893454
6791,58202,1987,2083983433
6791,73767,2006,8050405729
820,32526,1996,3116180542
2623,54079,1994,5008825732
9806,31633,1978,4244106916
9806,61496,1977,3893576700
9961,60381,1990,4263723538
8043,85351,2006,6583640331
8043,29782,1982,6992722081
9905,58633,2010,0127005389
6821,64672,2009,0665550283
7710,81172,1994,0709400724
3248,81781,2001,1932161033
3248,40368,2010,9195687397
3248,39640,2015,5639584429
6240,99089,2009,8395622911
9222,44327,1983,4055411946
9222,54057,1987,6547316538
5478,59351,2021,3193789374
6852,22609,1981,0065281143
6852,97412,1979,6401237677
2864,14446,2006,1031280773
2864,90356,2023,7211726323
2864,4794,2010,9052490891
5374,70743,1985,0829051888
5374,58907,2015,4711105647
1656,17918,1970,8825384274
1656,52209,2002,9483327660
7831,2913,2004,8508130957
7831,43479,1997,6805845392
7831,39746,2007,2396309033
6346,36571,1989,0454010278
6346,55017,1994,2954654327
6346,44853,1992,2702982622
6652,53838,1975,8379512317
4583,78324,1988,4727375662
4583,19304,2003,9783696328
4583,43300,1971,9233790111
4681,25499,2001,4845318969
1878,7742,1982,1301972075
1878,81442,1994,1516428019
1878,24006,1982,3447791245
2709,21956,1985,5500643267
2709,26751,2015,9910996970
2709,20459,1974,0031147648
70,6074,2015,7186463502
70,94012,2016,2805893468
1116,49464,1996,3811137231
2988,66909,2006,4669090587
3518,82433,1979,2431400258
3518,18917,1973,9900265469
5264,7097,2022,5225447329
5264,50694,1995,8665498556
4053,4941,2009,3252339431
4053,54976,1998,8127786895
4053,87636,1989,5858163021
7854,90228,1997,6968151813
7854,78345,2005,2791561013
7094,90690,1980,3503230512
7094,3554,2023,5936539015
7094,63672,1976,6621623413
3699,41310,1981,0535368245
3699,48578,2023,7610598085
4157,38767,1997,2319152124
4157,15839,2022,0878711285
4157,13867,1989,8793469766
4525,21052,1998,8932568129
4525,27322,1997,5576833173
4525,94365,2009,8183880195
3022,43877,1998,0848768694
5976,95392,2015,1653276984
7405,15523,2016,1970674765
6120,15870,2018,6784840997
5536,14871,1990,6154716693
5536,42325,2014,3817509213
5536,35738,1975,2242836613
4637,66178,2021,1176595983
4637,40515,2003,4886884120
0,73140,1989,1666454967
0,63385,1972,5032941731
0,82098,2004,8237194409
1313,94123,2024,3716721297
1313,51691,2019,3764388820
1313,96255,1971,4697289485
7715,99873,2015,1388095712
7715,46626,2017,1916037219
7715,34509,2020,9253469872
4820,90439,2018,0815723311
4820,56230,2016,4385330251
4820,69968,2019,0263328531
7069,93996,2020,2124043915
931,64845,2023,4808443983
931,96517,1980,1774712480
931,11704,1986,5968919432
7996,35154,2010,5149591122
7996,95349,2023,8981079411
7695,88052,1980,9884713896
7695,21966,2004,1991755825
4877,6312,2014,0981249229
4877,66696,1982,3871232908
137,88545,1999,3857144471
8137,50899,2020,1918313998
8137,99291,2005,7419151934
5880,11305,1987,4548206887
5880,51116,2011,8655626186
5880,42708,1977,8349238579
8513,8983,1981,9902828334
8513,28527,1983,0529371133
8513,66327,2007,7136258963
2990,630,2018,2349094332
2990,12181,2018,2173847346
4761,33193,1984,2989768483
2283,39685,1983,3915304302
2283,96467,1986,3862885005
2283,12301,1991,7203626318
6272,375,1986,3109566321
5159,7288,2000,9910356153
5159,31032,1978,3010620746
7518,28949,1982,7408866226
7518,98459,1992,9654123707
7518,19802,2020,6735668344
5005,45979,1995,9090811470
5005,38092,2004,0262200214
6214,16844,2013,0079077951
6214,20422,2004,6666517881
6214,74825,1980,7072113178
5969,1532,2003,3215331222
5969,57455,1976,7098686551
4499,84803,1995,2247397634
4499,33619,1976,4386552439
6290,18462,2022,1936383162
914,76376,2000,9767978172
4905,42809,1998,8297958382
4905,59701,1982,4911709681
4905,46717,1994,0866057490
9512,72634,1990,4715507185
9512,91100,1980,4806758394
9512,65891,1993,9377747093
3500,34936,2011,7359686929
3500,40457,2015,6819217483
2817,196,1998,2117517331
2817,66781,1981,6410340926
2817,52287,1980,2752925508
7073,1101,2017,4490573129
9096,27472,1991,0162961525
9096,93698,1987,0651609262
3400,28847,1995,4158194620
3400,20119,1971,6188985976
243,73450,1987,3853867452
243,10468,1983,4709946271
529,30865,2019,0887392224
529,55962,1978,9542696406
6971,34936,1993,5489571890
5226,8074,2011,7399910080
7177,81567,1994,6655396619
7177,45699,1987,0752728699
7177,4960,2020,8411579992
446,2146,2012,5679179487
446,22631,1998,2479889329
446,72005,1989,1341079595
2093,79102,1988,1827096337
2093,36944,1972,2438360791
2093,6103,1974,7322181302
2613,46844,1996,1687568626
2613,64193,2006,0398722948
8708,32050,2003,5316973486
3226,30308,2024,3620006256
3226,70636,2009,3982258559
3226,89792,1975,7086586544
2012,26446,1997,3245839908
1330,46904,2005,4142329942
1330,85953,1992,7028206081
1330,39695,2009,0555255742
5316,22855,1985,9853308820
6830,44394,1972,3535723839
2881,58434,2015,5092219046
2881,92728,2013,3451111819
2018,59364,2011,7266914756
2018,55300,1992,2084675544
2018,68868,1993,1180018326
6592,56395,1996,9636526066
6592,70335,2021,2828376316
9674,45876,1971,0314185287
9674,51423,2007,3458875650
9674,66613,1970,1428368116
187,55593,2000,3585156172
3017,88805,2024,3803526169
2000,696,1989,5447607802
2000,27321,2009,2309168173
5027,91171,1999,2558347288
2812,76675,1970,5172462272
2812,37128,1984,9091341759
2812,517,1972,3572674254
6618,40794,1973,0516572698
65,77814,1973,9524316819
65,64358,2013,9955532557
5481,79745,1987,7429631827
5481,58117,1988,1094631704
4508,12637,1986,4311625921
4508,89545,1976,9298324906
2837,55145,2020,3795008179
2837,67642,1998,5553595276
6024,75532,2004,0171861474
6024,15054,2000,1793936273
8160,14768,2010,9477701475
8160,20003,2020,1868158848
8160,2804,2021,1909765771
8148,19043,1986,9160533139
8148,40322,2022,1272743849
1859,81053,2023,7167820600
1859,96892,2023,3634322477
4721,46983,1977,1133424646
4721,92323,1970,2932714797
4721,58398,2020,4700082032
3667,25635,1973,9178620206
3667,11499,1972,5087673579
3667,60824,1981,2464643337
2302,57722,2021,3350878828
2302,46951,1997,1342768904
2302,82100,2021,9901056596
7351,49174,2020,7170355098
7351,94800,1972,5526677908
7351,49843,2009,0732231982
6736,99040,1998,7179862790
6736,72771,1971,1360013226
9909,29096,2010,5165164767
6442,1357,2013,1473838712
8220,30298,1992,2131897904
8220,43368,2019,2812879958
2926,97459,2004,0425050334
2760,41275,2001,1464958028
2760,2805,1980,3176827692
7932,57279,2017,1078160192
7932,41561,1972,4562863317
7932,25381,1978,2763208708
9395,82068,1976,8928243685
9395,28180,1991,2011987184
9395,64352,2005,9675361483
2244,4285,1974,7737636819
2244,13085,1995,2401461161
2151,75957,2013,2752789567
2151,25495,2003,7066453034
5558,3137,2024,6508710852
9518,74076,2005,1426647764
9518,41877,2007,4662833412
9518,22578,2019,6819853257
5444,68798,1988,6160455113
5444,54239,2001,0545921550
6798,72332,1992,0175137295
9049,24259,2009,2616671782
9049,92610,2011,1110922713
9049,12946,1999,1807031578
1343,19096,2007,3906027144
1343,42361,1999,4401158902
134,21970,2024,4401440384
134,1469,1974,3226508457
134,21268,1981,8046601743
4200,61440,2014,3169966811
7555,20615,1976,3217843844
7555,31599,1972,0525122575
7539,89994,2008,7562123386
7539,46589,2009,8721250522
398,68715,1982,9333236164
398,79103,2022,1207982067
398,7729,1970,3460460591
9203,46622,1985,8792124432
9203,99319,1980,3670402592
1425,71407,2015,6898177719
2089,66327,1987,9352830547
2089,11634,2002,6600722050
9101,52366,2000,4685382820
9101,55028,2015,3562130277
9101,80967,1987,0111060661
8690,80922,1995,6980932044
8782,48321,1987,9423926870
8782,33528,2018,6374455791
8782,94946,2002,2624962961
6378,96039,2024,6089773944
6378,39200,1974,6949957101
6378,1041,1987,2372522655
3485,50679,1986,6342726012
3485,11510,1985,1581115392
3485,62914,1982,0506034240
718,45255,1991,2619773255
718,96633,2017,2546552908
2688,67647,1993,4484450985
2688,20470,1987,5287064557
2688,23011,1977,8562518180
6714,69093,1988,9869622934
8196,41718,1995,3860417764
2337,47115,1991,1422146155
2337,12439,1975,0966222845
5149,6877,1979,0234702653
51,38233,1993,3151778289
51,85665,1991,1236735865
4234,81172,1985,2588578480
2882,73399,1979,1321171732
2882,8880,2021,5272035898
7617,70234,2004,0087006709
7617,99490,2007,0661432118
753,76076,1982,6962503333
753,32109,1988,7232109032
3802,54879,2011,1621093908
9642,60310,1990,3706269366
1497,90289,2021,0647587677
9389,93064,1988,3918415629
3720,7673,1995,1541651868
2073,31511,2006,1939112905
2073,42609,2000,1641298937
7438,70733,1978,7476374857
7438,26396,1991,2525566944
7438,71203,1992,4564158644
9566,38739,2012,1633308828
9566,19214,1982,9132877366
7295,76177,2015,4606048725
7295,36657,2006,8261215289
9382,50099,1998,0195567434
9382,39293,2021,0366670907
1015,10089,2009,8837466675
4947,33575,2010,8282137314
4947,81322,2013,1340030345
4947,15809,2017,6874753947
9004,22239,1984,8905939006
3938,25319,2010,1405544915
3938,24718,1995,2241534035
7734,34924,1974,0014595839
7734,37047,1973,8021981426
6837,71844,2002,5439671256
6837,46014,2007,3344189208
6837,83254,2024,1397565419
4593,70733,1988,4999835317
4593,94330,1985,7360737168
5093,57597,2015,4293116139
5093,90796,1986,0312216417
5093,56171,2008,5110124508
2303,60123,1983,7664553307
2303,14533,1996,1287064240
2303,14627,1974,4271084793
6207,78193,2021,3732672914
4412,78758,1983,7193850727
4412,8312,1972,2116625587
4148,10409,1995,1787864388
4148,11830,1983,7834981577
6846,5987,1981,0022787896
6846,57661,2000,8363825446
2292,7921,2022,3549219538
2292,56676,2001,1972736742
2292,68701,1992,0053270909
6450,29700,1978,4056733558
1439,87745,2022,5591973543
1439,91686,2008,3531425113
5299,64009,1978,5920677617
8213,58393,2004,9160587174
8213,10510,2022,1365405543
3699,98279,2002,4420596923
3699,55063,2022,9072759219
3699,59910,1985,2485124552
7807,57344,1986,4020448686
1038,15964,1980,2388922794
113,64664,1972,1504532705
1302,37897,1980,8624714567
1302,34137,1977,0642943525
1302,25832,1982,0910543521
4743,53344,1979,0356068190
4743,68208,1978,8960498486
4743,19728,1973,3016533798
5452,51691,1986,5711179615
5452,4960,1971,1466245469
8006,94292,1993,9731395089
2075,80085,1997,7621187293
2075,70371,1998,7437330741
7544,54403,2023,9458207473
7544,59965,2012,7745493904
6966,2359,2005,2238296180
6966,16722,2017,6899278750
5843,82233,2009,8636086865
3558,17340,2009,8494060738
2924,22980,1997,6563419129
2924,41029,1982,8597929924
6444,63622,2011,4296601500
2084,51038,1976,4627741122
9252,82299,1989,9895131567
3273,65315,1990,3019617857
3273,46961,2013,4897653446
3273,15237,2015,5751844833
8609,30138,1970,3434414516
8609,73736,1996,3171944313
