CompanyCode,DocumentNo,FiscalYear,LineItem
9878,720193149,1976,186
9878,720193149,1976,347
25322,3376237130,1991,721
25322,3376237130,1991,795
25322,3376237130,1991,864
86807,5837592711,1973,91
86807,5837592711,1973,313
86661,2883879979,1991,162
86661,2883879979,1991,295
86661,2883879979,1991,734
75597,2521560495,1994,563
75597,2521560495,1994,50
75597,2521560495,1994,650
60816,1106540490,2003,10
60816,1106540490,2003,338
60816,1106540490,2003,628
86129,9584403139,1981,392
34432,2210102360,2017,599
34432,2210102360,2017,247
34432,2210102360,2017,615
60192,5356412810,1978,262
60192,5356412810,1978,139
60192,5356412810,1978,666
23472,4803684405,1975,934
23472,4803684405,1975,418
23472,4803684405,1975,914
23629,7530407711,1980,590
36364,463509511,1993,785
36364,463509511,1993,966
36364,463509511,1993,978
56674,5838264448,2011,993
56674,5838264448,2011,296
56674,5838264448,2011,645
41404,5681731798,1992,265
11573,7361961257,1976,984
93562,9810089161,2004,601
93562,9810089161,2004,852
93562,9810089161,2004,665
50338,9481392065,2015,639
50338,9481392065,2015,591
40495,2128906563,2009,756
53322,2594926091,2021,333
53322,2594926091,2021,580
33777,1740933888,1995,308
33777,1740933888,1995,66
39559,3464867827,1982,527
84315,6394531697,2001,228
73599,4341380386,2022,225
73599,4341380386,2022,851
73599,4341380386,2022,443
66735,288714683,1980,775
7347,9474006381,1988,388
7347,9474006381,1988,423
15325,5965285311,1989,262
44841,2961254533,1973,9
97416,3411176189,2000,682
97416,3411176189,2000,436
97416,3411176189,2000,917
64749,2012943330,1983,694
28317,3626303145,2022,558
22451,8253110846,1995,627
22451,8253110846,1995,878
5591,3720662354,1980,457
5591,3720662354,1980,904
48635,9596200030,2019,605
38502,9268747068,2011,317
17183,6910015398,1983,539
17183,6910015398,1983,315
21951,2424121870,1992,8
21951,2424121870,1992,244
21951,2424121870,1992,492
40761,183393841,2024,180
40761,183393841,2024,465
40761,183393841,2024,475
40830,6330761423,2021,985
40830,6330761423,2021,972
40830,6330761423,2021,986
89822,333497192,2009,526
89822,333497192,2009,434
74695,1749042983,2005,468
96036,1218146788,2008,176
96036,1218146788,2008,422
96036,1218146788,2008,644
51543,3164325348,1977,252
51543,3164325348,1977,610
30522,4285627964,1979,987
30522,4285627964,1979,641
77362,512838993,1997,139
13251,7292991524,1980,653
13251,7292991524,1980,887
3974,2029260558,2018,838
3974,2029260558,2018,777
3974,2029260558,2018,30
13178,2713361682,2015,987
13178,2713361682,2015,823
13178,2713361682,2015,625
96878,3174065521,1997,891
96878,3174065521,1997,588
96878,3174065521,1997,944
92635,3674403509,1992,515
92635,3674403509,1992,31
91184,6064390744,1986,102
72401,2418498319,2003,682
72401,2418498319,2003,569
72401,2418498319,2003,630
33426,2110437913,1986,392
40194,9418708343,1990,635
12708,7251366091,2011,561
12708,7251366091,2011,619
23979,6643882813,2022,550
23979,6643882813,2022,862
23979,6643882813,2022,733
3701,4728068599,1975,537
3701,4728068599,1975,834
38949,4806965276,2023,436
38949,4806965276,2023,985
47902,4597371763,2001,570
47902,4597371763,2001,443
47902,4597371763,2001,58
26279,8072687432,1977,605
26279,8072687432,1977,636
19020,608457826,1987,686
19020,608457826,1987,60
84879,7544797317,1993,641
84879,7544797317,1993,514
84879,7544797317,1993,289
696,8304768456,1995,447
61333,324011238,2000,24
24254,6454529056,1995,426
91898,4537899692,2008,4
91898,4537899692,2008,97
64170,4356000976,1989,876
64170,4356000976,1989,56
64170,4356000976,1989,33
71686,6901572172,1985,776
11272,6665213212,1987,375
11272,6665213212,1987,774
21308,6622467516,2010,627
24978,7272517647,1988,121
24978,7272517647,1988,360
22148,7580791964,1988,936
22148,7580791964,1988,530
22148,7580791964,1988,107
68717,1476204519,2014,162
68717,1476204519,2014,376
68717,1476204519,2014,921
10625,1258705281,2021,955
72843,3683838534,2001,824
72843,3683838534,2001,172
25134,8107198530,2016,637
25134,8107198530,2016,207
25134,8107198530,2016,611
75572,8119162035,2003,408
75572,8119162035,2003,192
75572,8119162035,2003,731
112,3480396560,2015,633
48098,2731954203,2024,573
24333,509348341,2013,500
24333,509348341,2013,725
13356,564840006,1987,742
63731,8283406297,1974,268
63731,8283406297,1974,880
63731,8283406297,1974,202
56942,6800000851,1977,823
56942,6800000851,1977,883
56942,6800000851,1977,376
12848,3819072419,1972,83
12848,3819072419,1972,704
43596,695344192,1988,764
43596,695344192,1988,436
43596,695344192,1988,361
60778,8095397727,2012,363
60778,8095397727,2012,533
73135,1543109593,2014,256
73135,1543109593,2014,102
4877,7049017308,1990,677
4877,7049017308,1990,36
4877,7049017308,1990,900
19175,6945497332,2024,337
73160,4281475412,2002,924
73160,4281475412,2002,70
32088,8014645637,1976,581
88336,5203179378,1995,759
88336,5203179378,1995,205
88336,5203179378,1995,717
6630,7850507009,1976,447
6630,7850507009,1976,476
6630,7850507009,1976,518
3030,7680278253,2007,302
3030,7680278253,2007,921
44151,4822696191,1986,19
14620,7298022841,2008,707
14620,7298022841,2008,112
14620,7298022841,2008,829
67306,7682218939,1986,301
67306,7682218939,1986,235
67306,7682218939,1986,209
48824,8769414754,1972,813
78582,5315781965,1981,269
78582,5315781965,1981,61
78582,5315781965,1981,283
1041,1222548043,1981,185
1041,1222548043,1981,659
92417,475241108,2005,333
92417,475241108,2005,958
54877,2236898398,1981,350
79614,1651032939,1987,218
79614,1651032939,1987,208
46454,8859507963,1972,867
46454,8859507963,1972,807
31032,2558186506,1989,374
31032,2558186506,1989,238
16123,4601346684,2019,157
16123,4601346684,2019,64
38116,9859690587,1973,236
38116,9859690587,1973,442
36696,6380840997,1973,639
36696,6380840997,1973,440
36696,6380840997,1973,445
27754,8093088444,1979,213
27754,8093088444,1979,879
27754,8093088444,1979,520
65190,4311483528,2008,443
65190,4311483528,2008,411
65190,4311483528,2008,494
48628,1831603784,1971,637
48628,1831603784,1971,958
35758,3399308850,1983,95
35758,3399308850,1983,51
43808,8189907729,2022,263
43808,8189907729,2022,468
16055,7593697462,2001,515
16055,7593697462,2001,914
74875,7074322194,1996,649
12551,2413544175,1980,15
36646,2335278909,1970,806
36646,2335278909,1970,501
79745,9583147294,2007,379
79745,9583147294,2007,91
31083,9878219372,1985,33
80041,424732149,2012,478
80041,424732149,2012,10
9547,5892992223,2014,284
9547,5892992223,2014,562
9547,5892992223,2014,650
38457,1157209492,2000,539
44262,528368357,2019,833
44262,528368357,2019,358
44262,528368357,2019,834
94868,9301926256,1979,607
7301,9971698727,2006,131
7301,9971698727,2006,377
40522,5271696484,1989,640
63672,8884433372,2019,101
63672,8884433372,2019,558
39841,5513372461,2016,551
35734,2223572514,2019,827
35734,2223572514,2019,39
35734,2223572514,2019,792
57260,382363516,2022,160
57260,382363516,2022,26
57260,382363516,2022,40
5787,5425502153,1984,626
80669,5875210057,1991,990
80669,5875210057,1991,608
63269,8020407395,1975,295
63269,8020407395,1975,413
94717,7360942962,1976,545
93290,7720048686,2023,954
93290,7720048686,2023,551
48461,3250165436,1995,796
48461,3250165436,1995,281
48461,3250165436,1995,106
35629,1439261750,1993,957
35629,1439261750,1993,905
80229,5185874667,1997,56
69772,8459409954,2010,316
69772,8459409954,2010,490
44672,7151169904,2011,78
9986,440517125,2012,536
70073,251838069,2009,110
70073,251838069,2009,185
70073,251838069,2009,1
34164,253409968,1988,171
1734,7284852574,1986,938
1734,7284852574,1986,346
98149,9649986075,1980,565
98149,9649986075,1980,487
39882,7169958001,1986,423
9424,8859320308,1973,979
9424,8859320308,1973,732
58567,7610832526,2022,165
58567,7610832526,2022,134
3469,4185657804,2016,130
3469,4185657804,2016,952
98741,9129804749,2000,885
98741,9129804749,2000,139
98741,9129804749,2000,295
54382,6290868063,2019,791
14145,4208473448,1990,918
14145,4208473448,1990,279
14145,4208473448,1990,364
7347,4158135055,1976,405
83393,2303570021,2024,497
58181,291234566,1977,859
70420,9713942752,2020,754
50319,9659179588,1983,886
50319,9659179588,1983,337
50319,9659179588,1983,815
64003,5191249722,2011,401
64003,5191249722,2011,373
30456,9653236032,1971,71
30456,9653236032,1971,938
93814,6451691967,1984,55
33336,1831574523,1987,552
33336,1831574523,1987,491
59746,2312296059,1980,378
59746,2312296059,1980,471
59746,2312296059,1980,520
6650,4895595953,1979,455
41329,3599717044,1970,401
41329,3599717044,1970,749
41329,3599717044,1970,584
62551,4504466503,1990,688
62551,4504466503,1990,35
95709,1517509525,1990,251
34528,6649837300,2024,904
34528,6649837300,2024,747
32804,6754332849,1994,9
32804,6754332849,1994,437
32804,6754332849,1994,48
69469,4300751437,2006,759
69469,4300751437,2006,693
91041,551172205,1973,606
53838,7456062,1992,826
53838,7456062,1992,700
33725,8069979680,1996,127
33725,8069979680,1996,210
33725,8069979680,1996,289
94329,6060166386,1991,408
94329,6060166386,1991,469
37575,1613445503,2010,485
37575,1613445503,2010,191
28908,7009820637,2008,34
28908,7009820637,2008,656
28908,7009820637,2008,751
30080,4446780115,1986,353
30080,4446780115,1986,297
30080,4446780115,1986,860
3983,8271928258,2001,213
24613,7593090168,1977,638
24613,7593090168,1977,798
33575,5897536439,1973,507
9886,3585163506,2018,77
60348,743796206,2024,603
55309,9051381197,1996,801
55309,9051381197,1996,366
48343,2455547450,2021,491
71654,2012510601,2020,367
71654,2012510601,2020,813
71654,2012510601,2020,89
45441,4308982934,1972,221
41679,253249452,2024,875
15617,5355308987,1994,731
36200,9996099976,1988,549
36200,9996099976,1988,207
36200,9996099976,1988,976
32917,8092263182,2021,54
32917,8092263182,2021,196
32917,8092263182,2021,481
73450,4681306867,2005,454
90081,4716293624,2006,166
64801,5809743456,2002,701
64801,5809743456,2002,681
44844,976983127,1973,199
44844,976983127,1973,165
44844,976983127,1973,472
28548,3163400166,1984,198
28548,3163400166,1984,893
54856,3057839818,1971,492
54856,3057839818,1971,602
41025,9805884293,2002,481
41025,9805884293,2002,760
31605,6407152226,1971,430
31605,6407152226,1971,309
31605,6407152226,1971,390
33467,44574983,2023,728
33467,44574983,2023,825
33467,44574983,2023,860
39057,3809772205,1972,23
39057,3809772205,1972,941
39057,3809772205,1972,627
72257,5154959579,1993,530
36403,6141104601,2010,996
36403,6141104601,2010,251
36403,6141104601,2010,403
5429,501561884,2010,278
5429,501561884,2010,249
90081,3887005232,1991,467
76556,4583853561,1997,197
5256,696347154,2017,373
5256,696347154,2017,276
26635,7558453830,1979,870
26635,7558453830,1979,792
97474,8730522001,1992,590
36695,7517968454,2003,181
36695,7517968454,2003,596
36695,7517968454,2003,475
40980,7975545227,1971,416
75430,8223672599,2000,245
75430,8223672599,2000,903
21236,688248187,2006,898
21236,688248187,2006,697
26671,7649196634,2009,169
26671,7649196634,2009,718
26671,7649196634,2009,683
55771,679005863,2002,194
31627,8412522455,2024,872
19802,9512067593,2020,709
19802,9512067593,2020,453
19270,7053541068,2017,842
19270,7053541068,2017,589
19270,7053541068,2017,44
39293,2141201774,1990,497
69314,7722049530,2017,778
63395,6516848832,1973,416
63395,6516848832,1973,459
35705,7695742000,2010,923
35705,7695742000,2010,4
35705,7695742000,2010,224
15220,2846175314,2016,170
15220,2846175314,2016,181
15220,2846175314,2016,50
2081,6144187658,1984,505
2081,6144187658,1984,311
37080,6762025275,1994,153
79061,9263294381,1973,330
79061,9263294381,1973,917
42767,7008930802,2005,768
42767,7008930802,2005,781
37264,1285563777,1971,670
37264,1285563777,1971,495
51553,6633636393,2018,283
39550,1434156976,2002,243
39550,1434156976,2002,46
50614,7510339758,1981,95
50614,7510339758,1981,591
50614,7510339758,1981,30
50,8071785125,2009,32
50,8071785125,2009,841
37390,2665557015,2024,975
93832,5391076591,2001,154
39642,6608153148,1984,931
18981,1522356640,2003,345
18981,1522356640,2003,501
12757,5020367645,1985,470
29878,9242398746,2015,316
29878,9242398746,2015,228
29878,9242398746,2015,611
17117,8790925273,1999,727
17117,8790925273,1999,361
93048,9538015566,2014,103
93048,9538015566,2014,158
52741,3898469809,2002,367
3241,5484103785,2020,162
3241,5484103785,2020,388
3241,5484103785,2020,20
48616,9053549090,2023,417
48616,9053549090,2023,967
71203,7011354431,1994,918
71203,7011354431,1994,513
71203,7011354431,1994,439
24094,7637952536,2023,393
24094,7637952536,2023,921
48658,3044292266,2002,112
48658,3044292266,2002,607
74302,2822621147,2019,783
74302,2822621147,2019,761
74302,2822621147,2019,593
12967,9523689235,2022,902
13223,8835576552,1997,766
13223,8835576552,1997,530
56355,8473392246,1989,267
21067,8842633114,2018,381
21067,8842633114,2018,339
21067,8842633114,2018,87
72251,7808792159,2019,400
47054,3544901741,2001,709
47054,3544901741,2001,101
93563,7187247544,2019,550
93563,7187247544,2019,263
93563,7187247544,2019,255
75339,9035228343,1996,862
75339,9035228343,1996,450
31931,3885088625,2021,64
31931,3885088625,2021,725
31931,3885088625,2021,435
50157,1147428841,1988,189
50157,1147428841,1988,797
50157,1147428841,1988,657
80705,4493141643,1978,17
80705,4493141643,1978,666
43461,8962634480,1978,102
72921,1638925766,1997,543
40768,8494869203,1973,852
40768,8494869203,1973,462
40768,8494869203,1973,455
55128,9247883327,1984,745
55128,9247883327,1984,928
55128,9247883327,1984,961
19914,3434215280,1989,775
19914,3434215280,1989,832
25244,6022317095,1974,237
25244,6022317095,1974,828
25244,6022317095,1974,674
93539,4933561657,1979,105
93539,4933561657,1979,656
22128,7951685948,2010,555
22128,7951685948,2010,625
9122,1327103953,2022,520
9122,1327103953,2022,383
9122,1327103953,2022,72
20430,2789613335,2001,461
95525,594851711,1973,269
17846,9774240125,2005,632
79630,1448736596,1971,133
79630,1448736596,1971,767
79630,1448736596,1971,508
93728,515306375,1978,604
63082,3859143117,2009,660
63082,3859143117,2009,645
97570,744695772,2011,957
97570,744695772,2011,660
97570,744695772,2011,342
2745,3442964600,2010,731
2745,3442964600,2010,886
33063,2944575985,2010,579
33063,2944575985,2010,589
33063,2944575985,2010,867
20136,7129002249,1983,834
1266,8309242641,2009,209
1266,8309242641,2009,967
76344,6026600215,2012,899
76344,6026600215,2012,486
76344,6026600215,2012,429
64267,2320837422,1988,630
64267,2320837422,1988,306
64267,2320837422,1988,314
42922,6946662721,2014,632
89141,5365716393,2011,240
89141,5365716393,2011,72
50374,6937632118,2009,704
50374,6937632118,2009,491
50374,6937632118,2009,976
37804,7329754985,1971,547
37804,7329754985,1971,522
37804,7329754985,1971,568
4090,3677769083,1990,222
99972,4764901315,2011,34
2881,5382770343,1972,778
40296,4871740436,1997,872
40296,4871740436,1997,523
40296,4871740436,1997,758
56065,8934884524,2003,501
56065,8934884524,2003,448
32351,760784472,1973,79
32351,760784472,1973,761
31183,4092920711,2019,369
28826,2783017072,1979,668
27734,3908691805,2011,108
23213,1422361285,2018,744
23213,1422361285,2018,731
31420,606688595,2009,155
31420,606688595,2009,719
31420,606688595,2009,122
43387,7478293384,2014,77
43387,7478293384,2014,453
88356,1818538844,2022,216
29937,691836985,2014,343
29937,691836985,2014,665
31824,3308840401,1992,855
31824,3308840401,1992,582
31824,3308840401,1992,198
77514,1223838946,1992,866
92184,5530178905,1997,562
92184,5530178905,1997,991
71828,6687323744,1980,91
64560,5298367389,2013,455
64560,5298367389,2013,298
64560,5298367389,2013,55
18127,9823824850,1992,722
18127,9823824850,1992,380
7441,1675544821,2024,434
7441,1675544821,2024,3
7441,1675544821,2024,220
99895,7030707365,1983,254
99895,7030707365,1983,294
99895,7030707365,1983,873
88054,9985763931,2009,113
88054,9985763931,2009,448
90223,8891786579,1973,996
90223,8891786579,1973,253
26646,2716546790,1982,576
26646,2716546790,1982,409
26646,2716546790,1982,938
43040,3296902506,1999,102
43040,3296902506,1999,830
29565,971509822,1971,690
86478,356007507,2013,157
86478,356007507,2013,16
84947,3627016164,2016,860
84947,3627016164,2016,855
42669,4333179064,2020,375
96633,7662324963,1996,391
96633,7662324963,1996,525
96633,7662324963,1996,753
30119,9242609385,2023,784
30119,9242609385,2023,682
28317,9623307972,1981,613
28317,9623307972,1981,860
28317,9623307972,1981,421
15898,9805715072,1997,744
15898,9805715072,1997,786
15898,9805715072,1997,594
24475,8601906037,1976,824
24475,8601906037,1976,910
24475,8601906037,1976,48
98298,3619323841,1990,974
72485,1127721653,2002,734
72485,1127721653,2002,967
63914,8550897161,2000,850
63914,8550897161,2000,273
63914,8550897161,2000,523
31466,4824938346,2024,806
31466,4824938346,2024,478
31466,4824938346,2024,786
24895,2462145380,1979,811
59809,1586373657,2001,631
59809,1586373657,2001,441
75242,108366066,1983,134
37390,1512520434,2009,779
37390,1512520434,2009,681
28199,4243760009,2009,397
66390,8456775484,2017,495
41574,8419082900,1970,562
41574,8419082900,1970,991
67359,6909449802,2000,154
67359,6909449802,2000,452
63489,8327222499,1989,566
63489,8327222499,1989,648
63489,8327222499,1989,538
78578,3684994716,1997,439
99911,6860301138,2020,108
99911,6860301138,2020,403
99911,6860301138,2020,387
59908,808899942,1975,599
59908,808899942,1975,625
59908,808899942,1975,210
66203,6127548585,2023,567
66203,6127548585,2023,357
66203,6127548585,2023,45
2351,8983133379,1999,341
45795,2379082818,2015,572
45795,2379082818,2015,816
95636,4881562330,1995,168
35117,5083221337,2004,758
35117,5083221337,2004,392
26406,3839823354,2002,922
26406,3839823354,2002,77
16365,565722095,1985,243
16365,565722095,1985,874
16365,565722095,1985,433
7416,5470149867,1986,542
7416,5470149867,1986,685
34691,5372111852,2013,833
72419,9297222939,1991,662
72419,9297222939,1991,861
72419,9297222939,1991,437
28670,2865128932,2003,659
28670,2865128932,2003,969
91467,5496199196,1998,244
91467,5496199196,1998,891
91467,5496199196,1998,105
45345,7888359675,1989,680
45345,7888359675,1989,773
45345,7888359675,1989,822
22519,701578742,2014,58
78676,8585538019,2004,770
78676,8585538019,2004,927
33426,269041773,2017,245
33426,269041773,2017,720
77814,6501655393,2020,877
91633,5783140559,2024,363
91633,5783140559,2024,68
85651,4781076513,1975,485
48699,1815883167,1988,589
48699,1815883167,1988,686
71378,5985544854,2001,952
71378,5985544854,2001,939
71378,5985544854,2001,749
15585,1579260894,2011,874
15585,1579260894,2011,739
15585,1579260894,2011,87
21611,8043241614,1977,338
90668,6082310682,2011,784
86807,4937581233,1975,789
49025,6875548577,2004,695
49025,6875548577,2004,51
57987,1839711842,2014,802
57987,1839711842,2014,213
57987,1839711842,2014,914
26646,3618912971,2016,941
74706,1980575283,1977,882
33376,7110205481,2018,95
33376,7110205481,2018,907
33376,7110205481,2018,142
93344,7773817032,2011,447
93344,7773817032,2011,232
93344,7773817032,2011,241
20135,8552444244,1988,45
23794,8299647809,2001,6
23794,8299647809,2001,92
94309,9543396762,1974,96
94309,9543396762,1974,126
82230,1717695433,2000,282
82230,1717695433,2000,793
82230,1717695433,2000,580
38910,8811704106,2013,35
32510,2979298912,1992,682
32510,2979298912,1992,91
32510,2979298912,1992,539
46844,1003623392,1987,880
46844,1003623392,1987,763
46844,1003623392,1987,891
83774,8676430768,2001,540
83774,8676430768,2001,471
80695,2342194157,1972,105
80695,2342194157,1972,276
62594,5677134779,2014,507
60165,5594421369,2012,425
13983,1089495311,2003,822
13983,1089495311,2003,870
48343,6999712989,2016,672
48343,6999712989,2016,26
48343,6999712989,2016,427
72899,4406788891,2009,249
72899,4406788891,2009,947
72899,4406788891,2009,833
32999,6161474412,1971,183
32999,6161474412,1971,712
32999,6161474412,1971,363
10367,8182483698,1989,498
10367,8182483698,1989,856
10367,8182483698,1989,663
88929,4425196565,1976,29
88929,4425196565,1976,154
39568,9430986978,1978,694
90340,4441034205,1992,96
90340,4441034205,1992,908
53429,425470004,2022,399
53429,425470004,2022,934
60818,6085782524,2008,277
60818,6085782524,2008,771
60818,6085782524,2008,184
57119,4012609003,1981,14
57119,4012609003,1981,338
45933,7303783972,1973,228
12671,1753512473,2008,552
12671,1753512473,2008,358
48948,6317644588,2024,276
44470,8843038735,2011,187
11134,121206070,2008,593
11134,121206070,2008,15
11134,121206070,2008,784
21987,2004140739,1999,381
21987,2004140739,1999,702
21987,2004140739,1999,411
43329,7042745720,2013,62
22152,4697203966,1971,455
56983,3183508016,1981,255
12287,529963333,1995,800
12287,529963333,1995,913
12287,529963333,1995,508
15784,1926162692,2006,556
15784,1926162692,2006,809
15784,1926162692,2006,748
36020,4980113551,2010,776
92788,7575968237,1987,827
92788,7575968237,1987,143
92788,7575968237,1987,734
22768,9639726743,1988,209
22768,9639726743,1988,399
22768,9639726743,1988,393
1056,347980342,2022,535
71916,7151507400,1980,904
71916,7151507400,1980,441
56759,3294727359,1980,97
56759,3294727359,1980,855
60364,1548016236,2013,532
696,3783394637,2018,923
50679,5509021511,1980,68
50679,5509021511,1980,611
52213,1008261124,1981,480
52213,1008261124,1981,356
52213,1008261124,1981,183
64946,832463084,2016,338
64946,832463084,2016,773
33840,7255775850,1992,993
33840,7255775850,1992,926
33840,7255775850,1992,384
48457,9626028067,1973,593
48457,9626028067,1973,735
82849,1326117255,2021,804
82849,1326117255,2021,807
88090,5699731883,1998,214
88090,5699731883,1998,268
26855,1727882381,2022,482
98774,607875591,1981,425
98774,607875591,1981,165
98774,607875591,1981,74
88579,7500641896,1972,607
88579,7500641896,1972,5
88579,7500641896,1972,464
86974,1797976840,2009,146
86974,1797976840,2009,703
86974,1797976840,2009,710
55593,6475335747,2016,277
55593,6475335747,2016,137
55593,6475335747,2016,657
9947,3257459129,1994,325
87914,1218088093,2013,718
87914,1218088093,2013,364
3986,143153469,2005,98
16313,7599650844,2004,932
71977,3292602968,1981,77
71977,3292602968,1981,193
42550,9837827828,1987,339
42550,9837827828,1987,851
24947,4894043656,2004,48
24947,4894043656,2004,448
75481,5172698811,2022,184
75481,5172698811,2022,88
77540,289360982,1977,30
88771,7652818750,2006,385
88771,7652818750,2006,704
88771,7652818750,2006,252
45161,5195231181,1985,427
2656,2008290971,2006,822
2656,2008290971,2006,769
2656,2008290971,2006,866
33998,283302439,1989,855
33998,283302439,1989,723
54411,2625307660,2021,26
54411,2625307660,2021,552
96646,3013056703,1996,861
13208,3108299360,2024,685
13208,3108299360,2024,618
13208,3108299360,2024,636
40556,1772624316,2003,58
40556,1772624316,2003,997
40556,1772624316,2003,394
20182,3367748830,2012,753
20182,3367748830,2012,903
95519,5149230006,2017,214
71238,3365888739,2009,791
71238,3365888739,2009,251
26940,3051571844,1979,91
26940,3051571844,1979,818
26940,3051571844,1979,192
23066,6615729600,2008,701
23066,6615729600,2008,758
23066,6615729600,2008,54
17342,2042025538,2011,939
17342,2042025538,2011,40
93005,6999893035,2013,677
93005,6999893035,2013,832
97419,9542286145,2000,250
97419,9542286145,2000,650
97419,9542286145,2000,636
93566,5978092418,2022,54
93566,5978092418,2022,441
26396,4244986702,2009,213
45457,5332658299,1986,637
18216,8373743143,1971,468
42449,3642660229,1973,522
42449,3642660229,1973,152
22839,1594245082,2006,606
22839,1594245082,2006,692
22839,1594245082,2006,442
72199,5591408695,1971,80
50307,6577068741,1992,655
50307,6577068741,1992,105
50307,6577068741,1992,510
73432,8677505148,2015,92
73432,8677505148,2015,756
73432,8677505148,2015,799
35712,8776308087,2015,178
35712,8776308087,2015,220
75012,6769618383,1998,161
75012,6769618383,1998,206
75012,6769618383,1998,292
38861,3986800974,2002,582
81170,1202694986,1985,974
81170,1202694986,1985,592
81170,1202694986,1985,648
35494,8999259045,2021,387
93040,7398230012,1997,433
93040,7398230012,1997,921
8942,1002866077,2017,844
8942,1002866077,2017,406
8942,1002866077,2017,601
89554,3738420317,2008,779
89554,3738420317,2008,703
71064,8637496310,1985,74
71064,8637496310,1985,563
71064,8637496310,1985,738
66711,8029677596,1986,102
66711,8029677596,1986,125
25272,6267833635,1970,258
25272,6267833635,1970,323
1513,4453082806,2003,276
82307,4567652583,2017,984
82307,4567652583,2017,408
82307,4567652583,2017,160
14616,7155070985,1990,990
11564,7586233112,1983,40
11564,7586233112,1983,258
11564,7586233112,1983,957
24405,7444550880,2009,315
24405,7444550880,2009,222
24405,7444550880,2009,462
64596,7546552303,2015,722
64596,7546552303,2015,976
56931,6611058461,2019,584
56931,6611058461,2019,962
56931,6611058461,2019,671
71844,4828637249,1987,905
14365,6996325042,1989,383
14365,6996325042,1989,777
14365,6996325042,1989,459
22481,4738215081,1972,430
22481,4738215081,1972,830
22481,4738215081,1972,550
59649,384946132,1989,783
59649,384946132,1989,533
45844,2931545820,2010,893
47260,5502257728,1997,270
47260,5502257728,1997,101
80314,4186416916,2005,568
80851,9460795215,1999,62
10860,5584829137,2001,90
10860,5584829137,2001,128
10860,5584829137,2001,975
4106,5406508483,2006,466
20470,1815938871,2010,48
20470,1815938871,2010,93
55564,5296769535,1974,250
55564,5296769535,1974,476
19966,6336387516,1991,804
19966,6336387516,1991,97
70576,8010932043,1990,158
20003,5507415588,2022,302
55951,9494441874,1979,64
55951,9494441874,1979,177
69329,7129976360,2010,258
69329,7129976360,2010,719
92687,5542074987,2022,76
37313,3066913827,1976,667
33600,4540616714,1994,642
39750,8179483634,1975,755
88124,3853503430,1986,618
47685,5350087683,1992,4
47685,5350087683,1992,249
53463,4057064602,1986,923
53322,8252366778,2008,506
71120,2301163213,1985,16
96864,977658890,1988,912
25381,6614303695,1973,973
25381,6614303695,1973,347
88639,2388832267,2021,32
56611,7212620092,2005,710
56611,7212620092,2005,663
56611,7212620092,2005,389
