CustomerNo,SalesOrg,DistributionCh,Division,PartnerFunction,PartnerCounter
60709,415,9457,445,kSVVc,1353
60709,415,9457,445,JwUcT,4556
60709,415,9457,445,tORCg,6705
23818,8000,4435,6367,zWeio,9015
23818,8000,4435,6367,dTErA,750
58914,9891,7256,2679,AbLtI,1017
58914,9891,7256,2679,wKppL,3891
11036,7203,7765,9784,dOmnn,9298
79980,6804,5896,2913,jQhhZ,6865
79980,6804,5896,2913,cbLET,2009
79980,6804,5896,2913,VJfAa,763
57487,6063,1141,4888,dXlqs,6253
57487,6063,1141,4888,FRdKy,1985
24678,1424,2371,2036,UiLZD,5026
24678,1424,2371,2036,nRWPf,3168
24678,1424,2371,2036,VEnBM,7847
96093,6282,3736,3396,QhbOL,9002
96093,6282,3736,3396,DKYUv,1289
4957,483,9665,914,umudv,3922
66714,3867,9529,9772,jKOmy,2240
66714,3867,9529,9772,gKPhs,2272
66714,3867,9529,9772,ScBWi,6435
68364,9766,3022,289,kHbcp,656
68364,9766,3022,289,fkhAU,3384
62361,9393,5455,1782,SBXyD,8966
62361,9393,5455,1782,yPhNl,2046
62361,9393,5455,1782,LpVRv,7656
79444,3911,2055,6048,ZRwiU,2321
79444,3911,2055,6048,WOzDT,526
79444,3911,2055,6048,IFUDr,8941
7396,7527,7266,4585,JTJZt,4845
7396,7527,7266,4585,pDazT,9459
7396,7527,7266,4585,WLIiP,342
2655,7012,5014,1819,nTcLd,9055
2655,7012,5014,1819,FyCqp,5004
2655,7012,5014,1819,PygJL,3463
84490,5047,7397,3322,wOzgi,6995
55332,5533,7704,2982,Bodee,5893
35585,2507,7450,4637,EHldb,2459
35585,2507,7450,4637,IHMEb,4092
72467,8332,6051,6359,UEkOQ,9919
72467,8332,6051,6359,EIKKu,8923
66915,5366,2909,5018,lAuXg,4856
1728,3739,3267,3198,OZizY,3688
1728,3739,3267,3198,HusVE,1178
1728,3739,3267,3198,VjfuW,885
63097,2199,6313,3397,tJVtP,2511
63097,2199,6313,3397,vuEUw,4929
23109,8948,395,7963,zcPHC,9569
23109,8948,395,7963,MYNoX,3840
23109,8948,395,7963,MXFJr,7332
140,6746,4068,2550,nVDXm,5842
140,6746,4068,2550,vQaLQ,9625
140,6746,4068,2550,SujXj,6848
73800,3354,2445,4763,avvyE,4761
90273,3949,7954,4615,mBeEi,6490
90273,3949,7954,4615,WlvVs,2257
63896,6574,5471,8958,vnhWx,9434
27217,6905,5275,7527,nZrzE,8317
27217,6905,5275,7527,dFcEQ,647
58444,9597,2748,8246,QtPDe,1533
58444,9597,2748,8246,VJqzv,4944
58444,9597,2748,8246,uvurS,5594
32136,8063,6839,9714,JsEdf,180
32136,8063,6839,9714,xWTuO,1165
47913,3267,8541,5433,hHiyd,7581
50332,6305,4710,8593,ibFoS,4644
93978,8730,775,9713,goeGA,3959
57468,8674,3002,2627,SuVzU,1462
57468,8674,3002,2627,YYeRc,5830
64622,2547,4600,2877,SHROf,4111
64622,2547,4600,2877,GycyE,4218
19587,2815,746,199,WNjhE,7535
857,2320,6197,8850,ItWOV,6189
47486,9650,6709,1032,Vpdsf,9226
56858,7470,2983,4003,DIvxI,6427
56858,7470,2983,4003,LLBvu,1671
43374,1972,9589,829,ORste,4437
6090,164,5286,5753,EYkSq,258
6090,164,5286,5753,ihHIP,4679
6090,164,5286,5753,NKfQO,5771
98195,4668,7220,1911,SdZtF,7465
98195,4668,7220,1911,lyCwO,2894
98195,4668,7220,1911,rvHtn,2124
71184,5284,4483,1674,bevQG,9272
71184,5284,4483,1674,VRFKb,3502
71184,5284,4483,1674,wDEfa,3521
53832,9790,6753,2263,xVcOh,7562
36276,6375,9916,5717,QpVvZ,8901
34823,1518,3900,2223,zXunY,9051
34823,1518,3900,2223,nDTEL,1463
50656,266,6139,9605,oEPVn,9274
40118,2990,2066,496,dvbom,5551
40118,2990,2066,496,bivGu,998
13729,7619,9270,3292,Ltkip,2864
13729,7619,9270,3292,FUDIk,6991
65979,7117,5361,8662,LbprQ,6637
65979,7117,5361,8662,yzAFp,6526
65979,7117,5361,8662,wyrEr,7615
48429,3245,3924,1107,WcGlD,617
48429,3245,3924,1107,QTDHd,730
48429,3245,3924,1107,jtGJf,7902
4795,541,4173,4658,OWncm,6084
17813,915,58,5192,UEzvn,5304
14153,5879,90,8182,QOHzv,5938
67376,1631,1348,1384,gODmI,4800
71542,9284,7574,5860,NsLCO,4112
18458,6186,8669,2533,gkhQs,84
85879,2946,3817,2946,HJiFl,899
85879,2946,3817,2946,CRwml,7833
76944,9314,8496,7242,VzvfV,3187
76944,9314,8496,7242,VnLEP,9734
76944,9314,8496,7242,fxldy,1956
47366,4024,5991,6843,vbeXc,4978
47366,4024,5991,6843,rmyoT,2414
76019,7300,7332,3503,tbYdq,197
76019,7300,7332,3503,dYEao,6003
46249,560,1505,8517,cIXzd,7563
46249,560,1505,8517,xFEbv,7203
46249,560,1505,8517,dTxby,4372
6502,3378,3271,268,dKFbw,4442
56735,8928,9907,8421,qnlgq,1407
56735,8928,9907,8421,VBenw,4775
51383,2554,8534,6823,QHnhM,8174
5321,8634,752,590,aZnNQ,8003
15117,5062,1207,7884,LhvMq,8806
15117,5062,1207,7884,RvVnr,2943
15117,5062,1207,7884,beHMx,9266
94643,7601,7904,8420,tQCBL,2207
94643,7601,7904,8420,CJCjd,8748
66912,8526,4451,885,YEcBC,746
10090,3297,3053,6118,eNkBB,8043
10090,3297,3053,6118,HSiGc,9823
12323,3913,3121,6337,UaLMk,556
12323,3913,3121,6337,rWDEq,252
12323,3913,3121,6337,fExow,5645
45680,4631,1676,6201,gXQcO,5789
21729,6702,9592,6566,mxlmL,488
21729,6702,9592,6566,qfHDh,3324
21729,6702,9592,6566,FfMst,9460
48580,5675,6315,4550,ppIEf,1776
48580,5675,6315,4550,ePyFi,4610
54597,2702,1314,5342,UGIQU,3725
86640,377,9331,3644,ICksi,4913
86640,377,9331,3644,PNrop,4845
86640,377,9331,3644,rjIvl,5466
37892,354,3065,3919,IinIJ,3625
76536,348,7682,8778,eZhLq,9673
46391,2282,258,8812,EoDhL,1671
46391,2282,258,8812,Mrioa,5890
46391,2282,258,8812,dvKVi,1361
47203,2307,9443,8448,RIejI,6002
47203,2307,9443,8448,kyrho,7229
68134,6375,4642,4964,vudDP,932
68134,6375,4642,4964,zfJaJ,4525
68134,6375,4642,4964,HyiXK,5544
99602,141,6625,9309,rjTYD,7359
99602,141,6625,9309,ToYST,4711
99602,141,6625,9309,kHHLh,8117
9826,8131,1495,4020,zhcbY,2616
9826,8131,1495,4020,OCSmj,2998
88681,6435,9907,6358,gwlBG,9841
91226,7702,6361,823,uhWxW,7318
91226,7702,6361,823,vltTK,6247
81158,3873,7343,6855,GKWjf,9952
81158,3873,7343,6855,lOlvn,8522
81158,3873,7343,6855,xSSJs,5568
22317,4598,3529,3054,hZHsB,8559
22317,4598,3529,3054,NkyGA,6819
22317,4598,3529,3054,PObnk,768
95187,6633,575,4074,ZOqaT,2165
29402,1030,6166,5006,CEMhy,8590
29402,1030,6166,5006,JDcva,291
20789,2075,30,3952,aSwvc,163
20789,2075,30,3952,nMYAL,7268
8936,3143,5457,1875,KCMhg,2737
8936,3143,5457,1875,hWoBj,8156
71670,9759,681,4443,gNKBA,5939
46630,5560,3754,8811,wttWo,2855
46630,5560,3754,8811,CpETr,5171
65877,9528,8237,8843,IWSfu,1520
65877,9528,8237,8843,cfLaS,7972
65877,9528,8237,8843,DLMFw,2006
66327,7263,7036,158,HdhpV,5346
66327,7263,7036,158,UjfXA,4453
66327,7263,7036,158,tKtUR,9138
28552,3460,6539,7310,YbCJE,3036
28552,3460,6539,7310,FVWPS,6088
65305,5046,2184,4536,GAfQz,748
95772,6272,4992,2722,pANaL,8353
95772,6272,4992,2722,KJNSo,1045
95772,6272,4992,2722,BXXlM,9689
29265,3159,4481,7743,khyXn,8625
61633,9792,1789,689,bhmeE,285
40142,6698,7903,3447,zMFgP,2058
60771,6527,5533,5935,XyrMX,5164
60771,6527,5533,5935,QXmGc,9065
970,6379,731,4412,YFDpM,1258
64805,7717,7777,1952,AfmZk,664
64805,7717,7777,1952,rdsNu,7960
29860,3599,659,4240,YNbTw,8965
24841,1590,5640,797,YLdDx,207
24841,1590,5640,797,DhqrB,3110
24841,1590,5640,797,iXuJm,6226
40601,3859,8005,652,lGVqT,9434
89317,5360,3859,9789,YnckI,6803
89317,5360,3859,9789,wiDqS,5430
89317,5360,3859,9789,lEuxg,5353
43729,4420,197,652,jqNaQ,3956
43729,4420,197,652,UdSiN,1401
47096,9449,4556,3238,UOjNe,855
47096,9449,4556,3238,aQmho,5749
87576,4239,2427,9167,fWEoR,288
87576,4239,2427,9167,EqMtU,1514
70680,5089,9253,1731,VFnqb,1556
70680,5089,9253,1731,zBcgj,7961
66619,3943,6096,2020,LDlXd,4827
66619,3943,6096,2020,hHyFz,6450
84065,2001,4033,6369,CsETZ,2498
61125,4668,5136,6942,EIyFQ,517
61125,4668,5136,6942,cpeoC,7423
84635,7252,9317,6350,hOQJD,3090
84635,7252,9317,6350,lNZEY,6915
15968,463,6990,9661,HPAaq,7148
15968,463,6990,9661,kbpRq,9255
31322,3163,1991,7174,rshCI,1726
20548,1630,1705,4690,ucsoD,1908
20548,1630,1705,4690,WmFOB,5533
20548,1630,1705,4690,QTSEc,3739
35141,1060,2506,6414,IYYTV,4522
35141,1060,2506,6414,kKeXb,8417
35141,1060,2506,6414,TuDUs,7357
31018,8718,9562,6391,vGaXM,2343
31018,8718,9562,6391,eowEk,6584
31018,8718,9562,6391,IcOpC,5468
59219,3384,615,7791,UbSOM,4543
73495,3450,213,8285,MeDdh,1784
73495,3450,213,8285,bgpCs,8748
73495,3450,213,8285,SYqRO,8876
60667,5575,5496,5697,Uzcuc,9258
62169,6520,6426,2863,lWCcR,5150
14882,7845,766,4475,tUHEX,1310
14882,7845,766,4475,owLBT,5720
72109,627,9678,4741,NquBD,9760
72109,627,9678,4741,sRslU,2753
27682,6770,4499,966,zIpVF,6463
27682,6770,4499,966,uKYEH,1924
69514,4679,6216,978,uNKLP,3634
87730,9752,4859,6693,iLnKN,111
87730,9752,4859,6693,GyBIb,6800
325,716,2384,7172,imhOY,6428
63800,6043,1295,9648,UbSbT,840
63800,6043,1295,9648,xfUxA,3389
63800,6043,1295,9648,yopNL,5244
17016,7838,9613,8409,OFzAg,6650
2082,5671,7012,4244,CzhCR,5135
2082,5671,7012,4244,VSuXA,8945
78635,5293,2895,6694,bQwoN,399
78635,5293,2895,6694,oaXrg,4746
22174,6405,5865,4445,vaRrK,8444
22174,6405,5865,4445,HtORS,7841
60203,4346,9972,3219,auBQW,4274
49945,7102,831,6839,NiocP,4051
85631,9237,3872,8811,XuSOC,8851
65909,8517,3936,3184,hhqxd,4349
65909,8517,3936,3184,BGPAv,4500
65909,8517,3936,3184,bJOsX,9992
89842,6722,5596,3919,Rufee,2869
50257,2926,8725,6926,IfYQB,6932
50257,2926,8725,6926,QHovE,5375
89733,9858,841,876,XgKSy,672
71110,7498,8869,8838,kiIGv,4529
38778,1701,2211,1486,Ewpzp,7494
38778,1701,2211,1486,QuYJi,4346
61079,6604,4477,4302,ooEDO,7143
61079,6604,4477,4302,VOXWH,6581
61079,6604,4477,4302,tnGFw,2532
11207,8490,5456,9611,TcBri,3386
11207,8490,5456,9611,HuPbg,95
11207,8490,5456,9611,hVygD,1
399,6785,9716,2200,sAATE,7005
62465,5819,4983,1933,YklWB,5782
62465,5819,4983,1933,fbhyP,2793
13747,5569,8489,5257,vVSqh,362
13747,5569,8489,5257,vPJwm,5396
53120,9212,1845,8830,VyYzJ,5325
53120,9212,1845,8830,ncpss,4001
92162,557,7344,3182,fRUif,7637
92162,557,7344,3182,YcwQD,5884
90922,7024,3487,422,FSDpI,5978
19548,2675,208,7726,VWxQp,5174
19548,2675,208,7726,jfAmB,2173
19548,2675,208,7726,EAVuT,8828
218,193,5422,8780,qkmmA,2805
47433,5519,5171,5199,YQCbQ,6733
47433,5519,5171,5199,rHScp,2340
10047,4387,271,6805,jHDym,808
10047,4387,271,6805,tulCF,3943
4643,368,3344,2749,lFLJC,2714
4643,368,3344,2749,PVFNq,4870
934,9404,5552,1245,CGemB,4090
57324,3010,6245,7325,LXkjD,5228
18005,7749,575,3790,ZDdCP,864
15322,9405,3319,8214,sPNLQ,9523
15322,9405,3319,8214,yzOeY,5433
15322,9405,3319,8214,JvJoS,2715
60999,5402,6495,7550,sYBPt,6737
60999,5402,6495,7550,jwvQL,9229
14896,713,8157,3897,DgDnj,5174
14896,713,8157,3897,PtdQK,5863
81441,5158,9907,5200,tTFbT,9047
81441,5158,9907,5200,EIseZ,9839
81441,5158,9907,5200,knnuv,7973
58977,3791,7649,6867,rZLqp,507
58977,3791,7649,6867,dXbVo,7881
10725,5013,5756,5449,gAJEo,2263
79368,8963,3597,8106,YiqTr,3688
79368,8963,3597,8106,QgsQn,8895
79368,8963,3597,8106,OBpap,9146
17197,7261,3487,5117,iYnbl,2347
17197,7261,3487,5117,GxSjo,1455
38192,6886,5157,8712,AAcKu,7930
51693,4105,8900,9923,EEPaa,1229
51693,4105,8900,9923,SDNTj,9633
51693,4105,8900,9923,vyTHR,8753
34039,4816,5773,4874,LUaiz,9045
34039,4816,5773,4874,Zisjg,4659
34039,4816,5773,4874,plaaV,835
9334,131,3678,1921,cOyDW,1419
9334,131,3678,1921,EUGbU,4820
23833,6005,9078,5422,mQwXv,5726
11602,4213,9683,9996,jKzWP,4037
11602,4213,9683,9996,AdGGg,578
71988,9521,5244,3538,DGYzd,7359
71988,9521,5244,3538,lquIf,3930
71988,9521,5244,3538,hSNVF,2389
71598,2293,6420,4632,KcXVS,8158
71598,2293,6420,4632,OviAR,238
59889,4535,7140,5634,qJbbj,2565
59889,4535,7140,5634,NUajD,4463
31672,3427,3731,7966,JpEIr,1660
31672,3427,3731,7966,VcnVn,6270
73543,98,2930,1385,AoxuR,7735
97899,4157,4919,7987,HVkZy,9715
97899,4157,4919,7987,RjGRg,1972
72904,3507,5010,40,VjQcR,5981
81513,5516,8730,5398,VylwJ,9121
81513,5516,8730,5398,OogwP,3811
44164,6427,1986,2137,KyPNJ,1401
59907,5733,7226,8478,iYDlz,1690
69424,1757,2889,6429,FLked,1573
69424,1757,2889,6429,xUaIm,5074
50061,9412,7342,4596,oVjnJ,5997
50061,9412,7342,4596,JGTxs,7652
96218,7125,1569,4263,JKpDU,5827
96218,7125,1569,4263,YogYS,5308
96218,7125,1569,4263,deCah,4662
65069,494,5826,668,ICnhb,729
45908,8294,2670,5199,AMGhV,5923
36138,6792,798,7963,VgDCm,4470
7406,8091,1140,4888,GlHba,3562
7406,8091,1140,4888,TNnUD,4095
7406,8091,1140,4888,DkdGU,2369
15432,781,5851,5266,ZmiAl,2935
15432,781,5851,5266,hJRDe,3936
75935,4156,9703,369,DwmSG,9253
17653,4823,9388,6334,WWstv,8824
17653,4823,9388,6334,EQhnD,9447
17653,4823,9388,6334,WJitf,6101
1555,5240,5923,4322,eKCUp,6563
1555,5240,5923,4322,cXwcO,7258
1555,5240,5923,4322,EIZMM,5737
24504,4889,6371,7187,TMnKB,9064
24504,4889,6371,7187,qGeZz,8908
62458,2072,133,628,ShlXi,2781
62458,2072,133,628,fLSne,7052
67828,9554,4017,2938,NaDSB,9794
67828,9554,4017,2938,PnCgV,4680
84719,3505,473,2871,evmtV,3422
84719,3505,473,2871,NqcQf,9486
81067,5702,2507,7351,lSaam,7418
81067,5702,2507,7351,wYCgr,5424
60797,4229,669,6507,qHZSc,3568
60797,4229,669,6507,zpGHj,7051
5869,4566,7970,1169,CSPSo,3144
5869,4566,7970,1169,WRlSM,6384
5869,4566,7970,1169,peouG,9074
13794,3550,2506,5616,EACbS,642
64723,6404,7323,1933,ANMRb,3234
64723,6404,7323,1933,ebzug,8928
64723,6404,7323,1933,EPcXO,5458
30897,369,7446,6099,BpKYu,2788
30897,369,7446,6099,exhYJ,1797
32462,2456,37,9043,hubjL,5787
32462,2456,37,9043,ZxjzU,6192
32462,2456,37,9043,jGsVD,8489
35441,1324,5220,9577,JlgPM,8869
35441,1324,5220,9577,WoeUG,591
16185,7580,1121,5206,cLvNQ,7105
24969,1796,1759,974,WoCKe,18
24969,1796,1759,974,bhkfV,1164
27228,1356,3055,4216,AMWvb,2730
27228,1356,3055,4216,oHSIw,980
27228,1356,3055,4216,LeQtc,538
57250,596,1224,2496,DuOYI,3325
57250,596,1224,2496,EWhlC,6371
76575,8403,7864,3068,jfpxM,6800
76575,8403,7864,3068,dUDVw,3955
85147,6322,1411,3649,kEKIf,6069
31197,3997,3880,9444,lqMyy,327
4713,2096,9891,9684,eVAmK,6734
4713,2096,9891,9684,EWlrY,3022
4713,2096,9891,9684,Eigtk,7050
50797,8225,6428,5567,yFZAi,4331
50797,8225,6428,5567,voeON,6935
2416,7875,5706,1889,QoihN,9731
2416,7875,5706,1889,bxOBL,3710
68761,4037,2491,5941,EeJyt,1882
68761,4037,2491,5941,EsEsC,3819
15557,8694,7029,5220,Hxelg,6603
15557,8694,7029,5220,DJAKO,3980
15557,8694,7029,5220,cEcSD,4868
56843,2607,5210,4873,Mrnnu,3232
56843,2607,5210,4873,NfdSB,911
56843,2607,5210,4873,tHwBX,8475
30025,9358,7629,1258,rZEYd,2452
30025,9358,7629,1258,pzXEa,9111
30025,9358,7629,1258,DWXzd,9247
82336,4223,5111,4577,arKRa,3361
72727,559,1315,8450,XmaKT,6032
76913,5964,3872,8115,nZNLD,8364
76913,5964,3872,8115,LQMnZ,9758
76913,5964,3872,8115,GmvnX,6137
46280,3445,521,6242,aLNhF,4573
46280,3445,521,6242,WOvPZ,5696
46280,3445,521,6242,bYJDM,6421
6820,8409,7752,5911,vdLoG,9703
6820,8409,7752,5911,fnrNm,4353
6820,8409,7752,5911,NSTfv,5342
52082,492,1442,4805,wtBBa,5542
52082,492,1442,4805,yQEUU,8207
52082,492,1442,4805,VphRC,2755
29298,2351,8563,5535,BPOPx,2530
29298,2351,8563,5535,aphUb,5927
29298,2351,8563,5535,GQCCu,8336
52039,8336,5997,4233,YzuSL,9996
52039,8336,5997,4233,DRsMB,4066
52039,8336,5997,4233,xuXEU,2324
34296,849,7356,7161,geTKP,3821
34296,849,7356,7161,TzSMU,4544
34296,849,7356,7161,zotlr,1824
87248,8126,5974,9569,WkRJp,6529
16288,3768,771,6310,JChKQ,8478
16288,3768,771,6310,WUAqZ,8957
16288,3768,771,6310,YNLBt,7691
33933,2216,9525,1585,CRFAK,4203
33933,2216,9525,1585,KLNjP,560
16420,1775,204,2320,Jyshq,4473
16420,1775,204,2320,IljdS,5356
337,7994,7259,5800,TWnGx,1669
337,7994,7259,5800,IgJyt,2722
337,7994,7259,5800,avIZZ,3620
55183,2591,4057,7398,uSQKZ,7375
16049,2032,1935,5457,zGtMI,927
16049,2032,1935,5457,TFWpv,3559
76532,7982,5373,3299,VcvMF,251
76532,7982,5373,3299,dzwNr,4832
76532,7982,5373,3299,sQqtg,7354
91510,1328,7311,8235,eaixL,692
91510,1328,7311,8235,fgIWa,1723
91510,1328,7311,8235,JkJcn,5229
92575,2414,8142,6633,lZOAS,4319
49184,2069,9603,3733,dQJJk,9669
49184,2069,9603,3733,sCdYm,4485
61642,4430,7360,8355,jmcRQ,2612
56908,8577,3124,361,JPVUS,257
24388,3709,8517,2124,JPFih,659
24388,3709,8517,2124,iuzPV,9959
24388,3709,8517,2124,GXkJN,8132
50687,8976,6578,1674,gWNfI,5771
73609,677,7523,1174,yfeBg,8034
73609,677,7523,1174,GDObf,6703
73609,677,7523,1174,NnlTp,3942
55896,7539,534,5731,kGHUG,2019
55896,7539,534,5731,pXeZm,4505
31245,5403,2398,7544,YOuzm,9036
31245,5403,2398,7544,ovHxG,2668
31245,5403,2398,7544,VULiW,4580
63955,5934,6891,6873,XTmjA,3576
63955,5934,6891,6873,PFGfk,2047
63955,5934,6891,6873,jzaIs,7166
80494,7501,2596,1316,qLbUT,5097
80494,7501,2596,1316,odWbs,2783
89996,9553,348,4660,DAKgK,917
89996,9553,348,4660,BIKQm,9482
89996,9553,348,4660,hAPUd,2011
91349,4819,8057,4383,IWkCh,426
91349,4819,8057,4383,LxZUh,7729
6360,9520,5492,4658,Mmime,3892
6360,9520,5492,4658,nHArc,6335
6360,9520,5492,4658,jUyGL,3742
50913,8690,1043,6923,xCZNf,2988
78879,5731,7711,8401,RYPZP,2008
78879,5731,7711,8401,GppJS,7024
41213,4765,5119,887,gephY,6861
41213,4765,5119,887,wNFJN,5170
41213,4765,5119,887,ThDxj,644
41989,4181,2404,4128,XFeFb,2321
41989,4181,2404,4128,JHvIA,6990
41989,4181,2404,4128,BYcII,6185
95287,8132,177,5008,UbBBe,7879
95287,8132,177,5008,jqWaP,9296
95287,8132,177,5008,REaDN,3056
94942,9962,468,8186,fgYmX,4210
94942,9962,468,8186,ICkoH,3231
94942,9962,468,8186,JRVXx,6826
48996,4408,9669,9564,NycZw,5661
56252,5475,6204,5476,WxQlx,2369
56252,5475,6204,5476,niPYf,8746
57438,4996,586,8775,FQXQU,6715
57438,4996,586,8775,QutbF,8565
95032,8141,4557,1953,psFBB,2123
95032,8141,4557,1953,SLAew,101
78537,175,7367,9500,czXQK,7758
78537,175,7367,9500,QhQlV,7785
70720,2025,5292,884,KkEff,2165
70720,2025,5292,884,zQpaz,6489
54358,752,3717,6054,NBHdc,7728
54358,752,3717,6054,qhaqz,8193
54358,752,3717,6054,EsAEM,2289
48060,5180,5388,7784,gHNtS,2346
48060,5180,5388,7784,qepRF,1925
48060,5180,5388,7784,ubTBI,4763
12486,6872,819,3500,mxiMc,3039
12486,6872,819,3500,ppJzN,738
59560,5362,4784,7840,MFfpF,3316
59560,5362,4784,7840,NHGqT,3986
59560,5362,4784,7840,WhDWD,8095
53091,2472,6222,38,Zkzat,4823
53091,2472,6222,38,HaKoH,3903
53091,2472,6222,38,VLwTp,2641
56506,5262,1660,6668,bqFaz,5421
56506,5262,1660,6668,veRyH,5198
36570,3341,6767,9357,tOKnA,8462
36570,3341,6767,9357,eOAZG,4078
36570,3341,6767,9357,gYkiY,3147
50904,277,1671,3152,bZYrV,9840
74636,2296,6345,1345,cMEGx,4664
87011,9572,4883,489,VgIWb,2768
23233,6680,866,1380,ZVOyi,157
85086,6985,3968,672,WZIjk,9122
27451,6937,1374,1376,ZaWkO,7836
27451,6937,1374,1376,bAcOg,3617
27451,6937,1374,1376,jFNxu,3992
26415,6927,5490,7417,IuCUb,4903
26415,6927,5490,7417,tOrUD,1290
26415,6927,5490,7417,rqqVS,6798
4753,4044,8794,9944,kOyEO,6759
4753,4044,8794,9944,eVYQW,940
4753,4044,8794,9944,NHQrF,3843
24149,2503,1323,3552,wPZBU,4563
75189,4794,1881,7310,qRROq,9588
75189,4794,1881,7310,jeeln,9277
75189,4794,1881,7310,nPjmb,4388
88125,9679,3671,2610,AWRuP,9945
99100,7438,5163,4293,yfqMN,514
99100,7438,5163,4293,UEWKj,712
5080,7324,6704,7992,tjNkD,4955
5080,7324,6704,7992,ynnuv,7367
5080,7324,6704,7992,atUoF,8245
51006,7972,2789,8547,PkGvn,9828
51006,7972,2789,8547,GjudX,8527
51006,7972,2789,8547,Onowf,2088
74534,9080,511,8787,djvSF,3081
74534,9080,511,8787,LFwsC,5611
99716,8361,7851,7774,FUwCz,7881
