CustomerNo,CompanyCode,FiscalYear
69852,24345,2003
74854,65566,1985
92741,69063,2021
53309,58249,2011
72734,84431,2022
8445,71847,1977
23486,79132,1974
68234,38112,1977
35503,75975,1991
43315,34179,1995
15620,18779,2004
14380,49614,2015
20520,17154,1974
19549,18680,1977
25167,80648,1988
83870,35821,2004
36761,19032,1985
27463,86455,1972
72030,20001,2022
5637,1382,1987
29296,71415,1981
61265,45346,1995
94813,10148,1979
7406,2323,1978
75585,89509,2002
45793,78035,1996
63970,64021,2002
92484,86497,2016
71325,91583,1970
78938,57868,1972
23110,39752,2009
64140,97882,2016
99873,49860,2006
79563,28598,2017
95784,57128,2013
33231,28133,2024
91292,13560,1999
74926,22346,2024
13035,11520,1985
51597,44838,1982
41334,36173,1986
80394,25005,1989
15901,42778,2000
89283,97996,2018
33332,36084,1983
30887,95203,2003
8836,38709,1979
35909,76805,1998
84921,78219,1999
77494,69947,2011
37621,55629,2003
40084,37910,2020
390,38822,1999
83229,94843,1993
76455,42833,1995
56878,86421,1980
27426,51382,1981
30892,76454,1973
52453,39982,2006
93245,91078,2024
23972,56720,1991
14331,1940,1978
55874,57260,1996
27856,41851,1983
60438,47553,2019
59358,69928,1973
19643,69150,1989
10090,65829,1970
56906,82868,2011
55165,26615,1981
90463,75299,1998
68269,94153,2004
85998,59704,1983
10624,37731,1981
7689,99558,2000
84705,33415,1984
8771,18882,2016
53787,78867,2000
44727,88309,1972
51693,15950,1994
68836,81944,1999
5544,7674,1989
28555,9333,2016
99602,59649,1996
11589,82426,1994
77198,77026,1977
89888,51134,2022
42765,29107,2015
45229,1033,1972
17688,99039,1989
1191,41669,1973
44626,76833,2009
40748,93786,1975
30902,8959,1974
72726,86974,2013
7795,14395,2024
448,45327,1983
5848,78358,1974
47786,86141,1970
56015,47883,2013
98089,92144,2014
87229,98507,1986
53458,71828,2020
73497,42126,2019
11207,11861,1986
21810,95939,1998
65898,31723,1982
68777,80964,2021
15358,28995,1975
87967,61253,2003
40247,17777,1979
54076,39365,2012
21587,25512,1971
75440,17745,1989
81437,59885,2009
78582,19134,2021
97260,81930,1973
47593,56743,1985
23109,42643,2007
22718,16722,1990
22614,87994,2024
26066,35496,2003
11482,75304,1975
2275,94926,2020
4795,8956,1997
48247,36641,1980
94578,96751,2017
20801,46565,2009
92258,57297,2003
13845,5013,2017
10840,22128,1982
35553,51619,1980
30783,6864,2006
33656,34703,1979
618,98594,1985
13140,6485,2020
13916,13975,1992
97051,61005,1986
42296,3603,1988
23791,36681,1985
24659,4596,1988
23272,14208,2003
85679,11564,1982
84756,95386,1971
7298,54411,2004
29098,18477,2002
53835,5796,2019
93063,47196,1993
81698,62431,1998
27109,93421,1986
80634,43663,1995
54707,48959,1987
3044,18844,1977
41137,24182,1974
87606,77048,1982
71598,68504,2000
65909,45020,2011
46191,37005,1971
902,72054,1971
54818,16942,2013
70117,93786,1995
43391,48244,1999
31423,81054,2021
9776,13897,1986
30090,30758,1987
29912,31922,2018
49798,66447,2010
90955,72644,1996
80287,4628,2016
52453,69896,2017
94089,81773,2014
56933,6059,2000
48586,95772,2016
540,74212,1986
93080,54809,1979
75167,53121,1982
25335,87841,2005
7987,39291,2000
89194,73192,1984
38620,91604,2020
80183,90396,1979
84722,92417,2013
31840,86022,2003
54292,51783,2005
12174,33746,1978
74093,97102,2017
74188,13711,1971
13292,24943,2002
41334,6342,1993
4004,58117,1992
12529,68971,1997
32285,31272,1997
93488,21344,1973
92440,81828,1998
14161,57641,2020
41319,41669,1980
98586,27630,1978
83033,57719,1995
67830,97653,2008
79578,99827,2008
24254,6468,1987
14941,72795,1973
71914,53289,2009
96523,23973,2023
74636,74801,2001
47840,74825,2023
63487,65241,1999
33010,31905,2014
85538,25020,1984
80990,50080,1984
88264,39446,1979
32391,99911,1990
62877,64822,2008
1667,49774,2007
62125,29496,2010
10589,24388,2018
26206,61473,1978
79382,43243,1998
23644,29362,1994
50904,95002,2011
77097,38064,1989
15161,34421,1987
79957,93195,1987
1529,95381,1998
83384,64524,1990
46639,63457,2012
74675,94717,1995
48903,58118,1975
63593,99643,2016
23681,517,1975
59272,56517,2003
3908,76522,2021
1089,95795,1972
33841,81541,1973
46843,50194,2010
33663,39685,1999
48155,38145,2022
3320,75230,2013
68647,47103,2004
94370,48179,1986
41925,92829,1981
18763,24641,2017
73609,15082,1980
66532,91668,1970
13405,14880,1980
15080,32040,2019
24822,62410,2011
79599,93631,1998
53364,99203,1996
66195,90439,2014
634,75980,1997
65692,70723,1982
67132,48826,2008
23687,32121,1973
73165,49773,2009
90341,64569,1989
59264,4480,1986
62749,26651,1997
82905,63300,1979
64183,29274,1993
29559,19043,2021
11153,95130,2019
31193,16690,2013
5937,19469,1997
62543,77321,1987
44307,38871,2017
51252,73510,2002
18414,43927,2012
87574,28113,1995
2277,37142,1989
32893,9423,1973
12224,59929,2006
40137,56611,2012
16032,10498,2024
76390,32861,2010
64645,49773,2014
33362,16361,1994
36601,60517,1980
69312,98983,2010
89257,31393,1986
41288,63277,1980
68369,10948,1985
7457,53463,2010
23846,98617,2006
68861,90495,2018
73442,41401,1992
41368,54877,1981
58380,39766,2002
74041,9446,1994
88309,2357,2003
28047,21262,1996
82211,1550,1987
75965,9441,2009
48097,87067,2022
87309,32271,1979
84809,52065,1998
81495,83653,2012
91544,20590,1973
1399,87973,2004
55793,58123,1973
52661,25919,1971
92847,23516,2017
69921,21527,1998
2544,92701,1972
81718,35750,2011
64867,68222,2021
14880,27119,1978
7189,56793,1999
52082,16798,1999
65873,17354,1970
97579,66900,1994
89641,93356,2006
40240,36644,2019
94616,90070,2022
82207,25691,2007
52348,10618,2015
92722,77265,1984
4521,30322,1988
98060,30310,2013
54671,57498,1976
87447,42695,2006
37995,12160,1993
20801,61049,2018
23935,91458,2005
67907,45349,1991
88820,30063,2002
81466,66941,1995
38036,26899,1973
46843,57794,1971
84428,58507,1988
90477,26963,2000
39817,57085,2011
43113,19270,1986
79967,16029,1987
25989,19932,1983
72228,79126,1987
49372,53656,2002
80414,42299,1991
33973,58486,2013
78192,11864,1977
88181,25237,2018
40830,30175,1975
12185,99080,1993
60667,2913,1990
11976,60411,2002
13718,57157,2018
65261,30917,2020
5241,10166,1979
1176,24320,1982
92266,4077,1972
25241,45724,1993
80164,74212,2024
20954,21032,2008
86162,90250,2007
8676,97192,2017
95793,74400,2017
40724,98796,2022
13877,79969,2001
57235,34639,1986
65732,84283,2003
55204,57006,1984
76175,3029,1980
52337,84804,1988
17013,51295,2002
41242,56114,2006
37879,32258,1991
41090,52698,1987
25701,63214,1976
43576,24706,2005
82033,35175,2007
87935,49776,1976
77840,5591,1970
23143,3850,2021
62554,93601,1991
63606,92684,1978
48977,87031,2014
93544,47173,1987
61695,31483,1983
63719,2081,1970
17437,23286,1988
61197,98422,2021
37641,62266,2009
12192,25403,2013
76837,67482,1970
22050,45161,1994
97038,72458,2019
54049,92716,1992
38536,48365,2022
38065,52147,1995
24003,21205,1970
25701,67536,2002
67197,58866,2017
59803,57640,1998
33903,44844,2009
57649,55044,1993
18005,49128,1981
6317,92423,1980
35491,40471,2000
29079,23235,1994
72380,74909,2017
49127,76983,1999
64947,77665,2000
12485,33252,1993
77134,98641,1977
47864,88330,2010
10997,38876,2015
67104,19932,1997
46063,67595,1985
96124,45790,2020
83528,54469,2006
39858,10201,1983
11482,20112,1993
75542,5678,2013
95655,87914,2003
93137,81828,2004
53180,49174,1989
9320,14509,1973
74717,31072,2018
99918,33494,1998
20171,65171,2015
67019,840,2012
80413,55149,2021
74055,39593,1992
45357,20136,1988
94069,47024,2024
2277,93023,2014
6212,98476,2012
72078,81493,2020
8398,61254,1999
73378,69592,2006
34274,89778,2007
72035,20083,1986
34882,23395,2009
36433,42686,2001
13480,12135,1970
50990,95724,2013
6867,1709,2000
5937,75532,1983
81968,88512,1986
40699,12873,2011
89006,29867,1994
25645,2351,2006
10432,9495,2021
23507,65566,1989
86788,20832,1986
29893,91821,2024
49465,60544,2002
66714,94313,2004
63374,49774,1989
64912,99728,2020
52422,91318,2013
5866,22048,1975
50980,2359,1992
43699,90844,1971
61899,97517,1976
93598,68365,2005
85501,14146,1999
34030,1400,2012
41242,55350,2000
56019,54310,2020
79406,66645,2002
81612,90709,1999
25760,4389,1997
51030,75997,1984
57329,5456,2024
81074,55838,2003
54332,27695,2022
68473,14147,1994
51919,84963,2021
41685,79906,2009
16525,96260,2023
61354,86776,2010
95564,3544,2000
61642,28732,1973
21160,78093,2020
89724,5914,1974
5649,27056,1999
51024,54129,2019
20120,35734,1991
28076,98030,1983
27554,28279,1995
25064,28947,2021
66515,13255,1994
80394,64608,1971
37639,93631,1974
35674,5961,1988
69852,29330,2011
20421,76822,1999
80496,24700,1971
38144,35500,2012
39548,46417,1997
82585,69359,1979
36337,32506,1974
84899,70984,2017
43299,56088,2007
12452,95922,2001
74675,79160,1997
4004,75656,2011
41722,42444,1996
51151,74512,2024
74131,68973,2023
66240,21924,1973
67489,71203,1974
26870,94603,1993
49104,94123,1979
96252,52970,1993
3830,53656,2013
69022,53468,1973
64498,12484,2015
51984,26646,2004
43677,55636,2011
87396,62761,2009
4048,3774,1988
43540,82927,1972
37134,5796,1981
23084,98630,1991
20284,40471,1981
77192,29867,2016
64862,67125,1988
36696,19684,2018
64295,52809,2008
98029,21324,2020
91197,78429,1995
81698,58890,1995
26090,69297,1995
36570,20136,2019
28373,4796,1973
72767,27695,2012
88763,30928,1992
66028,87082,2002
21017,56391,1981
85898,39388,1984
48977,28227,2019
93314,82927,1981
70064,11915,1984
2155,82820,1996
48751,51699,2016
31590,66346,2015
46612,96221,2010
88641,63685,1973
74005,26492,1976
152,4888,2009
81874,32224,1973
89354,27390,1979
73934,18966,1985
38532,13652,1991
59822,52776,1970
15363,74799,1970
35901,40812,2021
4993,39206,1973
53192,57178,1985
67235,62388,1998
11511,5435,2006
93765,22047,1982
77165,55116,1996
41217,74497,2016
6127,94759,2024
50904,79925,2014
75325,5582,2021
1190,92795,1999
98260,68265,1983
46266,46496,1998
3672,79228,1975
63161,12135,1998
55887,82446,2002
32984,25151,1981
36616,81122,2008
76455,26595,2006
14878,29703,1995
49349,24787,1972
75991,37575,2003
25989,80851,1970
42626,76983,2001
68294,11439,2014
11994,59351,1983
48286,54937,2019
12750,70073,1984
98188,72697,2004
19841,64591,1988
25353,33190,2020
59656,55951,2007
12240,76763,1994
58112,37996,2023
81534,89971,2019
46773,48841,2011
57436,5541,1979
45741,55701,2018
38109,18167,2021
55572,3675,2007
45193,59508,1970
45602,15420,1998
67459,31723,2014
55928,69147,2019
57207,35206,1986
64368,46170,2000
47096,32510,1982
78607,33316,2002
19643,39821,2018
43407,94717,1977
33285,35881,1977
37432,29114,1991
5848,40614,1971
23869,57832,1991
92208,93923,2024
72467,22631,2007
51002,75961,1977
61666,68217,1993
38962,88589,1998
85007,92461,2001
90397,64117,1995
95427,81567,1976
70235,18301,1978
21130,91826,1987
79951,40050,1994
76872,79954,1983
45476,20927,1972
61763,21388,2015
40091,89926,1997
80354,97651,1975
23143,78713,1985
23272,82410,2018
57487,38001,2008
91299,43042,1990
35469,33984,2018
87524,20430,2024
88670,80085,1977
52167,94573,1990
27267,75532,1998
45559,2357,2018
57167,18680,2007
21579,26221,1980
34860,22809,2001
4892,82868,2022
43741,56369,1974
62381,73660,2024
57167,21656,2000
75774,24832,2024
99617,13223,2011
51557,94751,1990
29912,58820,1996
68836,23582,1975
58763,94377,2011
78897,94628,1996
70054,4963,2004
83870,37128,1975
76549,33221,1985
11898,86776,1995
76825,28982,2000
3121,87780,2022
21333,4473,1997
1033,75256,2020
80843,50303,2012
68188,42444,1988
99344,9547,1978
30821,66988,1982
18649,59586,1989
82482,69455,1997
70600,83207,1989
13889,18115,1995
79535,90529,1970
19909,62909,1980
92440,31730,2008
19526,48826,1995
70818,36840,1998
81033,88579,2019
13218,50873,1999
92165,85953,2016
51949,13882,2017
55413,45809,2004
82909,97895,2004
73480,8051,1994
35550,51619,1987
11533,54310,2002
78648,60833,1995
88709,30384,1977
1264,61189,2019
71514,59043,1994
88763,40678,1996
23232,77219,1995
16922,8749,2024
62521,76983,1995
92656,50694,1979
94835,9781,1988
42716,29903,1976
19919,67355,1999
55765,11669,1998
29358,34152,2018
5460,85269,1977
21051,43139,2005
42140,72627,2007
34882,86641,2016
3751,31990,1985
47228,24621,2004
62522,41718,2021
97415,90357,2008
76165,87741,1970
57217,3603,2006
12593,96104,1996
19756,24092,2002
42140,95750,2000
56485,56972,2001
19094,758,2004
53540,43916,2016
39484,83188,2020
16270,27695,1972
19015,58913,2011
11693,90043,2002
78049,71243,2004
67830,46105,2005
39041,52358,1985
82482,90641,2007
95287,12822,2007
91609,83945,2005
84511,39506,1974
16322,18987,2011
44142,35102,1999
27536,23822,1982
24445,28191,1998
84171,37718,1990
51902,77616,1985
87045,29991,2015
15363,35798,2019
92162,14799,1983
49115,73454,1971
69119,21205,1991
26873,29990,1996
96272,84963,1984
25805,9380,1999
41326,75737,1983
55353,72890,2001
17868,23248,2002
51938,4699,1987
29274,44672,1978
54093,94526,2015
8824,41401,2008
6675,17139,2022
43367,1257,1976
87885,80436,2020
284,2496,1976
31318,14515,2010
27426,47547,2007
25529,33249,2010
49635,6902,2024
29750,69063,2017
92266,7517,2020
53959,75236,1974
47742,43116,1993
67992,14810,2014
39690,42299,1981
85938,23926,1975
96631,440,2017
98562,30325,1990
99197,62717,2005
8286,70086,2021
2668,2804,2007
7672,12136,2024
48553,90612,1986
83347,74652,1996
21663,7718,2002
24030,90301,2017
24117,86052,2014
29982,29446,2014
88895,56957,1984
34708,71779,1992
64723,76055,2023
68517,14699,1970
7208,50076,1996
25429,8074,2012
40085,62166,1990
4957,60643,2005
53624,65476,2001
44036,93658,1989
881,61391,2015
46668,89753,2005
36178,72890,1989
5154,10016,1973
43933,67972,1988
30297,24978,2009
98608,72156,2001
5543,98997,1985
40985,89207,2024
36802,80779,1997
65900,78244,2009
10440,11423,1980
99573,49575,2004
8418,83846,1983
31412,48640,1971
25744,40227,1993
12299,25468,1983
41866,85101,1998
87375,14147,1979
85089,82753,1989
25657,83593,1993
17071,86052,2011
87694,5632,1979
89635,36693,1979
89842,24706,1985
81989,27544,2011
70303,21953,2009
56051,46820,2016
73285,83640,1978
82032,96773,2010
33285,96499,2005
99150,88871,1985
21914,64611,2005
88276,84514,2020
50080,29168,1979
3810,26396,1982
91245,64241,2006
10394,39695,2017
51678,70855,1980
16420,3622,2012
17963,79637,1999
49616,90716,1998
31013,15239,1977
80831,46843,1991
99577,624,2016
43734,45724,1973
55044,23888,1987
48862,78031,2008
50717,23758,1998
51650,80417,1995
90690,77835,1993
14888,59568,1991
90974,24610,2003
36761,90118,1997
90974,39343,1988
85089,67679,2000
54220,6717,2004
54517,9014,1980
11467,2303,1979
27157,15237,1971
11896,17835,1997
84425,19207,1992
90149,59769,1985
20097,90301,1991
115,16854,1993
85798,85084,1981
67060,86728,1986
54332,3529,1976
91699,23912,1991
27988,8972,1991
53444,34151,1978
82340,8619,1970
15901,52147,1994
41570,93211,2002
63593,77194,1990
33289,32986,1993
2460,22133,1972
93944,94226,1984
11967,46783,1999
68282,93601,2011
61260,38123,1986
94990,7481,2019
88488,34003,1979
76581,99089,1981
495,93046,1994
38122,86984,2001
4384,49467,2003
32671,7401,2023
35553,58181,1994
63719,41869,2012
448,18381,2014
69042,64841,2009
34299,77692,1999
99771,28662,1972
37952,43328,2021
97317,91017,2000
43044,2795,1973
63598,88138,2018
12965,15558,1995
13509,74799,2004
2265,75061,1995
35174,63113,1999
11804,42017,1971
29354,79424,1983
18882,20595,1977
3513,32999,2008
13524,24751,1995
11632,75061,1973
27217,94633,2009
74050,79286,1972
75183,11966,1974
96313,65320,1979
96631,81077,1982
23681,20370,1982
26299,59885,1989
18847,62753,2021
41490,17989,1992
21631,67993,2022
10622,39961,2007
31726,60797,1982
16081,69401,2000
47558,6453,2016
23391,39237,1993
1447,10170,2012
16215,53845,2021
64197,42809,1991
63913,12532,1982
7781,91036,1984
98370,90612,2023
74475,3328,1986
20320,91815,2000
79111,95546,2024
85800,70480,1990
222,19424,1983
85889,73192,2011
14804,76976,1989
19571,4278,1991
9297,37170,2003
16840,34388,1973
2306,94754,2020
86024,98757,2009
89518,650,1971
14153,54198,1982
52019,38477,1973
61611,42533,1980
39052,48174,2017
49788,62431,2001
9338,54455,2010
65509,81834,1994
67626,23542,1998
13435,48668,1985
8667,74652,1989
84761,45003,2016
31922,37485,1971
81194,34858,1978
17884,44937,2023
90332,29332,2017
38536,47036,1997
8978,45,2015
43367,68377,2018
48810,22223,1994
70962,99009,1976
98167,87394,1989
2950,6029,1989
43616,47429,1973
45959,10933,2006
15901,51604,1985
71588,60705,2015
71887,71061,1975
17436,14433,1984
54814,76510,2018
27650,52427,2024
41570,65101,2005
58216,39388,1993
88771,99319,2023
70454,234,1975
50293,97419,1986
57059,29681,1988
34261,94873,2023
9166,44767,1996
47610,75063,2009
56368,71156,1975
72200,90751,1994
22993,76597,1996
34823,76857,2012
33013,93651,1997
53814,29493,1975
90895,1532,1998
94398,35629,2001
72711,889,1988
17071,56946,1999
57972,58380,1973
67098,51750,2021
85014,68786,1993
34317,29677,1989
71670,70371,1972
39401,90722,2021
2657,64635,1990
64014,11045,2002
20874,75417,2020
29544,47514,2013
99602,62909,1985
16961,92701,1980
47864,67359,1995
4817,76833,2004
19180,75225,2020
73497,90402,2013
85768,47868,2005
12978,35862,1988
74156,68273,1991
63290,66014,2000
78878,95907,1971
40743,66923,2012
30667,82144,1991
73350,6113,1996
38042,99873,1975
18802,45912,1970
47053,78867,1986
49970,93900,1973
46639,9958,1991
55571,16253,1979
98670,4628,1981
69709,80158,1996
52523,12492,2011
16693,33336,2007
27561,88351,1972
38900,22255,1983
15931,3397,2003
75197,66387,2021
22315,46014,2010
18395,74861,1972
73378,50524,1984
63319,30031,1972
6019,45881,2007
64047,28022,1984
35166,998,2011
63913,12552,1973
52748,36481,1994
70354,88273,1987
32285,70480,2012
94468,67354,2001
33692,7695,1989
27162,37156,1972
61999,7960,2017
47736,66375,2016
59771,44514,1972
67020,63004,1970
19337,23822,2017
54649,98602,2022
36093,11216,2016
61432,54700,2011
75751,7481,1998
81539,46844,1981
30405,44183,1974
31848,76732,1972
44700,38306,1971
77036,98094,1978
83316,73192,2015
27412,66645,1990
14755,19565,1997
59160,636,1973
66984,99305,1998
15483,36343,1977
69448,60645,1974
30034,33062,1988
65530,77918,2023
41676,60748,2023
33646,44709,2016
78152,85227,2010
10956,92831,1990
33862,70540,2003
47039,43300,2003
37564,22578,1971
76872,56743,2015
46930,69986,2003
47151,54293,1984
2517,58987,2008
36204,49601,2007
12593,85790,1979
29049,9761,1971
9957,2192,2021
19630,27831,2020
71296,68675,1980
62647,31179,1999
56878,21956,1992
32648,43973,1981
96022,46584,1970
4459,68464,2017
79552,48174,2024
86716,8636,2010
418,47456,2005
69155,68674,1994
48286,14824,1982
61294,43904,2011
19802,37349,1989
40211,7441,2000
7805,26492,1994
779,71566,1979
33032,79228,2017
70841,32986,1982
18954,77288,1990
82855,73447,2021
30025,41124,1999
84301,72634,2003
68300,51543,1970
20713,44841,1978
73914,65442,2014
47470,18940,1986
59955,37192,1973
49697,54700,1987
85389,55720,1986
42230,92862,1982
45563,72701,1973
91325,27644,2012
37432,15373,1991
94544,35700,2007
84064,10697,1978
76038,25750,2014
24525,79059,1995
60751,20728,2008
45488,23168,2021
99701,68365,1973
35617,6290,1982
36952,28091,1990
88938,21194,1999
15800,61049,1978
62458,80831,2012
27682,65114,2017
87258,28670,2011
40941,9317,2007
40644,29649,2018
83529,44554,1975
63430,76191,1987
61776,19107,2004
3718,3328,1970
93244,26620,2011
21683,51524,1978
16872,57595,1987
61886,29317,1975
76455,99551,2021
49795,86380,1996
88777,38176,1986
42298,34329,2015
94857,34179,2019
99131,20786,2015
5280,54705,1994
33467,10064,1995
17010,66924,2009
71677,49575,1979
48671,94363,2012
22723,15110,2002
21435,31437,1994
22306,1101,1978
97637,36944,2002
65141,68191,1997
50418,74861,2012
93442,82080,1986
436,89998,2007
54818,85601,1985
67313,59739,1997
90142,38072,2019
57438,12708,2022
87606,14126,1980
95190,98734,2005
53850,91826,2002
22232,26406,1994
61934,9952,1988
17837,28435,2007
84921,94603,1978
21615,20197,1973
96022,61592,1995
39910,19906,2000
48127,61928,1993
40496,97327,1980
76691,26606,1977
92954,14136,1994
13832,33379,2011
13794,1469,2021
18068,34914,1987
23811,44680,1986
11192,16697,1990
49691,36378,2015
40118,92755,2010
43065,78392,1992
22178,45250,2002
95844,75028,1992
36529,15809,1989
19303,91779,2008
48763,26032,1981
75774,91686,1998
1089,59712,2010
73626,25606,2018
7621,36817,2000
72356,66613,1975
38517,75430,2023
24710,49577,2022
93155,19418,2003
29296,29332,1985
64140,84856,2015
48212,62007,1977
52407,6497,2021
71457,21575,2000
70541,19461,1992
15649,46401,1975
76513,47892,1992
49527,91866,1998
38383,44987,2007
59151,46903,1993
91623,85679,1994
29288,89582,1994
45851,45699,1983
44711,39837,2010
99578,8542,2019
83047,88871,1978
917,54280,2001
36680,52213,1992
14646,98517,2008
65297,92684,1974
82032,77835,1971
98656,53845,2007
23143,31275,1996
99428,47418,2005
8100,57115,1998
15783,74064,1976
43385,25294,2007
16333,62961,1981
69075,14572,2004
22050,7606,2018
16677,50374,1994
15409,25112,1989
69329,80405,1984
55044,87745,1979
50885,68464,2002
89085,3303,1977
56248,79200,1991
61185,89545,1984
85750,47451,2010
99136,4220,2008
54543,87999,1996
89998,6299,2020
29552,67789,2013
44874,2280,2005
71486,72618,1981
21837,35842,1970
10968,42126,2005
71588,8879,1999
84969,49311,1984
48553,37767,2021
60287,10221,1976
17197,59351,1983
98614,61870,1996
79564,29809,1993
43110,39881,1984
89518,34914,1982
45467,56876,2000
29017,46951,1978
98184,78447,1970
8901,50807,2017
69394,6027,1976
99873,98507,1991
85800,76055,2017
78012,42533,1997
43408,1137,2017
82410,69489,1989
13435,50080,1987
25640,43912,1999
19415,25499,2008
73398,74386,1973
99228,27333,1984
87018,68843,1998
16251,99593,2009
48903,99897,1977
1192,83300,1974
99871,24942,2007
89101,35464,1993
22955,70445,1975
91565,75110,1971
75162,31509,2017
26585,61304,1974
63849,13088,2008
53512,20619,2020
82562,3774,1971
76568,93734,2012
388,52437,1992
82472,49021,1978
1710,43814,1994
17644,3438,2009
53706,75960,1995
91113,78480,1985
74609,27842,2015
50246,56318,1974
65847,90310,1997
65151,57575,1985
94546,88269,1973
6848,24632,1999
17207,51953,2008
78758,4322,1992
28592,85692,1991
50976,87028,1983
85067,80951,1974
68966,26651,1997
90761,62956,1991
84036,86132,1999
39294,36821,2014
1967,12107,1978
12593,99266,1990
29787,24787,1970
61556,3563,2012
42367,85741,1997
57673,73843,2022
18746,12301,1977
81285,87866,1971
57569,14129,2001
93448,69978,1975
35141,26760,2019
77974,93788,1995
15525,97188,2010
79325,81116,1977
81194,38186,1988
99360,52350,2007
73845,64318,2024
31738,70971,2013
43374,53330,1996
38519,78906,1981
26150,38400,1994
50885,72899,2006
26090,74091,2009
16495,55300,2011
45227,2602,2010
16097,95844,1980
21051,4083,2007
54220,72518,1988
1166,93190,2003
61611,24227,2024
118,2611,2002
25110,72955,2019
37456,4930,2002
77561,14757,2023
98865,12484,1988
32591,11213,2023
10443,25750,1984
43608,23252,1996
59464,56221,2009
37364,34751,2008
37051,83786,2007
27060,8736,1982
83579,66346,1978
97868,9067,1995
20208,57200,1999
66983,10767,1970
93412,7708,2016
72886,99629,2016
6581,15593,1983
78758,73030,2017
57868,70484,1985
97499,90041,1997
81842,51531,1976
64289,52641,1990
82099,84921,2020
43596,34703,2020
61633,62847,2020
93448,79900,1982
43654,72057,2020
