CompanyCode,DocumentNo,FiscalYear,LineItem,GLAccount,ClearingDoc,ClearingDate,AllocationNo
78720,3827891859,2005,52,3ed3,8714UDAIG9,1992-03-27,1080lfyFR8
78720,3827891859,2005,867,6ap3,1396sBqxn2,2012-04-21,6465Wqhxs4
78720,3827891859,2005,489,5cR9,8523VbCSo8,1981-12-12,7166wEUUB3
83638,9654139819,1990,327,1Eg2,2535CcwIc0,2019-10-19,2547RJiNI9
83638,9654139819,1990,482,1uD2,0552yqfmR7,1992-07-18,9296YJLAb9
58777,1370295522,1993,249,5If5,1051UKpDZ6,2009-04-27,6864qKIHx3
58777,1370295522,1993,818,4Ot0,0552JzPmw7,2021-12-26,3760ToXGr5
58777,1370295522,1993,410,2YP8,3549GWJKe9,1977-11-10,4314LbAfA5
73720,9967825756,2002,817,1SQ6,5991Qufkl5,1972-09-03,8577KRWTd4
73720,9967825756,2002,34,9Wq9,8419HkcHz3,2006-05-06,1420fvymw2
76076,7823214060,1982,565,2PL0,5742mnqmE4,1985-07-05,1182WVdEf7
61584,7834435432,1983,106,9Gm1,4592hcovP9,1988-03-06,3850sBJme4
60110,1681070738,1988,199,6VC7,1536EfWQz1,1980-06-05,3713xesJa3
28484,7901422254,2023,970,7xL9,4691WCRDE8,1984-10-23,0995FBCuv8
36199,3018701725,2002,79,2IC8,5738tKpxP3,2002-07-05,2922DEzjd2
41939,8075947855,1980,441,3KZ7,4163edOWj3,1980-01-22,8438hvEhw4
41939,8075947855,1980,905,4tU3,8450HiLpb3,1996-02-23,6902wRyMk2
41939,8075947855,1980,29,6go3,7305rYKpL2,2021-07-13,4201qYqow7
98663,8630119138,1980,966,6Pg6,4109UMcQP7,1993-06-18,0880AmfYM2
30183,7187230431,1982,281,8Nx7,9271uuoLn7,1995-10-06,3852qoACr1
12023,9115698235,2019,229,9bs8,5179HXAXV2,2003-12-18,9760pDwsb6
77665,6320694923,1976,594,4zh5,0565IyJaa4,2020-05-30,3242hyshf7
72988,7389482161,2011,634,2MF5,6500tHkGU5,1974-01-21,1365UeDtr0
72988,7389482161,2011,370,3MI8,7517Osuup9,1994-04-16,2015SCBHE6
15119,2147474613,1992,346,7pb9,9743vYCag3,2000-05-26,6346Anmbh8
15119,2147474613,1992,996,8cD6,8503KAEVA6,1973-04-26,8502lYaOu0
15119,2147474613,1992,169,3RW5,0707AoPPe0,1971-04-27,3493fwgmP1
60207,6412914693,2008,431,6CN1,9031EmWZW4,1976-06-25,5010VqQRL5
60207,6412914693,2008,449,0yG1,0181IkOnt8,2008-04-30,0182BzTWM0
60207,6412914693,2008,233,7RZ6,7605QpcYq5,2012-03-07,8451MdqcZ5
10997,1528447046,2007,475,8aa6,3017TqjLJ4,1985-04-27,1880TNroD5
34452,5309073190,2021,43,4pX3,1968gZjsl8,2017-07-23,8139acQyS0
44132,5384561627,2007,512,0vn0,1682kSmsD9,1992-08-05,9054JtOwC7
44132,5384561627,2007,968,6TE4,1023OuASg5,1970-08-23,0098TApCN5
47289,373820388,1986,172,7Gl0,5387QSADl9,1976-10-14,9319zozVS5
92157,5418558967,1978,304,6FT8,7372OnzDk6,2004-05-29,0918NltnB3
92157,5418558967,1978,355,9NT6,7760KYjal9,2022-10-19,1943NbSil8
19985,5404945978,1994,785,7pq2,5402XSHUa6,1988-09-26,9125uhpRm7
19985,5404945978,1994,469,4pd9,5318DhjaB2,1994-03-19,9606iqaDF5
55817,6747512011,1986,237,3nT8,2659lJGSZ3,2015-08-09,6639dWifw3
22480,7364927037,1977,220,8KW4,5731IvgbT3,2008-11-27,1387gyycs7
22480,7364927037,1977,764,4iU9,9631UnMKL2,2005-06-23,9432rxbSF1
49477,2856845638,1999,156,0FD3,3096eXuYj0,1987-11-21,0736kdTaW1
49477,2856845638,1999,212,9Mc7,7784xUuHl1,2021-11-18,7746aJHYZ9
81189,2258391555,2001,751,0xT9,6890QAyvk3,2010-09-11,5076ZxVyL7
81189,2258391555,2001,567,3Ex1,7602MVnHX0,1981-07-04,8264GCMpS3
46601,7040990826,2013,508,3rr9,7828JkCcw2,1987-12-19,4779Jksph8
46601,7040990826,2013,340,9DB2,3154rceJZ8,1983-02-04,0042ymdYV0
46601,7040990826,2013,327,1eW9,0787SCVUt1,1994-12-02,2985XiKnK5
86529,6970599981,2013,91,1lm8,6517FvFqI7,1989-05-03,9895BeojU8
86529,6970599981,2013,590,8kZ5,6214PDDpm1,1999-05-15,1009IVBLe4
99988,9674667947,2007,716,7lM8,3455RSVKr8,1975-06-16,4068sjFfc1
36450,2879940566,2009,474,3kt0,1901KxSUG7,2006-07-07,5279vvbCB4
43493,9151926848,2014,716,6Tp8,1209TINAf6,2011-07-09,6801mDmCn5
43493,9151926848,2014,974,1qr2,0683hjHcB4,1997-03-28,3577qvRzu5
43493,9151926848,2014,155,1bp4,4585ESTmw3,1973-07-26,7499ZPPbK9
81541,3846219603,2012,934,7xK1,5961YGaZJ2,1979-04-04,1532lqRdT1
51256,3448154048,1993,884,0DK2,1112hPUlW9,1990-05-24,6513zkLsB6
51256,3448154048,1993,127,0GJ0,7191Vhhfx9,1988-05-29,7703zRoSi7
13417,5041573244,2022,415,4AP6,6015KHDbt9,2003-01-29,6853mKneS0
13417,5041573244,2022,498,1Bb6,4834FXojZ4,2005-09-01,1212LDDLT2
13417,5041573244,2022,526,2dR2,5287xnnnP3,2021-10-12,1316mUswJ7
88295,8815724861,2006,800,0HQ7,9078yVBve9,1973-08-15,6718bkbJz4
9878,720193149,1976,242,4nR3,0439GbMQx1,1984-11-25,5063vxzsk0
9878,720193149,1976,448,7Qe4,2221YAUYR1,1970-06-22,4641lmsFP6
25322,3376237130,1991,937,0OX2,5232lcntd9,2024-01-18,8579hwemy0
25322,3376237130,1991,396,6PT7,0702gxKWJ5,1990-07-15,0010HdWfn1
86807,5837592711,1973,801,1ck3,6688qmuRl8,2010-06-27,9474qnegZ3
86807,5837592711,1973,779,8vG1,1341qtUzm0,1983-12-05,7125FRZBY0
86661,2883879979,1991,384,6PZ4,3022ofyDL5,1981-07-27,4336tdxxy2
86661,2883879979,1991,783,0hV1,3777bmdRa2,1973-03-11,9365jSoTc1
75597,2521560495,1994,437,1eQ4,6537ToVhy6,2011-01-16,2327oDOxG9
60816,1106540490,2003,418,9Cc7,6964zAmyc8,2015-11-12,9808BdEWE7
60816,1106540490,2003,488,1pm2,6990HRTbN7,2001-04-02,0782jGHdZ7
86129,9584403139,1981,207,5Lb0,1312bqYXX2,2011-11-24,9887LqFNC3
86129,9584403139,1981,891,9Yd7,6148ogdnU2,2003-05-21,1012GxqIQ4
34432,2210102360,2017,521,5eu8,6922rQTWZ1,2013-01-28,6044cojNP2
34432,2210102360,2017,182,9Jh5,3411BYGhB4,1999-04-01,5851HwztL5
60192,5356412810,1978,138,6Se9,0813dkOxY1,1982-04-07,9184wRMwX9
60192,5356412810,1978,409,5Jj9,7887caSoJ6,1984-10-05,5527yOrnU2
23472,4803684405,1975,590,7GS2,8364tqUDl9,2007-01-08,9905NvuGg2
23472,4803684405,1975,317,5nq3,5366ipWRw7,1990-08-09,1576bhzcR8
23629,7530407711,1980,751,6zt3,3158bdRxS5,2022-03-07,3406osnpw0
36364,463509511,1993,874,9An5,9832UXlEV5,1989-04-10,9520NHkMb2
56674,5838264448,2011,796,4jG2,3343uqgqm6,2015-10-01,1024VSkyF4
41404,5681731798,1992,301,9ay3,3997hfytt8,1982-11-17,9259isKYo1
11573,7361961257,1976,912,0Py2,0473PkYnh6,1979-09-04,0014pZLnM5
93562,9810089161,2004,207,1OJ6,2219KxmUB5,2020-05-30,6715rWGlZ4
93562,9810089161,2004,453,2Bn9,5803xuUHj1,2012-10-19,4200BePZk5
50338,9481392065,2015,4,3nb5,5063XkzVX9,1986-08-04,7554MTzZV4
50338,9481392065,2015,754,2jE7,9724MXoxZ6,1977-02-15,1775kgkUF2
40495,2128906563,2009,631,4UQ3,4891rbDpf7,1977-04-06,8085SXnGJ0
53322,2594926091,2021,446,5to3,6685bKvjW4,1971-10-06,0505OVbBy5
53322,2594926091,2021,580,2NA8,6807IMliJ9,1978-12-07,4623KAvqh9
33777,1740933888,1995,394,8sx2,8801wvclo8,2007-11-27,4947gkoFK6
33777,1740933888,1995,280,4Th0,4906QZKbU2,1977-06-15,2645ruysd3
33777,1740933888,1995,563,2zF4,2012ixkAu9,2006-06-16,8262QLFwT7
39559,3464867827,1982,725,1dS1,4009QxnVx0,1999-09-04,0787vivSA1
39559,3464867827,1982,312,9js8,6685zCQBs8,2000-07-03,1320oHCwd2
39559,3464867827,1982,221,0KD8,7150mrrri5,2015-05-24,4451vfroR9
84315,6394531697,2001,429,6ua6,1945fNKmd3,2003-03-28,1568MWQGk3
73599,4341380386,2022,598,9Ub0,1686AZHwB6,2000-12-27,3832XJVYm9
66735,288714683,1980,89,2pl6,0940LWUUz0,2003-02-17,7127CQXRj9
7347,9474006381,1988,921,9Vr4,2279zCspp5,2015-01-04,0226eVcxL4
7347,9474006381,1988,905,6fh8,7909vRpLL1,2001-05-06,7635KABaV4
15325,5965285311,1989,16,7MG5,5912vEvNs9,2010-02-03,4784XDfcA4
44841,2961254533,1973,429,1rp7,3132OrNMg2,1999-06-03,2249KktLg4
44841,2961254533,1973,303,3Sq6,2051TEMzZ7,1989-12-26,6038mQFyD2
97416,3411176189,2000,49,2sr7,8001xyKQU1,2002-09-23,9865jGcsQ8
97416,3411176189,2000,509,1iK8,1745NWKMZ9,1994-12-08,6201WfSHD3
97416,3411176189,2000,35,3zl0,8715qJLRS1,2019-06-10,7094EPEcl1
64749,2012943330,1983,756,0nD8,5693WnXdF7,1998-05-22,3201weqAo1
64749,2012943330,1983,218,1Ij0,2361PXktb7,2022-09-01,5884VjAuI3
28317,3626303145,2022,223,6Im1,5675QFEKU5,2007-06-20,4238SlxqR0
28317,3626303145,2022,174,2gl5,1227buQmz5,2021-06-16,8110ORuOW1
22451,8253110846,1995,832,7QK3,0256XJmNw8,1980-10-21,3968KkJmN7
22451,8253110846,1995,388,9Am9,4530lxlhA2,1996-11-03,1792mMobQ8
22451,8253110846,1995,639,9sg7,3626MNtwW6,2005-03-31,5625wtFvN9
5591,3720662354,1980,876,8Df4,8832zaGTq9,1976-07-08,2001ZqDWg5
48635,9596200030,2019,340,5Dl5,0363FQQMu4,1990-03-19,4448WXhSS1
48635,9596200030,2019,838,9DW9,8653faqyG8,1994-02-15,5724WZnoJ4
48635,9596200030,2019,169,4YK2,5954npsxe7,1994-03-12,6013rdTVF3
38502,9268747068,2011,714,8yD0,4234OCbpz1,2014-09-03,6032xgoxY6
38502,9268747068,2011,179,3lH0,0935fenEe6,1976-06-20,1367zcYJP7
17183,6910015398,1983,469,3ZV7,4149bfslD1,2008-06-18,9216ughUz7
17183,6910015398,1983,349,1CY9,9382wwvMO6,2004-01-20,1053lJTZD4
21951,2424121870,1992,135,8aG0,0140kmAQg2,1990-10-09,1764ljNVP3
21951,2424121870,1992,754,7UB7,2497DEjNn6,1972-10-11,2030CeyHA3
40761,183393841,2024,578,5OX3,5386KWvAT1,2016-01-31,0471iiwOR0
40830,6330761423,2021,396,5VO5,9342khiCv6,1992-08-08,0227tnexw2
89822,333497192,2009,121,7FU3,1209LsaZP7,2005-03-22,1809eOLwW8
74695,1749042983,2005,655,9TJ1,1279FqpIy7,1970-03-29,6944BicBI6
74695,1749042983,2005,973,9Pm0,0016myIyA9,2008-04-19,3401nGdeQ7
96036,1218146788,2008,562,6Je9,8797ZWWlU3,2004-01-07,0374OqYBu4
51543,3164325348,1977,243,9Si2,3745rzYoX4,2023-11-04,8517vexTl2
30522,4285627964,1979,621,7yn7,2415ppFsI0,1989-04-20,2664tvfLE6
77362,512838993,1997,94,7yO1,2186aTtYY3,1995-04-13,6592ffGEH4
13251,7292991524,1980,177,4si2,5085VYhdd7,2001-09-21,3495koggw7
3974,2029260558,2018,498,5hj5,6720SWVEZ4,1999-11-16,9082aEnXl2
13178,2713361682,2015,870,3Bh0,7736BzeIc4,1990-11-12,1826wicdy5
96878,3174065521,1997,286,0to4,4158swjCk9,1982-12-24,5358sAcpb2
92635,3674403509,1992,802,7wh0,4194vhxDQ1,2001-04-15,6060ngovr3
92635,3674403509,1992,760,6pl1,3701FJQAb9,1978-04-16,3402xDQkd3
91184,6064390744,1986,27,6Xj9,5564etVpJ8,1984-01-14,3021WKfyl1
72401,2418498319,2003,144,6Ig9,8839VAMXs5,1988-01-23,2553rMSjY4
72401,2418498319,2003,161,7hV4,4951HQazt0,1981-05-25,4185eYZXb9
33426,2110437913,1986,258,9Dz0,3374yTMqo0,1987-02-26,8219KwJNI8
33426,2110437913,1986,324,1Nf7,2929rnzeU2,2014-01-30,1203Wxsis6
33426,2110437913,1986,655,0Br4,3353EHOMW6,2018-10-26,5377bnUZI9
40194,9418708343,1990,712,6Jq0,2570oaHNP1,1990-12-17,7039RQicf6
40194,9418708343,1990,361,8Wb1,4465ACtWR0,1991-03-27,9874xONVN3
12708,7251366091,2011,774,9YJ8,9145tjrFp4,2015-06-16,1229jmScE5
23979,6643882813,2022,645,7ac1,5517yiJSl8,1997-04-18,8915oNGwr6
23979,6643882813,2022,111,7vz1,1475RSXsi3,1995-09-13,4415gIpft6
23979,6643882813,2022,96,9Pm3,3226JbjMz1,1975-01-17,9431RCWVM1
3701,4728068599,1975,738,5HJ3,9627NJcZt0,2002-03-25,4912XFziU4
3701,4728068599,1975,250,6Ub2,2708wskTR3,1977-01-27,7365OnCFS4
3701,4728068599,1975,338,4rw1,8644QjVlw9,2021-08-05,5421wfrjk1
38949,4806965276,2023,963,9Ro2,7675VUbGS4,2010-02-03,2387cbwfP5
47902,4597371763,2001,868,1nD3,7924MfYWX5,1977-10-07,6104CoGBF5
47902,4597371763,2001,962,1Ed7,4791llbcg4,1986-08-19,5072aizuM3
26279,8072687432,1977,794,3Jt1,1191toMwX2,1976-01-07,6726TZWaa4
19020,608457826,1987,451,1dO9,6166nyrRw2,2008-09-28,7729sqxwx5
19020,608457826,1987,772,2UG5,6909txaOm1,1984-12-21,8096LtueY1
19020,608457826,1987,65,9LX0,0957whlri8,2011-07-02,3570nOREf2
84879,7544797317,1993,169,2UJ9,6904YPVQl5,1990-10-19,2036qnRCg4
84879,7544797317,1993,476,8fq7,3863ixsGK0,1981-04-20,2663IdjRj3
696,8304768456,1995,577,6de1,9593FHAWf1,2004-04-14,5407vwVCx6
696,8304768456,1995,482,3Hg3,8940IVCva9,2019-06-23,3043zKWQP1
61333,324011238,2000,662,6cJ2,2371ObLIj5,1972-05-26,2878svwmi3
24254,6454529056,1995,80,2iJ5,8694BbmHf9,2011-03-08,9297lizNe5
91898,4537899692,2008,208,2bW3,6745odofO8,1977-07-07,5626hQBms7
64170,4356000976,1989,920,7AA4,2310rCckp3,1995-07-29,0439PJhPI0
71686,6901572172,1985,920,1Ch5,9389dXyTF3,2000-10-30,9310kuARJ3
71686,6901572172,1985,974,7Lr2,5809DPRaS1,1987-12-14,4031mmIvh1
11272,6665213212,1987,567,3Lv3,1164CfqxY8,1972-03-01,0775AAYKV3
11272,6665213212,1987,778,4YM9,6297IxUZJ4,1990-02-22,0213FqAsf0
21308,6622467516,2010,41,9ot1,0892DhLTF0,2012-02-13,6158yuFAH6
21308,6622467516,2010,394,9St3,5285fJnvS0,2001-11-03,4847tAvrB4
24978,7272517647,1988,753,7xj7,1853dCTvB3,2013-04-18,6138VkiFR8
24978,7272517647,1988,446,5lB6,2695HRfzW4,1971-10-08,4845FjQcu8
24978,7272517647,1988,657,5Hr9,9998jgMeu8,1980-01-06,0113EtmCR7
22148,7580791964,1988,386,6zm5,0045zoZSs1,1984-10-14,0341VdUvm5
22148,7580791964,1988,964,1wd7,5842SNKOX9,2005-11-04,5887mcVzi9
68717,1476204519,2014,620,8Ck9,9490aipoa2,1977-01-26,0856DXETn0
68717,1476204519,2014,68,0OS0,3822jaXUC9,1985-01-28,7324BdNpk6
68717,1476204519,2014,53,6dt7,5803QiHcu5,2020-01-21,8571sUDgL5
10625,1258705281,2021,723,9pN4,5638ksLNZ2,1997-02-08,5548JiyDw7
10625,1258705281,2021,881,4vf8,7065qwRYt3,2003-05-11,3244dymoV9
10625,1258705281,2021,150,7Fv3,2029ApTio9,2024-01-17,0483oIJnI3
72843,3683838534,2001,893,0hx6,4370TAqyi7,1975-02-20,7482QvzKa7
25134,8107198530,2016,423,3yZ5,1237MHytE5,1998-03-19,4351qzfRk9
25134,8107198530,2016,443,8Jg2,0665UsJSX6,1995-12-17,6991Vichi2
75572,8119162035,2003,311,6UK6,9927sZpMM7,1983-03-26,9071rbTIt5
75572,8119162035,2003,515,6lG0,6018gDKgI5,1999-01-19,2471xLFSg1
112,3480396560,2015,983,7ti0,2367xFXnB8,1982-09-09,2308CcEhi0
48098,2731954203,2024,163,5Df1,3245Xouce1,1984-05-09,2917UQsgk2
24333,509348341,2013,914,1Gx6,3656eDwhx4,2014-04-11,5526LohmQ9
24333,509348341,2013,476,2qd7,6944qEcUP5,1999-06-29,9444eOHIb9
24333,509348341,2013,981,7YF3,6023ewoPD8,2019-10-03,3858SilDn0
13356,564840006,1987,715,6AX0,7213uzLUv0,1987-01-04,1399iQHSv9
13356,564840006,1987,429,6lp1,9783PIcLv6,2023-04-23,5185ouTUv4
63731,8283406297,1974,533,8Py3,3632CrSZy7,1997-04-10,7223Gtzkt3
63731,8283406297,1974,511,0fe2,1018CYAlI0,1970-02-13,2891IZGkF7
63731,8283406297,1974,581,4bA7,6697AtjzY2,2000-10-09,9816PbUIx8
56942,6800000851,1977,642,5FA5,0358suuxX0,1981-04-22,4212EuUWS2
12848,3819072419,1972,150,9jS4,1799Vzoxc7,2013-04-20,1654oflDx8
12848,3819072419,1972,447,1fI9,3617WygjR5,2002-09-06,4547wxvNa9
43596,695344192,1988,233,0Hm6,0084KIpxS2,1985-07-28,2777TbgDR8
43596,695344192,1988,464,5yp0,8666pZvbl1,1997-07-19,2389woSor3
60778,8095397727,2012,233,6yW2,7454HrTAk3,2023-04-07,2227CfQyo9
60778,8095397727,2012,605,6lw9,5317xThvz4,2009-03-05,6650gXgxD2
60778,8095397727,2012,270,6ZJ1,2473rlQTC7,2010-09-24,9882vbeeM5
73135,1543109593,2014,720,3BX8,6281RukZX7,1999-07-26,0099dgvhn8
4877,7049017308,1990,47,9Ld8,2921Cywag3,2010-11-04,7516zosyJ2
4877,7049017308,1990,411,8CM5,8303vyzfq6,1992-09-08,4729UWxvo7
4877,7049017308,1990,355,9ye2,1877CDCDm5,2013-04-09,7834BlUOe6
19175,6945497332,2024,274,9Dk4,7443IsINQ0,1970-03-06,6719qVHGC3
73160,4281475412,2002,97,6he6,3962PFtbq8,1975-03-16,7139TZIQo4
32088,8014645637,1976,965,9pn0,0236sQrLX1,1989-05-13,4469evHIH3
88336,5203179378,1995,296,7Az3,1734APBMf3,1978-12-12,6501nzrbL8
6630,7850507009,1976,563,9FY7,8353xoQST6,1988-12-28,8988LkFEO3
6630,7850507009,1976,837,6fv4,7269cMOKl5,2012-01-11,2383ZKPmQ0
6630,7850507009,1976,472,4sj3,0442Mrovz8,2016-09-07,5447WQtTD3
3030,7680278253,2007,723,4KG2,2768XvvoN8,1992-10-03,8864mQeGK4
44151,4822696191,1986,50,6ua2,0777NpKJk5,1977-09-28,6241ozSXo6
44151,4822696191,1986,477,2ZH6,4992HAcUq8,1991-10-30,7679eeQVc5
44151,4822696191,1986,687,8HJ0,7309LPJlR1,2022-10-19,3958LNMma5
14620,7298022841,2008,881,6qs7,7346dIedU4,1971-01-01,6919ewKBf5
14620,7298022841,2008,308,1ch3,0923nQkGV1,1983-04-15,5230pvvEi6
67306,7682218939,1986,38,0Dp9,8582IhGjC8,1982-10-11,8789Mbxdt8
67306,7682218939,1986,823,3FO2,0224BvIJp9,2011-11-10,8050yHpkg9
67306,7682218939,1986,363,0FI6,6837TBMiR7,2014-05-09,8797lgqJR5
48824,8769414754,1972,117,9Kh0,3808ObaaE4,1981-12-12,6812gcrbo2
78582,5315781965,1981,179,6GO9,9336SBWLQ2,1975-08-06,9911awgWL7
78582,5315781965,1981,621,0MW3,1886jsDWz4,2020-05-16,4401NgGJE4
1041,1222548043,1981,754,4Rp1,0982IsGAE0,2023-04-17,2752SLdIJ8
1041,1222548043,1981,725,8XD7,7824WfhWo2,2004-05-18,9018cVSJA3
92417,475241108,2005,380,9pz1,1415bEVWO3,2019-07-23,1814SNEvf3
54877,2236898398,1981,82,5wC3,9755cIXrV6,2005-08-28,9051IIMrE5
54877,2236898398,1981,745,3Kg4,9032vlIER7,2005-08-31,9699ibKVC8
79614,1651032939,1987,894,6vf4,7055hgqUp2,1970-07-13,2704awmRA9
46454,8859507963,1972,202,0Zt8,2525VarMT7,1974-05-22,9513JvdMT0
31032,2558186506,1989,62,7WM3,1505liIHS7,1990-12-12,1281EGLLU6
16123,4601346684,2019,197,5pD8,1680NDwnT1,2006-12-22,6122Xvlws8
16123,4601346684,2019,195,6XZ3,7168AsRoO8,2005-08-05,7256jnZzF6
38116,9859690587,1973,824,6Sh2,7393MFuXX6,1975-02-08,2098tBTAW6
38116,9859690587,1973,399,2oP9,4860uxLSj5,2011-02-04,7224gRKmp8
38116,9859690587,1973,948,3PX0,3439xfbZh3,1982-12-15,3182HUeQY0
36696,6380840997,1973,595,5sg3,6370QNeCy4,2020-07-31,5280WoCQT8
36696,6380840997,1973,665,3Mv3,6342YaRAn0,1991-11-13,5149uJGRr1
27754,8093088444,1979,606,2eu6,0122lyKdx2,1994-07-17,6482UjEvd4
27754,8093088444,1979,838,1kt4,6959AwuRK7,2000-02-24,1978TbHQO2
65190,4311483528,2008,725,0tO1,0655JLPhe2,1973-03-08,0609PRIzU6
65190,4311483528,2008,671,5aO2,3856juXEy3,2001-10-11,9904gFGEz3
48628,1831603784,1971,921,1iK7,1991YWHcF5,1994-10-24,8334osUPA0
48628,1831603784,1971,605,1uJ6,9201EcjRg3,1996-02-02,3797TFdyW2
48628,1831603784,1971,685,1cc0,4222MZkIc5,1992-03-08,3417NGmJn0
35758,3399308850,1983,881,1Wo6,9167BEzpJ5,2004-01-24,5928KYeUf3
43808,8189907729,2022,48,3dO6,1704AaWxE5,1983-10-12,9020zoqmO9
16055,7593697462,2001,443,0EL9,0774tcCZE1,1998-08-19,9022FLwCg4
16055,7593697462,2001,569,8IO3,9099iuamW7,1985-09-25,8546yHHCe1
16055,7593697462,2001,638,7BZ1,8262JtXnt3,1999-04-25,0947HXtGH8
74875,7074322194,1996,819,6MD7,7978aVPUl4,1995-01-03,1633elSGw4
12551,2413544175,1980,669,9AX2,3737MtZOm1,2015-05-06,9938hmCcS4
36646,2335278909,1970,610,0SC1,0044qYcAR2,2009-11-24,1774sCeOc5
36646,2335278909,1970,864,6ED4,6025ytGGj6,1975-07-10,1596yNwqo0
36646,2335278909,1970,355,1wM8,9063GHwVK0,1977-04-20,6521GPyKV6
79745,9583147294,2007,712,9en5,3742GAGge4,1995-05-17,2354sGtpp6
79745,9583147294,2007,485,3CW1,9866wIyRB3,1992-05-10,4053QsjdP3
79745,9583147294,2007,238,7AG0,6610dWYKt1,1996-11-02,2059EpKYP3
31083,9878219372,1985,624,9hS0,7899mzGar3,1990-12-25,6273CMvtQ4
31083,9878219372,1985,108,7Lc4,4574evZgt5,2011-06-22,8021TqLnj1
31083,9878219372,1985,742,7DS9,6515gTjrZ8,2002-01-31,8044tGIyV3
80041,424732149,2012,856,7ps3,4185bXEOL9,2014-03-23,3369eSmcd9
80041,424732149,2012,44,0Gq3,6828eVYph7,1998-07-25,6966rJQdA8
80041,424732149,2012,17,9iZ5,1150pnobm9,2012-02-06,6030Lfexx9
9547,5892992223,2014,46,2JM2,0229IqxRW8,2016-09-07,8179wAZPY8
9547,5892992223,2014,725,3eu8,0348sZyaO3,1994-12-09,1907EYShz7
38457,1157209492,2000,848,5jn4,2393ccBAX5,2005-07-15,6464gYGwm9
38457,1157209492,2000,923,2tQ5,2990nosXS5,2013-10-12,7471ClPch6
38457,1157209492,2000,131,7Xl2,7577iMFMr0,1997-05-04,3989KbFhB4
44262,528368357,2019,677,3nK4,9645fzFAA6,1987-09-15,2834KppZe6
44262,528368357,2019,188,9nO0,4848BHOXr7,2004-01-01,0897bVJFr0
44262,528368357,2019,260,2sr2,8344RjRCQ6,1978-05-29,8109KwGOJ5
94868,9301926256,1979,228,0tz1,7388DkoGu4,1995-08-23,9350pfJIg2
94868,9301926256,1979,357,1EU4,0428Kxpya8,2014-10-28,3628flBBF6
94868,9301926256,1979,844,9XZ8,3874RUnAD3,1979-10-06,4795tLdcI6
