VendorNo,CompanyCode,FiscalYear
94532,34730,2012
22631,79014,1998
39452,28421,1973
42060,36547,1995
7576,2303,2009
33309,7742,2007
8863,10997,2005
79274,44415,1997
46146,51479,2013
52947,587,1976
6438,51699,1983
18249,26896,1990
67883,4266,2012
38590,65534,1982
79960,80926,1991
70387,48929,2001
27212,14627,1985
83331,25607,2016
81564,88109,1982
91477,10022,2000
63409,1731,2000
66345,93356,1999
55546,7259,1994
5954,14361,2023
3294,30483,1999
4400,4289,2008
27953,97924,1971
25879,47438,1999
17885,96389,2021
64182,40317,2007
35647,35239,1975
95964,4877,2017
40901,30545,1974
20117,32215,2003
1731,28332,2019
39556,74181,1983
28429,76017,2003
88049,90668,2024
49880,98302,1981
77581,1940,1998
55093,58838,2009
85517,11579,2004
49963,63489,1988
66095,30824,2018
71582,15239,2006
98990,7255,1974
37707,28180,1972
40300,74689,1987
14271,46786,2005
38831,91184,2001
21240,43688,2016
96522,45848,2007
77916,37227,1987
9225,19518,2015
57532,63269,2003
12499,82891,2020
78937,23066,2011
82511,53011,2010
11790,57597,1987
55405,19287,1986
1576,82049,2002
82814,37761,1999
4627,14352,2003
20807,73510,1986
41709,475,2008
57849,98572,1980
75889,94926,2011
41303,74400,2021
37413,64533,1988
69177,68019,1993
12552,34932,2018
67609,68251,2020
64564,31627,1991
3542,50894,1995
92119,24537,1983
98922,14454,1973
42261,68038,1993
92890,37886,2010
86332,36092,1970
4798,16055,2006
74750,66186,1994
59931,67845,2022
45215,44967,1981
87880,40358,1995
72095,59541,1980
30231,3889,2001
24354,11960,2000
83923,77335,1971
70499,55362,1973
19250,57597,2011
77460,49062,1986
48941,23102,1977
32002,66985,1997
84443,78907,1986
13737,88138,2010
71423,81478,1993
27079,64205,1973
76979,27424,2008
68982,33962,1998
81980,63138,1995
54692,33533,2014
48595,11439,2020
10564,59455,1997
187,1382,1983
21248,8956,2018
24137,3983,2023
17490,70543,2005
76225,79512,1974
62586,22254,1991
8125,91366,1994
96522,84921,1985
51544,96896,2019
62975,21052,1974
30844,88273,1975
8693,77052,2009
40336,1539,2021
89884,70564,2020
47033,84597,1994
64148,97217,1998
43900,52634,2019
19245,99089,2014
40623,94622,1973
81809,42845,1988
9983,51862,1993
62001,22728,2007
25886,89149,2017
37218,24853,1978
91773,85601,1993
54988,82417,2005
56812,50894,1975
73217,78451,1986
86259,4266,1982
84169,73820,1989
71610,57115,1991
23815,51134,2020
11612,80229,2009
7489,53143,2013
82271,35367,2005
1693,47146,2016
43563,56544,2000
77443,67816,1971
3433,96587,1972
29358,78233,1978
28780,57345,1984
54590,22922,1990
9518,35175,2013
3808,83370,2001
49959,82295,2017
73159,57147,2008
65946,2025,1995
76637,36338,2002
71582,5944,1993
92200,84902,1985
91294,34030,1996
99285,22694,1991
20886,59219,2021
98896,22486,1977
78441,52707,2021
98975,98298,2024
28373,48149,1995
46156,21395,1981
1323,30794,2003
78611,36415,1986
7462,43263,1974
50729,99089,1997
9101,1067,2020
89499,12287,2010
96578,67844,2019
48870,20247,1977
70048,89130,2007
93965,94292,2018
34394,81430,1999
85790,25322,1978
77114,41591,1975
50685,24254,2024
6679,84483,1993
56269,61326,1975
84038,94375,2003
45754,91377,2011
1846,26196,2004
19728,1869,1984
77581,81567,1970
90058,22124,2008
56861,31472,1977
85983,8044,2021
34687,6503,2006
4734,72368,2020
26540,41498,1999
11676,28947,2001
83340,70565,1990
28033,7304,2012
43029,59999,1997
29073,53682,2016
44969,49776,1972
27591,14265,2013
12802,81164,1991
14104,2881,1993
88335,11676,2010
43415,23836,1985
91161,74791,1999
22401,21884,1988
11830,70445,2006
66903,89108,2017
8535,60231,1994
40540,78029,1996
95681,62388,2011
4522,6764,1978
47809,41466,2021
76530,23542,1984
61682,68526,1981
21608,18496,1987
86133,11541,2023
4729,93651,1974
42462,46489,2000
81051,16056,1982
81030,87745,2001
68010,55202,1992
50750,10591,2004
24970,23949,2014
67627,29667,2005
50914,73626,1974
41879,87626,1976
49414,21236,2012
87942,9585,1990
73170,89207,2016
33280,20300,1999
17427,70874,1974
40814,82820,2024
71489,51668,1982
33622,36993,1998
60051,69016,2009
99959,83457,1977
68732,21067,2023
14839,82451,2006
49217,60602,2008
37096,70806,2013
6225,89926,2013
85380,6695,1976
30510,38203,1994
23099,80371,2019
88192,63644,1990
69797,84770,1981
53372,20470,1974
72236,38800,2001
70387,74786,1992
56620,74024,1983
63233,51511,1997
24876,66767,1972
12785,44748,1994
93914,78723,1992
23784,77793,2003
65167,74589,2009
67081,58881,2009
21507,66669,2009
80803,80323,1986
45585,91212,2021
34044,95093,2016
78828,92866,1993
72136,99039,1974
49663,52680,1996
97603,68953,2011
47147,48051,2020
13887,98241,1987
48708,11994,2006
14031,75645,2012
13781,34883,2019
65750,88149,1984
41879,99728,2019
18900,6600,2001
38197,52110,1971
8897,18491,2016
65874,86680,1970
46946,21824,2009
14449,46626,2006
24350,18751,2001
64980,76991,2008
8061,18882,2023
33074,19469,2015
54055,79059,1982
19536,32999,1978
9215,22674,1983
48422,73432,2000
41,62219,2010
75070,90803,2022
47960,76522,2016
37176,34760,2010
89020,78782,1982
10121,37045,1977
95914,65758,1977
70638,25272,1971
91604,23334,1976
19728,69735,2007
37697,57712,2002
61693,13208,2024
14852,91987,1987
84879,63214,1983
2060,98402,1981
75272,97614,2018
42254,62847,2014
69371,926,2022
73946,14629,1994
18027,77719,2006
42261,84514,1999
60548,56221,1985
1427,85008,1986
17519,49046,1978
5174,64514,2023
95778,53967,2006
50709,98218,1981
9499,92828,1995
88728,14125,1988
46081,49895,1972
19277,63359,1991
36071,69320,2011
80791,30611,2022
64979,8602,1970
10112,24983,1975
68757,27634,1985
28242,21086,2022
67824,6656,2000
32387,45049,1974
37018,99057,1987
38559,95096,2006
55334,47883,2012
10078,44806,1999
76850,15082,1975
14932,46891,1999
45741,86229,1993
30304,30865,1998
94227,66948,2009
11965,97872,2023
55527,71896,1977
25423,29941,1983
66992,26849,2018
45596,56472,2008
34895,4864,1971
94868,25526,2003
85208,215,1989
69944,86605,1976
15415,74801,2002
30428,28709,1977
8497,89419,1985
21851,36848,2003
70335,67289,1972
17509,32741,2020
24689,34805,2010
13521,94871,1988
62021,43697,1998
91085,19156,2012
82074,97736,1997
70682,14768,2020
29750,2805,1975
68787,88028,2008
77073,53930,1992
73236,56720,2005
15300,92608,2012
2094,6717,1986
36954,25573,2000
91223,99906,1983
94082,72953,2024
72786,64389,2018
57273,12757,1997
64602,38064,1988
55924,40907,1989
72259,25526,1991
91898,10312,2004
51544,43808,2017
7711,66157,1995
96835,82122,1973
40319,27979,1982
40590,46489,1975
91413,96896,2007
4772,44554,2000
65637,57784,1999
52530,20269,1977
99282,83208,2012
27635,90803,2022
82638,36338,1974
94098,87682,1979
12780,11272,2019
12997,78259,2004
49680,24753,2023
77916,3385,1973
45740,58328,1988
13927,55507,2003
3363,86203,1979
33590,13726,1987
53711,12487,2016
53147,2468,2007
86674,16608,1984
36729,69511,2021
26736,28462,1990
94012,27765,1993
88102,78001,1970
62520,15052,2002
1602,8113,1992
40089,18186,2004
25879,79180,1995
44174,89167,1979
80416,4346,1995
85068,99179,2007
33803,41466,1980
26335,37054,1983
19546,60256,1991
36022,69157,2019
65300,479,2023
31382,34016,2004
80434,72022,2014
16300,65082,2012
62300,9318,2023
88932,96349,2008
98851,62521,2018
64465,63214,2023
88979,28378,1971
32962,40266,1991
73100,48866,2011
14119,87859,1983
31114,36173,1979
90545,48737,1971
65131,52377,1986
79315,53199,2016
29771,96067,1992
3636,11266,2019
34865,65190,1983
30878,44969,2001
34394,8051,2013
5114,82015,2016
63580,29502,2003
70011,5743,1986
22160,4941,2007
4515,79380,2006
52302,43361,1992
64875,63942,1989
92811,6789,1991
93054,90905,1977
14110,98921,2014
83465,66948,1988
81809,40980,1973
37524,98913,2009
47033,88512,2013
83303,8260,2024
45059,55028,2018
36048,67429,2009
47129,53159,2001
81557,25809,1990
76176,72697,2006
21879,71763,2022
95569,64468,1977
75279,70046,2019
70445,10409,1997
30400,15618,2011
36,15593,1999
17905,59888,1994
38078,81771,1999
25323,90916,1998
20612,8609,1977
54717,71490,1977
22318,87806,2021
69273,67087,1972
2449,78418,2024
69197,9142,1971
68637,90388,2011
23316,29691,2015
71201,72556,2007
78622,65780,1977
40419,9641,1981
16001,92293,2006
59457,23822,1998
15705,89730,1983
54099,72350,1992
47958,3469,2000
42197,69133,2010
89606,67893,2015
18970,70080,1974
63358,5781,1997
6438,33511,1977
43815,27362,1998
5874,74289,1991
27154,58976,1996
90893,94960,1988
80683,12996,1982
3598,98274,2008
81499,14953,1977
69644,36953,1995
24943,38084,1989
64622,23871,1972
6746,7852,1972
82149,35282,1972
80608,90202,2001
46912,57608,1979
15130,6568,2010
50516,45552,1986
61214,46211,2009
29782,38592,1985
26768,47263,1994
96189,48462,1987
50413,19208,2010
88033,87633,2018
99577,115,1997
25653,57661,1979
49421,45049,2002
23823,12022,2014
36048,91912,1990
55859,29930,2010
25096,99251,1976
30271,58752,2021
55450,4650,1980
23671,26963,1986
70048,21885,2021
13478,89056,1993
73803,46246,2004
21225,87039,1972
37233,75427,1973
85561,46170,2012
10324,78193,2014
85794,57372,1991
84145,31902,1993
29261,33233,1984
45448,29053,2024
8160,71182,2015
9887,95546,2014
46486,29677,2016
68167,14736,1988
23600,28192,1985
82691,98919,2012
32220,94187,1999
30428,24472,2009
42332,42686,2014
68539,56942,1994
98740,74979,2001
47821,99182,2022
72025,9634,1996
38098,55300,1994
2346,3117,2006
12654,80033,1999
50317,6029,2024
14307,29326,2004
78867,6301,1991
97874,74801,1979
9629,2379,2019
34124,77952,1974
3066,48459,2003
69161,11154,1977
52804,85983,1977
7199,30931,2016
93705,88436,1977
5170,60544,1989
37964,39289,2023
39298,87975,2008
20080,99906,1983
11018,49674,1983
24287,24424,1971
41941,75123,1976
55131,94960,2021
6502,71996,2003
29986,14679,1978
8390,30824,2000
245,44568,2007
84581,99324,1991
66148,88513,1973
16669,98586,1991
34926,25218,1993
12427,37485,2009
57348,93271,1985
58271,68208,2009
97905,95511,2023
82311,25908,1974
54992,18496,1991
23424,49774,2022
59580,90306,1975
23197,63721,2015
72207,59627,1985
50498,84468,1979
30435,88512,1991
92376,60529,1976
7736,44152,2019
50685,99009,1992
60494,97895,1970
43919,46079,1980
12425,20516,1984
7476,61805,2013
22529,81053,1983
29947,97541,1988
99380,28742,1972
12140,79132,2010
25173,88517,1980
13642,10351,1998
97127,5013,1971
5082,1397,1979
7640,41388,2005
97173,19020,2014
54084,7676,1988
93346,81541,2002
48383,45729,1977
19257,22809,1995
51025,90641,2002
61277,63244,2015
37977,44990,1996
94027,71846,1992
68647,71205,1973
89322,98233,1971
29965,9259,2024
36276,36279,1994
75810,11997,1972
54362,59557,2009
91373,41370,1974
71632,61168,1982
64851,86406,1974
22357,41781,1993
15313,85367,1974
78515,5796,2013
24863,56815,1992
53548,57477,1988
34631,79434,1990
44965,25581,2011
54674,31830,2006
54182,37227,2003
13788,82122,1993
17376,72022,1983
58288,62007,1981
45810,95733,2024
7595,76454,1974
56812,76017,2007
67606,79243,1996
41511,94526,1971
85525,82980,2009
19552,3244,2004
35956,13963,2012
18229,22145,2011
27154,86618,1981
73159,19202,1997
12662,33243,2014
31283,39525,2007
49332,37457,2008
21851,68971,2004
9972,29965,1974
49332,47663,1971
96361,96408,1988
30171,203,1995
96180,29790,2013
81848,56676,2007
99841,1261,1987
8321,51696,2002
62152,24847,1997
29388,10134,2013
94347,20136,1999
66468,44774,2001
36967,62753,2007
63387,35039,1992
86153,2553,1998
67968,46979,1990
49904,17280,2017
24752,46565,1995
26547,31246,1973
57996,74366,1997
77073,14880,2018
22984,32278,1976
726,61592,2009
45225,31143,1988
80014,60525,2017
91599,37156,1989
39940,21191,2004
26831,51139,2015
59209,96014,2010
98860,81214,1970
89128,21966,2010
73908,37198,1997
32729,30504,1997
82736,2323,2000
65424,38055,1984
46210,68289,2020
83732,2533,2019
23293,50311,1997
84636,43916,1985
88577,77048,1983
9182,65211,1978
43310,68751,1982
99216,69395,2006
76739,37325,2009
29570,55276,1973
6746,85408,1976
80262,6302,1982
38412,29995,1981
38078,23280,1971
42438,90128,1989
41086,11325,1989
75215,87954,2010
10704,52634,1987
27837,77337,1981
99959,8762,2012
57088,47081,1995
85517,88254,1978
70926,81336,1998
20709,54090,2008
19027,41084,1977
9366,84194,1971
86821,71680,1992
33135,97669,1970
47695,60284,2011
14246,47002,2017
47354,62844,2009
26068,24277,1999
55997,12272,1988
23823,31488,2010
9416,20296,2000
22606,22679,1989
95148,91826,2004
44615,44855,1979
36001,99747,1995
40634,78578,2012
8444,18361,1996
2814,59351,1995
40464,84576,1972
53496,79474,1995
48,31503,2003
42612,40600,1974
56049,57887,2006
46911,54511,2023
65504,1301,2003
56372,19029,1995
12909,11423,1993
50921,38684,1979
39606,83393,1997
58970,14568,2000
81234,65511,2015
91001,71764,1983
63451,33561,1998
19161,36641,2005
84390,21944,2009
24781,97003,2012
20359,8073,1987
27997,95669,2009
69499,74714,1982
19128,25527,2021
56542,64560,2005
40363,58366,1994
72702,86066,2012
70195,15423,1988
12164,7304,2007
98793,29172,2003
37615,28732,1971
61829,66733,2021
41547,65141,2024
53369,96497,1980
41366,92322,2007
66910,31577,1989
38429,52637,2020
84080,24541,1982
7640,40622,2024
11275,98185,2018
27213,38186,2016
86753,45597,1995
9183,26398,2021
83986,91286,2007
57909,52851,1998
70840,21575,2010
11030,22329,1986
72565,32318,2007
31145,59259,1995
62593,2618,2008
76892,6307,1995
37885,40600,1996
43475,75532,1976
94094,84798,2017
55334,70991,2024
10639,31488,1985
56789,42789,2016
64077,90958,2013
80021,78763,1995
86437,30291,1980
33072,10987,2007
91090,55145,2009
98298,52087,2017
6729,79630,2021
79911,38001,1983
83434,99873,1993
86657,93271,1997
9058,73785,1986
55512,51197,2013
30455,23126,2022
14136,15316,1998
5461,88656,2022
77943,68146,1999
4370,8837,1990
75543,34857,1977
41023,16017,2002
49359,46137,1986
78857,208,1993
50182,57344,1992
76156,80425,1976
39010,24333,1993
70217,56946,2003
52629,90396,1974
45529,49733,2018
71343,92716,1982
79249,80708,2011
33268,44226,1982
73483,1869,2001
62135,40980,2011
77670,11864,1995
11093,31240,1979
18642,29392,2007
8801,51365,1986
24967,71755,2017
80000,93250,2012
20367,88821,2003
58455,25185,2020
14948,69401,2012
28545,40433,2017
62731,58486,2016
64456,98118,1973
99743,10020,1985
31676,79825,2000
45869,42196,2017
55445,419,1986
73363,7137,2004
42424,7838,1991
61651,70253,2021
75435,79539,1990
36533,55711,2007
94390,69868,1997
15187,68798,2020
14412,35097,1986
70200,78067,2021
42198,51332,1984
3519,91809,1973
78565,68050,2006
65547,50415,1971
88529,57182,1991
78327,99496,2020
13845,10953,1979
54862,24545,1977
41864,42550,1977
82782,42904,2009
90522,24023,1970
19233,37948,1984
81696,75922,1994
77481,43672,1995
70803,72507,1992
99919,39476,1997
98168,81336,2014
52741,32992,1996
11430,35068,1988
79736,80603,2019
81576,5429,1999
52903,67342,2015
50350,31119,1990
45659,57323,2010
90092,25635,2023
32247,67845,1973
61176,41765,2021
87603,83147,2008
52561,21395,2022
50068,46904,2021
436,31543,2016
20350,60049,2004
14604,22631,2023
82132,70589,1985
7177,78419,2014
28414,76534,1991
21935,52851,1980
41599,2192,1985
57391,25877,1981
68720,11664,2007
99827,20422,2024
5709,34509,1977
20046,11824,2002
69643,85010,1985
80072,25020,1973
60435,96258,1979
21225,88856,1971
67428,54809,1977
12315,64770,2003
55260,63088,2024
64228,93923,1972
54921,40426,1977
67538,47018,2022
46967,25209,2023
44001,18491,1987
70655,92277,2006
50851,32992,1985
21254,27916,1988
34574,7267,2020
15526,20693,1988
22444,18751,1979
67713,64389,2001
60668,46903,2007
99749,65704,1998
18092,64558,2003
44105,64737,1978
7638,58335,2021
7788,14880,1989
47677,63527,1975
77458,39145,1979
98363,66921,1974
71990,89445,1982
48715,10669,1997
32231,39210,2005
88577,59202,2015
37590,73892,1996
28934,43232,1988
49509,17598,2000
38291,44499,2011
74883,13463,1993
45514,48321,1986
26360,24795,1988
44546,33671,2014
68982,76575,1985
72095,29096,2022
46077,67200,2015
69857,58540,2005
12316,82149,2021
98378,93563,1982
7294,62717,2011
99380,1832,2003
79047,39297,1997
82209,7250,2015
98792,76942,1987
65622,73545,2006
1715,59122,1998
26803,93211,2000
25193,14537,2002
18729,71203,1985
55983,44522,2021
18729,64247,1985
26129,24853,1981
71134,24011,2011
44502,37669,1982
77313,26933,2020
37810,56544,2000
80894,79892,1998
99676,66389,1982
65482,67771,2021
98732,15106,1986
50380,49047,2016
35991,60544,1983
27074,65344,1988
43387,37804,1990
24262,98570,1971
27722,87878,1975
72313,48462,1985
56259,9547,1995
99285,48580,1979
44612,10710,1986
23491,11423,1996
60074,94276,1992
88049,55884,1977
80161,6099,2018
35750,35821,2011
39554,148,1976
36937,42258,2020
27181,90523,1977
58146,65435,1984
47722,52809,1995
41451,21026,1986
20816,10588,1997
1900,85596,1976
3299,60517,2013
93906,20877,1974
23350,25607,1987
54064,29649,1979
41463,50338,1977
5366,88715,1987
45020,88273,2004
92836,85541,1990
39582,30384,1987
69003,39291,2018
59351,15362,1978
20397,8513,1984
72993,25499,2002
88284,25288,2019
24566,70402,2021
8278,77881,1973
21645,88399,1992
87723,92489,1975
19456,48461,2002
11071,46267,1977
68982,11568,1977
9225,88917,1975
52913,11734,1997
18908,77047,2008
42787,17989,1982
15638,73307,1990
63975,70635,1975
91830,56678,1970
16619,16769,1970
29219,9986,1996
11549,80647,1987
16879,2739,1982
37964,75561,2000
67313,98725,1991
13546,77321,2009
68046,91060,1986
74042,3425,2014
545,96178,2018
27809,52054,1982
12812,54802,2015
66157,46998,2018
7640,4908,1971
84996,24942,1989
77634,375,1989
64519,38232,2012
50398,43685,1997
49208,34944,2011
58453,85814,1996
49983,23213,2013
42168,71464,2017
66427,70733,1992
52209,69978,2008
43722,29991,1983
37506,60123,1981
88728,63168,1993
40959,79972,1987
35960,42245,2002
16872,98754,1985
93518,22983,2023
55840,34452,2022
59228,66548,1987
73760,74944,1982
42157,86217,1989
2221,4389,1976
40637,18683,1991
71750,46740,1994
33704,41669,2023
3841,77622,2001
97955,70855,1971
40823,56155,2008
48602,19055,1988
93566,33391,1988
50851,67949,2006
59043,43039,2017
26389,42258,2018
42458,71566,2001
57245,24541,2016
11790,20370,2007
27464,40794,1979
93566,78799,2012
48605,59425,2009
62975,15695,1970
45322,87039,2011
6926,7607,1996
27590,50776,2009
42288,10987,1992
32002,66767,1994
45806,26116,1999
36860,18919,1975
55084,92542,2001
49086,70000,1983
36196,96960,2000
36967,93631,2006
63416,17679,2018
19625,73058,2013
76562,61829,1976
67618,86525,2001
55040,50195,1977
68721,11325,1987
9552,75064,1991
9225,74348,1986
24303,70798,1987
96479,23942,1982
40514,24537,1987
41733,36058,2015
38647,66717,2016
17284,36415,2015
72571,86914,1971
6618,90041,2013
21879,44394,2024
83587,73404,2000
98357,44578,1994
94185,44262,1982
81333,19073,2011
2108,39458,1981
21631,98280,1986
68406,26884,1988
57324,66647,1974
94227,25976,2015
48226,78067,1981
23545,79988,1978
69273,60736,2020
54509,11540,1994
77268,31307,1992
53288,30758,2022
31899,16981,2013
94071,92377,2011
30372,51792,1982
96821,91395,2019
49208,3797,1998
41388,44499,1994
69619,59823,1989
92487,26032,1982
72480,5256,1998
53578,49553,2016
30821,82426,1992
68046,84804,1994
32965,41786,2001
95520,9851,2020
88376,13601,2021
43219,99998,1991
97744,53463,2023
19052,49477,2016
40047,75265,2022
7768,87297,2017
3973,60192,2022
54362,94862,1989
1040,70906,2010
39328,87197,2021
80449,1402,2001
13139,96408,2000
7640,5332,1984
29469,38592,2009
47419,98754,2004
64376,38876,2013
95858,94365,2009
78660,33193,2017
33982,23871,1977
5022,83653,2000
45937,67642,1973
96353,69215,2019
31582,50193,1976
91385,96440,1980
95167,98576,2010
52275,13928,2024
64018,90439,1981
30580,64688,1973
35706,22782,1975
15428,28317,1990
3845,48248,2000
47567,14700,2014
2920,89773,1973
18378,80101,1983
39108,20832,1977
92462,42519,1972
86959,33792,1997
80012,20437,2017
33759,44726,2005
92968,12368,1996
19021,50524,1982
41669,91421,2001
11724,31179,1992
35101,87661,1992
80037,35511,1987
47806,24541,2024
69925,83745,2008
23854,25908,1996
15326,45818,2017
69168,56102,1992
11587,55665,2007
53433,24094,2021
66960,97517,1978
90453,92157,2014
88782,31652,1976
52309,71064,1980
23638,99039,1977
31105,35366,1985
93879,21980,1999
24556,40194,2016
26651,90810,1995
8692,31709,1988
59072,45588,1997
96578,74944,1973
18045,2323,1996
86626,60411,1978
94027,12025,2004
86831,45811,1986
68126,3438,1991
55700,46265,2019
35960,90876,1993
69996,24433,1987
68996,59554,1993
33592,92409,2009
4170,37018,2010
17427,13755,1975
8014,96355,1971
78302,31233,2020
64465,41826,1971
93322,27490,1997
15535,88323,1990
41570,56880,2013
24187,26930,1984
63335,12439,2000
46958,64845,2001
29785,72326,1996
80350,46779,1987
66469,28662,2000
49403,6990,2005
76425,72988,1971
89884,66618,1990
70941,42044,1971
76844,62015,1988
39090,93132,2017
74199,26963,1974
35706,16238,2014
67154,72912,1973
85246,22961,2018
14112,71845,2018
85023,24871,1983
7198,21132,1971
23238,78077,2015
2257,75768,2024
8522,46239,2018
45456,1105,2010
34064,46389,1996
24320,67071,1974
66221,78558,1999
43604,56692,2018
14958,86710,2004
31438,68549,2014
96470,72627,1995
13375,21236,1987
34257,71182,1995
94285,96816,1999
82390,92527,1993
88748,38176,1994
74107,97195,1978
37366,67000,1998
21378,29457,1983
96910,94277,1987
96817,70402,1974
28976,40472,1996
3240,54403,1999
33993,7604,1976
77339,47685,2024
71725,69134,1970
82640,23235,2021
81353,79351,2015
64467,58418,1989
57186,37886,1996
49556,68602,2017
81535,33375,1994
70457,47620,2024
74460,19578,1983
1206,81486,2013
76530,11603,2024
53871,60860,2008
17389,35258,1987
87691,15564,1999
22622,27131,1976
5725,69634,2019
98435,33051,1998
71123,7808,2021
6225,76464,1982
94418,3273,1994
82471,48498,2007
40399,14243,2014
90336,126,2001
43175,21297,2000
9507,51197,2007
49304,64148,1977
20564,8749,1989
8459,66899,1978
81313,71519,2020
14384,18202,2013
64077,60826,1987
48892,99248,1993
45067,69042,1991
50370,28924,2004
47184,46211,1996
32071,91247,1996
18052,87432,1975
33590,2913,1996
96969,19160,2000
36860,17939,1987
73803,84803,2018
72316,76281,2016
47022,70673,2022
62994,47268,2000
26794,9259,2020
51717,30325,1972
54723,25336,2003
1304,3867,1983
59191,28912,2005
22564,8724,1996
84081,44522,1994
92454,48544,2017
37612,71937,1985
90510,47991,2022
77767,28742,1984
90302,56177,2020
91050,89924,1989
12888,49733,1997
28810,54352,2005
63025,57200,1982
52030,1190,1998
34372,44576,2014
78480,86591,2024
23821,81637,2024
8289,94751,2004
28032,14208,1985
45596,50818,2009
41208,69304,1975
69521,328,1989
15172,33249,1981
530,41682,1991
94868,19974,1990
65504,55701,1993
70022,79188,1986
90262,63274,2011
23099,59124,1973
33004,63622,2004
41896,67845,2003
24313,23871,1994
15726,2938,1999
57423,59678,1998
51894,44853,2020
69489,57849,1975
74214,98757,1988
67092,78125,2018
58176,17380,1988
7470,90425,1992
41259,28740,2003
79539,44969,1974
85824,51910,2011
40558,80261,2009
52560,5705,1981
18786,57952,1970
40085,53267,1981
57159,78465,2003
47120,50140,1992
4262,80695,2008
67238,36157,1994
72388,6389,1999
8508,83457,2014
22353,48262,2008
37236,78200,1994
34475,35137,1990
60501,46335,1982
15846,3983,1976
4841,6842,2023
62005,86120,2009
39582,90565,1992
12328,71965,2018
70200,92755,1973
65101,74289,2010
67011,23629,1973
27331,60212,1974
607,42200,2007
87636,74666,2000
50197,89732,2008
67606,36226,1983
96291,38497,1987
78480,88856,2023
78095,84115,2016
64783,68921,1994
777,68675,1999
92164,7145,1988
33640,10351,2001
96944,2722,2012
60603,37671,1984
11373,88046,2017
65384,20659,2019
97237,31577,2004
21053,86066,1990
70373,16789,2021
18092,48076,1975
79585,87602,1974
40319,51792,2006
95994,33140,1984
40650,3412,2012
79353,77357,2009
41717,1674,1976
85590,6061,1991
85521,58110,2009
40514,81442,2004
17519,78578,2013
15366,16601,2013
2737,77321,2017
77702,69915,1983
34926,45317,2018
31613,70084,2005
12140,72988,1983
60668,45566,2010
20406,15593,1984
59645,74655,2010
37999,85050,1982
1317,76586,1992
98461,25544,1997
7599,63271,2007
37480,50568,1983
86889,26062,1971
79585,61057,1979
85592,39297,1977
86351,98859,1989
24137,45979,1983
7638,15567,1979
4175,97811,1996
59209,27415,2011
9961,85766,2018
47722,19082,2014
12662,3974,1974
53796,47288,2016
29522,80770,1973
76726,24227,1987
75377,9895,2017
99097,36276,1996
52209,32589,1990
81704,10665,1988
62593,58110,1985
65348,2932,1996
65111,17673,1970
24943,49375,1973
67876,19175,1990
35184,44855,1992
78828,55270,1987
77366,64263,1987
23672,82753,2000
186,84279,2008
15972,37221,1970
84475,74921,1998
28636,74613,1996
67883,30766,1993
54581,17729,1989
23821,14041,1987
16548,80450,1981
49684,14669,2010
58445,203,1997
12729,63721,2019
56407,55125,1973
20117,94052,1986
92867,4651,2005
39192,10038,2006
83244,94960,2016
24747,92948,2004
52709,53322,2010
58541,53084,1991
46013,92002,2001
36073,38186,2009
74624,91591,2011
55604,65656,2023
5768,25554,2015
36822,7433,2003
536,60192,1973
95494,26646,1995
58541,60186,2009
80350,10533,2011
45359,44297,1989
23107,37731,2007
13478,90118,1996
59580,72507,2017
30821,14333,2002
