CompanyCode,FiscalYear,DocumentNo
32088,1976,8014645637
88336,1995,5203179378
6630,1976,7850507009
3030,2007,7680278253
44151,1986,4822696191
14620,2008,7298022841
67306,1986,7682218939
48824,1972,8769414754
78582,1981,5315781965
1041,1981,1222548043
92417,2005,0475241108
54877,1981,2236898398
79614,1987,1651032939
46454,1972,8859507963
31032,1989,2558186506
16123,2019,4601346684
38116,1973,9859690587
36696,1973,6380840997
27754,1979,8093088444
65190,2008,4311483528
48628,1971,1831603784
35758,1983,3399308850
43808,2022,8189907729
16055,2001,7593697462
74875,1996,7074322194
12551,1980,2413544175
36646,1970,2335278909
79745,2007,9583147294
31083,1985,9878219372
80041,2012,0424732149
9547,2014,5892992223
38457,2000,1157209492
44262,2019,0528368357
94868,1979,9301926256
7301,2006,9971698727
40522,1989,5271696484
63672,2019,8884433372
39841,2016,5513372461
35734,2019,2223572514
57260,2022,0382363516
5787,1984,5425502153
80669,1991,5875210057
63269,1975,8020407395
94717,1976,7360942962
93290,2023,7720048686
48461,1995,3250165436
35629,1993,1439261750
80229,1997,5185874667
69772,2010,8459409954
44672,2011,7151169904
9986,2012,0440517125
70073,2009,0251838069
34164,1988,0253409968
1734,1986,7284852574
98149,1980,9649986075
39882,1986,7169958001
9424,1973,8859320308
58567,2022,7610832526
3469,2016,4185657804
98741,2000,9129804749
54382,2019,6290868063
14145,1990,4208473448
7347,1976,4158135055
83393,2024,2303570021
58181,1977,0291234566
70420,2020,9713942752
50319,1983,9659179588
64003,2011,5191249722
30456,1971,9653236032
93814,1984,6451691967
33336,1987,1831574523
59746,1980,2312296059
6650,1979,4895595953
41329,1970,3599717044
62551,1990,4504466503
95709,1990,1517509525
34528,2024,6649837300
32804,1994,6754332849
69469,2006,4300751437
91041,1973,0551172205
53838,1992,0007456062
33725,1996,8069979680
94329,1991,6060166386
37575,2010,1613445503
28908,2008,7009820637
30080,1986,4446780115
3983,2001,8271928258
24613,1977,7593090168
33575,1973,5897536439
9886,2018,3585163506
60348,2024,0743796206
55309,1996,9051381197
48343,2021,2455547450
71654,2020,2012510601
45441,1972,4308982934
41679,2024,0253249452
15617,1994,5355308987
36200,1988,9996099976
32917,2021,8092263182
73450,2005,4681306867
90081,2006,4716293624
64801,2002,5809743456
44844,1973,0976983127
28548,1984,3163400166
54856,1971,3057839818
41025,2002,9805884293
31605,1971,6407152226
33467,2023,0044574983
39057,1972,3809772205
72257,1993,5154959579
36403,2010,6141104601
5429,2010,0501561884
90081,1991,3887005232
76556,1997,4583853561
5256,2017,0696347154
26635,1979,7558453830
97474,1992,8730522001
36695,2003,7517968454
40980,1971,7975545227
75430,2000,8223672599
21236,2006,0688248187
26671,2009,7649196634
55771,2002,0679005863
31627,2024,8412522455
19802,2020,9512067593
19270,2017,7053541068
39293,1990,2141201774
69314,2017,7722049530
63395,1973,6516848832
35705,2010,7695742000
15220,2016,2846175314
2081,1984,6144187658
37080,1994,6762025275
79061,1973,9263294381
42767,2005,7008930802
37264,1971,1285563777
51553,2018,6633636393
39550,2002,1434156976
50614,1981,7510339758
50,2009,8071785125
37390,2024,2665557015
93832,2001,5391076591
39642,1984,6608153148
18981,2003,1522356640
12757,1985,5020367645
29878,2015,9242398746
17117,1999,8790925273
93048,2014,9538015566
52741,2002,3898469809
3241,2020,5484103785
48616,2023,9053549090
71203,1994,7011354431
24094,2023,7637952536
48658,2002,3044292266
74302,2019,2822621147
12967,2022,9523689235
13223,1997,8835576552
56355,1989,8473392246
21067,2018,8842633114
72251,2019,7808792159
47054,2001,3544901741
93563,2019,7187247544
75339,1996,9035228343
31931,2021,3885088625
50157,1988,1147428841
80705,1978,4493141643
43461,1978,8962634480
72921,1997,1638925766
40768,1973,8494869203
55128,1984,9247883327
19914,1989,3434215280
25244,1974,6022317095
93539,1979,4933561657
22128,2010,7951685948
9122,2022,1327103953
20430,2001,2789613335
95525,1973,0594851711
17846,2005,9774240125
79630,1971,1448736596
93728,1978,0515306375
63082,2009,3859143117
97570,2011,0744695772
2745,2010,3442964600
33063,2010,2944575985
20136,1983,7129002249
1266,2009,8309242641
76344,2012,6026600215
64267,1988,2320837422
42922,2014,6946662721
89141,2011,5365716393
50374,2009,6937632118
37804,1971,7329754985
4090,1990,3677769083
99972,2011,4764901315
2881,1972,5382770343
40296,1997,4871740436
56065,2003,8934884524
32351,1973,0760784472
31183,2019,4092920711
28826,1979,2783017072
27734,2011,3908691805
23213,2018,1422361285
31420,2009,0606688595
43387,2014,7478293384
88356,2022,1818538844
29937,2014,0691836985
31824,1992,3308840401
77514,1992,1223838946
92184,1997,5530178905
71828,1980,6687323744
64560,2013,5298367389
18127,1992,9823824850
7441,2024,1675544821
99895,1983,7030707365
88054,2009,9985763931
90223,1973,8891786579
26646,1982,2716546790
43040,1999,3296902506
29565,1971,0971509822
86478,2013,0356007507
84947,2016,3627016164
42669,2020,4333179064
96633,1996,7662324963
30119,2023,9242609385
28317,1981,9623307972
15898,1997,9805715072
24475,1976,8601906037
98298,1990,3619323841
72485,2002,1127721653
63914,2000,8550897161
31466,2024,4824938346
24895,1979,2462145380
59809,2001,1586373657
75242,1983,0108366066
37390,2009,1512520434
28199,2009,4243760009
66390,2017,8456775484
41574,1970,8419082900
67359,2000,6909449802
63489,1989,8327222499
78578,1997,3684994716
99911,2020,6860301138
59908,1975,0808899942
66203,2023,6127548585
2351,1999,8983133379
45795,2015,2379082818
95636,1995,4881562330
35117,2004,5083221337
26406,2002,3839823354
16365,1985,0565722095
7416,1986,5470149867
34691,2013,5372111852
72419,1991,9297222939
28670,2003,2865128932
91467,1998,5496199196
45345,1989,7888359675
22519,2014,0701578742
78676,2004,8585538019
33426,2017,0269041773
77814,2020,6501655393
91633,2024,5783140559
85651,1975,4781076513
48699,1988,1815883167
71378,2001,5985544854
15585,2011,1579260894
21611,1977,8043241614
90668,2011,6082310682
86807,1975,4937581233
49025,2004,6875548577
57987,2014,1839711842
26646,2016,3618912971
74706,1977,1980575283
33376,2018,7110205481
93344,2011,7773817032
20135,1988,8552444244
23794,2001,8299647809
94309,1974,9543396762
82230,2000,1717695433
38910,2013,8811704106
32510,1992,2979298912
46844,1987,1003623392
83774,2001,8676430768
80695,1972,2342194157
62594,2014,5677134779
60165,2012,5594421369
13983,2003,1089495311
48343,2016,6999712989
72899,2009,4406788891
32999,1971,6161474412
10367,1989,8182483698
88929,1976,4425196565
39568,1978,9430986978
90340,1992,4441034205
53429,2022,0425470004
60818,2008,6085782524
57119,1981,4012609003
45933,1973,7303783972
12671,2008,1753512473
48948,2024,6317644588
44470,2011,8843038735
11134,2008,0121206070
21987,1999,2004140739
43329,2013,7042745720
22152,1971,4697203966
56983,1981,3183508016
12287,1995,0529963333
15784,2006,1926162692
36020,2010,4980113551
92788,1987,7575968237
22768,1988,9639726743
1056,2022,0347980342
71916,1980,7151507400
56759,1980,3294727359
60364,2013,1548016236
696,2018,3783394637
50679,1980,5509021511
52213,1981,1008261124
64946,2016,0832463084
33840,1992,7255775850
48457,1973,9626028067
82849,2021,1326117255
88090,1998,5699731883
26855,2022,1727882381
98774,1981,0607875591
88579,1972,7500641896
86974,2009,1797976840
55593,2016,6475335747
9947,1994,3257459129
87914,2013,1218088093
3986,2005,0143153469
16313,2004,7599650844
71977,1981,3292602968
42550,1987,9837827828
24947,2004,4894043656
75481,2022,5172698811
77540,1977,0289360982
88771,2006,7652818750
45161,1985,5195231181
2656,2006,2008290971
33998,1989,0283302439
54411,2021,2625307660
96646,1996,3013056703
13208,2024,3108299360
40556,2003,1772624316
20182,2012,3367748830
95519,2017,5149230006
71238,2009,3365888739
26940,1979,3051571844
23066,2008,6615729600
17342,2011,2042025538
93005,2013,6999893035
97419,2000,9542286145
93566,2022,5978092418
26396,2009,4244986702
45457,1986,5332658299
18216,1971,8373743143
42449,1973,3642660229
22839,2006,1594245082
72199,1971,5591408695
50307,1992,6577068741
73432,2015,8677505148
35712,2015,8776308087
75012,1998,6769618383
38861,2002,3986800974
81170,1985,1202694986
35494,2021,8999259045
93040,1997,7398230012
8942,2017,1002866077
89554,2008,3738420317
71064,1985,8637496310
66711,1986,8029677596
25272,1970,6267833635
1513,2003,4453082806
82307,2017,4567652583
14616,1990,7155070985
11564,1983,7586233112
24405,2009,7444550880
64596,2015,7546552303
56931,2019,6611058461
71844,1987,4828637249
14365,1989,6996325042
22481,1972,4738215081
59649,1989,0384946132
45844,2010,2931545820
47260,1997,5502257728
80314,2005,4186416916
80851,1999,9460795215
10860,2001,5584829137
4106,2006,5406508483
20470,2010,1815938871
55564,1974,5296769535
19966,1991,6336387516
70576,1990,8010932043
20003,2022,5507415588
55951,1979,9494441874
69329,2010,7129976360
92687,2022,5542074987
37313,1976,3066913827
33600,1994,4540616714
39750,1975,8179483634
88124,1986,3853503430
47685,1992,5350087683
53463,1986,4057064602
53322,2008,8252366778
71120,1985,2301163213
96864,1988,0977658890
25381,1973,6614303695
88639,2021,2388832267
56611,2005,7212620092
14433,1972,8127099334
77230,2007,6418503252
18512,2000,3043347869
9266,1985,9069757559
37637,1976,2165652037
8381,1992,2308606704
84522,1996,2799932984
24942,1977,1652171046
76177,1987,0271844963
73426,2003,3274472261
55401,1971,4615238833
51928,1990,6445319866
1925,2018,6095198520
76583,1990,5306313250
53344,2024,4285518015
5796,2000,6408674575
86914,2001,8736093486
54511,1996,4167231881
87197,1993,7429800428
57568,1992,1096541151
99899,2007,9762124648
80405,2015,6190685250
65107,1975,7309078399
4036,1978,2480390247
50821,2009,8285722119
65656,1992,6223532775
61326,1980,0177231384
50568,1972,4691339926
31275,1982,9294525979
52698,2020,0618146461
48321,1972,9866183035
26539,2021,9640569458
12112,2012,6961753829
23126,1970,2004139475
13882,1984,4509751605
52031,2012,3456635583
30758,1988,5529241606
54360,2006,4874332937
3196,1989,2895120276
50667,1998,6750453826
39241,2021,6670273760
92728,1989,4028786604
61753,1971,4020977878
24593,1976,9880777873
16892,1974,2085254391
3675,2008,8371391966
85742,2003,4750945344
28579,1986,5787629878
42695,2014,7483806357
84984,1982,8792288935
2520,2013,6985220486
81286,1993,9210707920
33280,2002,5800913923
34890,1983,1694954115
86128,2003,7021801852
61623,2000,9675625721
44945,1970,2565143418
9424,2019,3837975499
66432,1996,6183146265
42669,2006,2277635136
76833,2022,1838673059
96827,1999,7324210893
83925,1985,0405893454
58202,1987,2083983433
73767,2006,8050405729
32526,1996,3116180542
54079,1994,5008825732
31633,1978,4244106916
61496,1977,3893576700
60381,1990,4263723538
85351,2006,6583640331
29782,1982,6992722081
58633,2010,0127005389
64672,2009,0665550283
81172,1994,0709400724
81781,2001,1932161033
40368,2010,9195687397
39640,2015,5639584429
99089,2009,8395622911
44327,1983,4055411946
54057,1987,6547316538
59351,2021,3193789374
22609,1981,0065281143
97412,1979,6401237677
14446,2006,1031280773
90356,2023,7211726323
4794,2010,9052490891
70743,1985,0829051888
58907,2015,4711105647
17918,1970,8825384274
52209,2002,9483327660
2913,2004,8508130957
43479,1997,6805845392
39746,2007,2396309033
36571,1989,0454010278
55017,1994,2954654327
44853,1992,2702982622
53838,1975,8379512317
78324,1988,4727375662
19304,2003,9783696328
43300,1971,9233790111
25499,2001,4845318969
7742,1982,1301972075
81442,1994,1516428019
24006,1982,3447791245
21956,1985,5500643267
26751,2015,9910996970
20459,1974,0031147648
6074,2015,7186463502
94012,2016,2805893468
49464,1996,3811137231
66909,2006,4669090587
82433,1979,2431400258
18917,1973,9900265469
7097,2022,5225447329
50694,1995,8665498556
4941,2009,3252339431
54976,1998,8127786895
87636,1989,5858163021
90228,1997,6968151813
78345,2005,2791561013
90690,1980,3503230512
3554,2023,5936539015
63672,1976,6621623413
41310,1981,0535368245
48578,2023,7610598085
38767,1997,2319152124
15839,2022,0878711285
13867,1989,8793469766
21052,1998,8932568129
27322,1997,5576833173
94365,2009,8183880195
43877,1998,0848768694
95392,2015,1653276984
15523,2016,1970674765
15870,2018,6784840997
14871,1990,6154716693
42325,2014,3817509213
35738,1975,2242836613
66178,2021,1176595983
40515,2003,4886884120
73140,1989,1666454967
63385,1972,5032941731
82098,2004,8237194409
94123,2024,3716721297
51691,2019,3764388820
96255,1971,4697289485
99873,2015,1388095712
46626,2017,1916037219
34509,2020,9253469872
90439,2018,0815723311
56230,2016,4385330251
69968,2019,0263328531
93996,2020,2124043915
64845,2023,4808443983
96517,1980,1774712480
11704,1986,5968919432
35154,2010,5149591122
95349,2023,8981079411
88052,1980,9884713896
21966,2004,1991755825
6312,2014,0981249229
66696,1982,3871232908
88545,1999,3857144471
50899,2020,1918313998
99291,2005,7419151934
11305,1987,4548206887
51116,2011,8655626186
42708,1977,8349238579
8983,1981,9902828334
28527,1983,0529371133
66327,2007,7136258963
630,2018,2349094332
12181,2018,2173847346
33193,1984,2989768483
39685,1983,3915304302
96467,1986,3862885005
12301,1991,7203626318
375,1986,3109566321
7288,2000,9910356153
31032,1978,3010620746
28949,1982,7408866226
98459,1992,9654123707
19802,2020,6735668344
45979,1995,9090811470
38092,2004,0262200214
16844,2013,0079077951
20422,2004,6666517881
74825,1980,7072113178
1532,2003,3215331222
57455,1976,7098686551
84803,1995,2247397634
33619,1976,4386552439
18462,2022,1936383162
76376,2000,9767978172
42809,1998,8297958382
59701,1982,4911709681
46717,1994,0866057490
72634,1990,4715507185
91100,1980,4806758394
65891,1993,9377747093
34936,2011,7359686929
40457,2015,6819217483
196,1998,2117517331
66781,1981,6410340926
52287,1980,2752925508
1101,2017,4490573129
27472,1991,0162961525
93698,1987,0651609262
28847,1995,4158194620
20119,1971,6188985976
73450,1987,3853867452
10468,1983,4709946271
30865,2019,0887392224
55962,1978,9542696406
34936,1993,5489571890
8074,2011,7399910080
81567,1994,6655396619
45699,1987,0752728699
4960,2020,8411579992
2146,2012,5679179487
22631,1998,2479889329
72005,1989,1341079595
79102,1988,1827096337
36944,1972,2438360791
6103,1974,7322181302
46844,1996,1687568626
64193,2006,0398722948
32050,2003,5316973486
30308,2024,3620006256
70636,2009,3982258559
89792,1975,7086586544
26446,1997,3245839908
46904,2005,4142329942
85953,1992,7028206081
39695,2009,0555255742
22855,1985,9853308820
44394,1972,3535723839
58434,2015,5092219046
92728,2013,3451111819
59364,2011,7266914756
55300,1992,2084675544
68868,1993,1180018326
56395,1996,9636526066
70335,2021,2828376316
45876,1971,0314185287
51423,2007,3458875650
66613,1970,1428368116
55593,2000,3585156172
88805,2024,3803526169
696,1989,5447607802
27321,2009,2309168173
91171,1999,2558347288
76675,1970,5172462272
37128,1984,9091341759
517,1972,3572674254
40794,1973,0516572698
77814,1973,9524316819
64358,2013,9955532557
79745,1987,7429631827
58117,1988,1094631704
12637,1986,4311625921
89545,1976,9298324906
55145,2020,3795008179
67642,1998,5553595276
75532,2004,0171861474
15054,2000,1793936273
14768,2010,9477701475
20003,2020,1868158848
2804,2021,1909765771
19043,1986,9160533139
40322,2022,1272743849
81053,2023,7167820600
96892,2023,3634322477
46983,1977,1133424646
92323,1970,2932714797
58398,2020,4700082032
25635,1973,9178620206
11499,1972,5087673579
60824,1981,2464643337
57722,2021,3350878828
46951,1997,1342768904
82100,2021,9901056596
49174,2020,7170355098
94800,1972,5526677908
49843,2009,0732231982
99040,1998,7179862790
72771,1971,1360013226
29096,2010,5165164767
1357,2013,1473838712
30298,1992,2131897904
43368,2019,2812879958
97459,2004,0425050334
41275,2001,1464958028
2805,1980,3176827692
57279,2017,1078160192
41561,1972,4562863317
25381,1978,2763208708
82068,1976,8928243685
28180,1991,2011987184
64352,2005,9675361483
4285,1974,7737636819
13085,1995,2401461161
75957,2013,2752789567
25495,2003,7066453034
3137,2024,6508710852
74076,2005,1426647764
41877,2007,4662833412
22578,2019,6819853257
68798,1988,6160455113
54239,2001,0545921550
72332,1992,0175137295
24259,2009,2616671782
92610,2011,1110922713
12946,1999,1807031578
19096,2007,3906027144
42361,1999,4401158902
21970,2024,4401440384
1469,1974,3226508457
21268,1981,8046601743
61440,2014,3169966811
20615,1976,3217843844
31599,1972,0525122575
89994,2008,7562123386
46589,2009,8721250522
68715,1982,9333236164
79103,2022,1207982067
7729,1970,3460460591
46622,1985,8792124432
99319,1980,3670402592
71407,2015,6898177719
66327,1987,9352830547
11634,2002,6600722050
52366,2000,4685382820
55028,2015,3562130277
80967,1987,0111060661
80922,1995,6980932044
48321,1987,9423926870
33528,2018,6374455791
94946,2002,2624962961
96039,2024,6089773944
39200,1974,6949957101
1041,1987,2372522655
50679,1986,6342726012
11510,1985,1581115392
62914,1982,0506034240
45255,1991,2619773255
96633,2017,2546552908
67647,1993,4484450985
20470,1987,5287064557
23011,1977,8562518180
69093,1988,9869622934
41718,1995,3860417764
47115,1991,1422146155
12439,1975,0966222845
6877,1979,0234702653
38233,1993,3151778289
85665,1991,1236735865
81172,1985,2588578480
73399,1979,1321171732
8880,2021,5272035898
70234,2004,0087006709
99490,2007,0661432118
76076,1982,6962503333
32109,1988,7232109032
54879,2011,1621093908
60310,1990,3706269366
90289,2021,0647587677
93064,1988,3918415629
7673,1995,1541651868
31511,2006,1939112905
42609,2000,1641298937
70733,1978,7476374857
26396,1991,2525566944
71203,1992,4564158644
38739,2012,1633308828
19214,1982,9132877366
76177,2015,4606048725
36657,2006,8261215289
50099,1998,0195567434
39293,2021,0366670907
10089,2009,8837466675
33575,2010,8282137314
81322,2013,1340030345
15809,2017,6874753947
22239,1984,8905939006
25319,2010,1405544915
24718,1995,2241534035
34924,1974,0014595839
37047,1973,8021981426
71844,2002,5439671256
46014,2007,3344189208
83254,2024,1397565419
70733,1988,4999835317
94330,1985,7360737168
57597,2015,4293116139
90796,1986,0312216417
56171,2008,5110124508
60123,1983,7664553307
14533,1996,1287064240
14627,1974,4271084793
78193,2021,3732672914
78758,1983,7193850727
8312,1972,2116625587
10409,1995,1787864388
11830,1983,7834981577
5987,1981,0022787896
57661,2000,8363825446
7921,2022,3549219538
56676,2001,1972736742
68701,1992,0053270909
29700,1978,4056733558
87745,2022,5591973543
91686,2008,3531425113
64009,1978,5920677617
58393,2004,9160587174
10510,2022,1365405543
98279,2002,4420596923
55063,2022,9072759219
59910,1985,2485124552
57344,1986,4020448686
15964,1980,2388922794
64664,1972,1504532705
37897,1980,8624714567
34137,1977,0642943525
25832,1982,0910543521
53344,1979,0356068190
68208,1978,8960498486
19728,1973,3016533798
51691,1986,5711179615
4960,1971,1466245469
94292,1993,9731395089
80085,1997,7621187293
70371,1998,7437330741
54403,2023,9458207473
59965,2012,7745493904
2359,2005,2238296180
16722,2017,6899278750
82233,2009,8636086865
17340,2009,8494060738
22980,1997,6563419129
41029,1982,8597929924
63622,2011,4296601500
51038,1976,4627741122
82299,1989,9895131567
65315,1990,3019617857
46961,2013,4897653446
15237,2015,5751844833
30138,1970,3434414516
73736,1996,3171944313
35312,2018,6632775352
52898,1991,3374721935
43904,2005,4695637809
68948,1972,1407251339
15903,2017,0958985922
36156,2018,3327970214
46920,1999,3499298626
90927,1988,9021779290
11619,1988,5740778492
90812,2022,9060950121
30157,2005,9556966199
53522,1989,4696576614
83215,2021,4175547244
95242,2012,4796624497
31488,2003,5575184114
89791,1995,1948138337
21205,1979,0606628462
50690,2024,1876810189
93111,1970,4032933504
27399,2020,2560000055
81531,2001,8598978624
49054,1970,0793108445
9245,1999,0393183350
84177,1994,4720351786
36737,2017,6433197433
89924,2018,5212934952
90585,2012,7440706007
3137,2020,9755776795
8962,2005,9463026488
75846,1974,6545372227
7755,1999,7508616509
68584,1976,7984917718
46363,1996,6956654018
17445,2009,6549813136
72257,2021,5997573039
1642,2021,3602674264
43040,2024,7283527193
65961,2000,3566650057
99664,1995,8996883499
88561,1979,7689878068
13379,2022,4336827128
76131,1995,3511489043
8959,1975,3134645783
78286,2002,0310235416
70578,2010,6007595926
46262,1997,3249466302
93900,1985,0401923499
14953,2015,9549671858
68903,2015,0720439867
82038,1974,2437438623
61949,1986,5970156769
81376,1970,3546806287
35503,2023,5464867612
17673,1975,8289152095
54411,1982,9058234757
1326,1993,6928596998
92974,1990,6931261510
97471,1981,0604363902
91591,2012,2285605199
25965,2002,5053450936
22006,2012,0463561478
4033,2014,3614619381
93556,1997,3295950994
40132,1996,1650615278
10638,1970,4813496364
28227,1992,3193220783
57569,2006,2928199211
44945,2020,9564846901
83376,2014,8937909071
13117,2000,6686658982
76191,1989,9132133888
31730,1973,6669610373
94975,2017,6793783278
68699,1983,7877531682
56880,1982,1131458132
92322,1994,5798446711
88654,2000,3043889808
81542,1978,2898162395
48959,1984,7825742634
77137,2000,5244974490
29155,2016,7914403900
34034,1997,5380548546
98302,2004,0916160278
89994,2013,3095987723
59999,1975,9271280275
92151,1977,0589951820
16329,1986,7136222151
33098,1992,3471514018
69947,2007,6982216414
43785,2001,3810447762
12135,1998,5914706680
12287,2001,3859319786
45357,1992,5168150384
55665,2006,9086964894
44603,1998,6861373336
88513,1988,4395482858
87866,1983,0804239475
81427,1979,1845345857
62845,2002,8389275798
62369,1977,7349959262
1194,2016,8779965230
13013,1987,8520492908
65584,2020,5774988671
80711,1995,1142020687
96302,2007,3811428722
64481,1981,0391086053
46199,1975,5106919305
43613,2000,5529356703
20459,2019,0169303532
52364,1996,9123754151
28507,1989,5404882315
44834,1989,8831428546
1357,2019,7034422484
92081,1971,3992632425
53165,1970,0957433646
33575,2004,1602912700
6877,2008,1215530880
76754,1981,4493364938
80029,1990,6229553163
85356,2005,8829216387
65656,1991,4122119868
70577,2014,8338018861
82451,1971,8639085593
61649,1990,2651087931
43912,2015,5264142141
44840,1972,0421488783
32877,1981,5281588788
26849,2008,8700459609
69078,2006,6115711228
65141,2024,5698786242
10997,2013,6049962017
44603,2000,9887920376
95183,2004,5785631224
90751,1990,5861547104
19038,2012,4889760555
63777,2009,0537952736
38346,2021,5581663612
36230,2001,3928687200
47907,2010,8730240175
20591,1977,8270539526
24424,1976,4949131339
51593,2016,5065050975
28265,2021,5850904279
28995,1973,5483844808
37313,1983,1414392244
3711,2019,9425881671
99551,1976,1224226324
34748,2007,2034602007
12354,2008,7324455882
39222,1997,6011550218
36447,2009,1268205794
2085,1987,9579009383
48962,2012,0908525919
57298,2000,8467524887
64020,1991,9861850408
97720,1993,1149343957
90017,2004,7109655600
78324,1976,3221137913
64030,2018,9442143935
94297,1982,8094661808
11137,2000,0689817155
91342,1988,6002914150
98870,1985,8758879683
80789,1979,9429764949
12044,1990,7863287607
94688,1974,4040834123
69854,2013,3653619303
16654,1991,5042606823
54857,2013,9090010205
12894,1999,8897076266
9142,1978,1253100985
23535,2011,1988250957
16666,1996,2869214445
41530,1980,9796488870
9816,2001,6595676641
84368,1993,8424083918
62542,2014,6303595842
1137,1997,1489464014
17771,2016,8910074660
18409,1993,5823337473
38073,1971,1230271848
98916,1987,0378254704
5503,2006,4907653751
90355,1972,9351844268
88149,1996,7769200497
77368,2004,5515913947
49968,1986,8585920859
53593,1985,9051668953
26933,2005,6782245469
35039,1986,5406459789
929,2000,9385490167
62523,2011,6994174084
7942,2008,5801178669
26032,2013,6142782343
46511,1999,7903378007
29522,2001,9397543797
29085,2011,6198810703
42458,2013,8468448348
18122,1981,6918353007
53450,1998,9111688680
91219,2009,9115164651
50568,1985,4263865751
11499,1986,6806573376
89076,2009,1108639718
98390,2000,4503446420
75425,1989,5713588038
11589,1997,9505307816
13197,2020,5475085769
98402,2021,9836010136
69791,1986,9053004065
56928,2011,2488922560
97739,2024,3104054219
33470,1976,4434961468
94578,2016,3937112778
16329,1973,6098419188
79139,2022,8990663500
96097,2000,7690359613
41101,2023,4163029330
40938,2008,0154526964
8043,1980,1734964936
2046,2016,0194887983
23594,1992,3896212013
58150,2009,2052255104
84528,2023,7144719352
23645,1975,6735650135
19948,1973,2843631148
94010,1997,2996068964
24345,2020,5127580508
19593,1997,2335418124
60826,1999,8971250652
74024,1996,4400360388
83187,2007,6096505864
15917,1987,7541145728
21656,1984,6401006025
62137,1998,7987448043
91413,1974,5806581187
28102,1976,9215519698
97625,1986,0900944438
79139,2013,1129730759
81312,1991,7687974816
56296,2012,4947868143
7481,1977,7289907472
20812,2011,8838018421
97102,1976,4923812355
42257,1986,5441526482
51888,2017,4598248091
71560,2000,5847706195
99179,2016,6384884245
23912,1986,4410004561
69574,2002,2626953695
96864,1979,5602003390
7786,2024,7216175629
27069,1976,2445059484
77385,1980,9869123679
32917,1995,9827470176
73472,1971,0129101932
41549,2002,4451781684
98565,1999,2374741672
36173,1999,1892431595
47965,1989,4541063899
40203,1986,1108880453
36760,1994,7021465781
18839,1992,1634621484
81890,1995,6595171798
85712,1978,0539787784
54348,1984,1073588478
91131,1980,0921609114
