CustomerNo,SalesOrg,DistributionCh,Division
61696,2930,2439,4023
14161,7488,7225,9903
90566,206,1847,4138
78871,7374,8378,4428
38046,9234,410,1050
41970,7334,4388,1729
90501,2353,8685,4206
63414,6074,9150,9644
25771,2561,4529,9944
31241,1017,3592,9252
85240,2850,9160,6339
45191,854,1289,5900
84301,3781,6755,8795
24445,9574,1976,385
26884,865,467,4484
3395,1119,7427,6655
83454,8021,8189,8872
49035,5418,380,4765
1928,7327,8722,5194
18086,6448,2613,6387
29377,9821,1208,6408
36392,8205,7282,750
85800,1994,1469,4479
41479,996,5298,812
72730,9367,2314,4738
44806,1709,1802,5974
34383,8490,3917,5769
38065,9776,3636,5846
35946,5157,3429,1703
56551,4369,9549,1489
76566,2100,629,7467
7706,6131,2101,3248
39643,2603,4413,4028
41140,9703,620,2802
29013,3518,9286,7942
18080,4677,1593,7790
77940,5125,2027,4964
69539,3945,5522,2880
45789,1236,4710,9589
26917,2887,3142,9443
97415,8673,6954,158
51297,9253,3035,8941
57252,3215,3199,5660
26342,372,9735,4902
86592,8483,2622,9393
75722,5554,6235,8809
65141,8092,4674,3939
27383,4018,5824,3859
19249,4461,9009,5300
52967,3301,7642,5018
66831,7008,4262,5033
63729,1479,1677,2400
31093,732,2481,8046
48163,5777,9066,3463
59019,7128,2582,6466
26326,642,8945,3181
74655,6695,3185,4030
83901,4480,4016,3185
65739,1072,5062,4418
15649,9832,6374,4983
31379,6798,3944,7602
3443,8877,851,7475
95125,8632,1425,7932
58927,2098,276,7085
80172,9250,58,171
47531,8222,69,5923
25407,5551,5138,6211
4912,8089,2727,7125
38872,5949,6339,3829
13376,6516,5367,579
85067,1562,6771,1927
7188,3033,3678,5504
18892,4662,9378,2367
40431,222,7960,515
61421,8136,8781,1945
63319,5211,3680,7450
91655,5751,5922,4594
22178,9061,1881,9919
16835,353,8497,690
23153,3603,1094,7218
45835,2741,1021,566
1935,9961,7770,2136
57108,4255,431,2485
15330,5016,4054,3868
79542,7261,6546,1239
97435,8328,3554,193
24721,6840,9995,243
6826,6654,1286,4680
81190,3312,2085,5005
57951,8290,1865,5963
46086,8165,7909,4964
66161,3479,6105,2004
91295,6830,1528,2912
86089,7212,5254,1203
68333,832,8794,3227
4040,6429,1126,8404
80931,5509,2396,4485
61531,9433,823,5640
9712,2188,9861,9323
54769,9069,8809,911
86766,3869,2464,4203
68567,9388,8679,1229
85324,3311,2731,1813
39382,1680,910,1834
49448,9826,3709,4566
60011,3807,5595,8053
65172,2517,8668,4766
27386,6068,3511,6620
11191,9107,8374,4501
91268,7285,8188,7824
67267,9987,7332,2334
32065,9337,1654,2350
94546,1027,5593,9274
99337,2858,8442,590
5636,3824,6834,1394
7466,2536,7969,6561
77103,7306,9858,6076
10169,396,3197,1346
20024,2164,4257,8267
24313,1429,363,8915
82122,7590,5546,6898
63983,5527,9442,9630
59523,290,8689,9562
94126,5197,6643,9574
74005,1006,4518,5731
65182,4546,293,495
65343,3581,9982,7781
27555,7764,3710,4421
94235,1793,7229,2216
38235,3593,550,2795
61887,8793,2412,1716
11124,4027,8502,5076
87442,7509,4222,7836
24472,8048,9741,3347
91543,6080,6252,5539
23451,4829,4500,3125
41492,7350,1867,2053
88709,1462,9508,1021
5486,3113,743,4934
86536,6521,389,9118
38506,245,9283,6847
9050,3071,9528,933
50665,3886,4083,4026
76550,5678,1458,8385
66195,6551,9816,6209
17174,2478,1689,6896
69040,9575,7735,3596
44941,8199,7548,5042
76175,3040,850,9708
51139,6936,3120,3480
72200,4000,4465,8700
87935,5931,1280,5801
11791,1914,6720,4091
6608,2600,1725,5599
16546,7828,205,1788
81295,7667,1280,4013
76581,1293,7505,7039
52675,2989,6640,7598
26873,2894,5516,9976
19348,1163,8442,8447
34619,4388,2944,1275
36735,5630,5777,6755
98670,7577,3579,5099
11991,857,1779,6365
47110,7970,7747,4433
72675,658,6147,3613
61660,8280,8863,4405
84771,4018,6700,8282
14075,8082,7232,7088
74268,3735,9605,2203
79576,3595,2449,8642
79186,3832,9878,6749
61167,9096,9109,1989
23681,1305,6856,7418
68784,6927,6469,3242
94843,5241,8717,555
78101,4029,5889,2251
74265,4318,4086,5971
63539,9596,8570,1222
12485,7511,4275,3736
401,8361,639,7490
33976,9233,5099,7946
9471,4569,936,4926
40084,9838,7669,3456
15461,8026,7842,4295
96263,2392,9502,1162
76001,9582,7038,4503
86427,7402,3399,3435
7866,2323,5827,8958
77036,4483,8857,4095
2993,2916,7364,66
82834,4339,2842,4158
28754,7286,6208,4545
30474,3558,1974,7087
42437,9970,9719,534
31831,2912,2833,2457
7923,2713,7016,5347
34415,554,8794,4734
19985,5733,4214,4401
84827,9146,2057,9495
14228,5408,7270,4320
20320,6527,3289,9470
90463,9834,9826,1779
87100,938,414,9994
47670,528,6260,4728
62509,246,4504,8587
11719,7677,2201,7417
26446,1318,3625,9486
42885,4270,2173,2026
7576,3121,1915,9185
96726,271,192,3175
21706,8865,5966,8309
75764,1191,5239,8324
9982,9395,5028,5879
1146,4359,5723,920
48628,2053,7008,3795
77269,7516,7036,9309
14553,9308,5917,9144
52406,5290,4008,5851
81804,275,4459,130
32937,3316,7815,6001
95112,6526,6539,5072
22298,475,960,6433
71486,5967,3987,8564
21344,4230,9925,216
1033,4661,5972,3982
76961,7343,8908,1986
1630,8654,4496,2664
26786,9524,7454,5876
12939,1390,778,357
18018,1061,2458,729
73715,1185,8888,9053
35166,7596,3579,343
9053,6039,4162,2673
58948,6122,6425,6388
19014,7969,2778,5844
2787,1735,4061,530
92280,9411,1172,365
57974,8841,9315,544
11066,5336,209,575
31407,7948,7142,252
41036,7469,7485,4019
53458,5036,926,5913
36295,1205,4800,1060
17175,5193,1072,9730
87714,7741,3708,3331
48317,6575,1434,9820
10672,7287,355,3558
34870,5911,7204,390
8578,9996,4879,2919
27426,6841,7861,1921
81473,3828,8503,1633
58733,3582,8537,7496
46843,3328,2990,5083
11927,7564,756,7983
97028,5832,7952,1541
52517,6591,6834,1115
39924,6951,8200,8977
9425,126,2859,9627
31286,674,8789,8715
43486,521,9394,1841
32285,1338,7828,5568
27949,2089,4695,5996
14602,7400,9859,3831
44137,923,5335,7361
8320,5509,7223,9874
29502,7478,9913,1056
38331,3632,3514,7099
5614,2854,4836,1741
67489,1177,8900,3171
60580,5057,365,1307
55887,8383,8881,5060
54211,3464,3270,9167
82750,5110,4286,9503
1017,4769,7520,9931
17441,3028,9551,8924
31462,5412,8227,6223
13509,9294,5400,2778
77855,8712,5808,9226
8253,3449,8482,435
24300,3196,1411,6495
36922,4835,4513,2164
77974,6284,1149,5406
84761,3620,2146,730
95295,3851,324,3697
32925,5531,6514,6837
34004,4976,1512,328
10498,2030,7022,7463
26659,7594,3716,4275
30328,5082,7691,5715
35175,963,3722,4215
65462,4957,7788,1541
37952,4967,6543,9492
12783,1626,1493,5183
84450,1531,7737,4290
84677,2582,9475,6688
36323,7643,6074,5374
17147,8034,9211,43
24117,8219,7450,7044
84829,5906,6504,292
83638,4660,1717,9817
58961,8502,3876,9399
87002,880,2531,4226
8174,2279,1750,6596
25897,2388,1014,8960
23085,4288,4558,1005
40674,4962,5888,9660
68689,5730,7596,5609
25167,6202,179,8329
9732,322,4162,4554
10015,5791,9659,4071
60515,9051,9538,7753
28805,2868,9324,803
48155,2412,2135,8921
99571,167,2997,5263
65054,3947,5657,2454
22723,6516,5883,9731
41388,4547,7849,8140
90225,6955,5563,7244
72228,9402,7018,7042
1083,3870,1536,3517
16695,4701,851,7761
98310,515,8889,1184
90276,7289,7071,540
56714,5590,6737,3995
175,2400,9048,9094
15692,2206,772,5645
65060,8145,8969,765
63405,9835,9142,9499
47642,8802,7923,7535
83413,363,4498,3327
26789,6925,9814,5347
18613,2449,8418,9357
15550,2017,6414,1192
38243,7723,4169,8942
46449,1999,552,300
41217,5087,8626,9676
16599,4326,3397,5902
8234,3217,962,2317
79153,1353,6806,6167
28642,6068,6442,1194
53353,320,4295,730
40035,6968,3725,7490
25684,4674,9684,6642
73075,5146,1710,3205
43318,3646,339,3240
13371,1953,3405,4807
33857,599,4517,1155
10891,7883,883,4841
31450,6874,6091,7795
86865,3920,4572,6494
33174,2291,8252,4375
79346,8046,9930,6757
83531,3066,8084,5025
80105,5751,7512,9112
45229,1449,6395,1889
16182,8308,9174,3035
33157,5713,711,3152
65151,9779,5981,9997
49043,70,2382,5197
69195,6366,152,1065
13814,8804,2966,4371
4592,2750,6843,5084
31318,3382,2646,9822
16089,9109,3111,3751
95966,4175,7497,1440
84632,8499,1882,2428
84648,4294,3860,9735
89232,6796,9296,1042
65826,5300,1520,3604
14755,3762,2827,3157
41668,3818,2482,6677
42367,5585,7704,6700
93295,8750,6006,8294
91594,1928,9170,1091
21208,1242,4517,6337
58216,5559,4687,7777
28077,9073,7147,3381
48595,5654,8703,9934
47367,7783,1025,9424
11976,3748,1789,6414
87358,3779,8339,7168
92656,5976,8910,6601
9533,3879,551,9977
22939,1471,8498,2403
80818,7178,753,1103
29875,17,9236,6727
21488,6875,4338,4381
97666,4313,8034,3430
66433,4515,2310,8373
12417,4017,5379,847
15578,1090,1943,8433
14387,6337,7679,7952
4757,5909,2224,7765
55679,3585,9700,971
99036,7802,4869,1556
42520,5215,300,1847
52348,1935,4099,4814
39243,7934,7941,321
17215,2783,6322,4753
19731,1089,6771,4102
33000,3669,2441,1479
99873,7704,6621,2308
20820,409,6020,3787
40978,1118,9964,7896
38320,3734,3918,2617
61288,4907,6113,8609
65951,3778,8232,5111
69465,2079,7614,4337
8901,4348,505,5600
41253,4521,8138,7966
18739,2369,9806,1296
97238,2723,9880,6110
61664,9663,8809,8838
59353,2971,7961,3396
47564,7579,1359,9651
75220,7199,2311,9341
97208,5988,1213,7474
11048,4333,1793,7392
92741,5445,3934,9947
90945,6318,6518,7387
84035,4692,7890,6786
44794,771,33,9979
57059,4742,9502,7730
74018,9604,4653,8135
22699,163,7888,3380
79280,3605,5626,2917
35805,6751,386,6501
15818,8285,8534,1005
98133,9073,4475,7216
1420,3370,5761,7681
47289,7898,7025,9466
9183,2586,3439,5291
36178,4032,2256,2770
11966,4244,904,467
21784,3726,4135,5015
58939,6578,1541,1915
39353,6230,5376,5828
97735,8280,2155,8749
59736,700,3740,602
11385,3183,85,3320
78565,5260,9838,3801
92833,1586,7773,9807
29296,39,1143,2787
16119,9274,2008,3996
36802,4947,2467,3966
42394,7217,8813,39
59806,3690,7705,7249
80458,4786,2948,4955
2018,3738,4402,6910
86105,2418,3732,9358
68293,9512,6109,2116
48877,9883,4183,6577
17001,709,9228,3473
60196,7717,708,8642
49156,9830,9622,1
52578,8035,3747,4243
82081,8781,4213,8711
24208,1280,8098,4134
20303,1109,3569,9074
29009,7068,9535,417
38140,3806,8910,9466
27330,7087,1008,9229
82073,2957,8844,969
77820,1195,4352,750
24332,1857,637,2092
53717,1111,9559,7289
44149,3096,1534,4653
22143,8606,4682,4948
52523,5256,5854,5733
42152,7392,3717,2503
24751,7058,7700,5802
37650,9498,6878,1578
2665,3635,8898,111
98136,9784,7462,6541
88788,164,6625,6952
47370,4653,2029,9102
93765,9006,2216,7553
45981,2903,7298,651
39418,3350,5490,2935
24904,9619,3891,4791
45122,5878,9367,7140
81690,9648,7115,5539
19261,9848,918,2626
87113,1154,5844,2618
28236,6625,6563,7135
92258,5284,4335,342
21909,4085,8729,5847
29955,1549,8679,428
34261,8151,8197,4235
12000,5894,788,2701
29263,790,7191,4140
35588,7721,8555,5536
26385,3633,7347,1675
88264,4790,2639,9744
74332,1849,842,262
45576,1101,1690,5688
25318,5124,9582,4094
12250,3098,2964,8199
69716,5199,2280,4311
58810,4147,4825,3616
34600,3312,8910,725
47709,9346,8016,1842
46628,7107,3351,8461
98513,3235,6480,6648
63477,6548,6269,8431
62158,6749,4460,6762
63920,3509,1256,7288
1542,7186,3997,7440
76431,6090,147,416
94562,890,8288,879
33817,4920,695,4692
50900,802,9075,9052
34428,5977,8691,7389
81529,250,1778,7842
58425,8730,6752,7244
98750,756,2859,3770
7007,7153,6221,464
72048,8893,4526,8977
85545,2043,2117,2953
72356,1568,2854,9584
30770,5160,1299,5380
13646,4801,6780,9086
1081,2133,2117,6921
17360,4673,7860,2566
87333,6386,4594,6825
25024,911,2371,448
32548,2077,2483,5248
9786,2226,2070,5908
47786,8910,324,415
74086,4793,3989,7438
74303,5909,8552,5520
45621,838,3751,3696
57949,162,4101,3763
79396,4479,9441,3336
25110,9151,3580,1309
27650,8545,2782,619
63970,9239,1416,245
70247,533,6449,7894
33285,474,33,8700
90838,2985,2291,7646
80085,3061,7287,2628
9248,5136,3750,325
2881,3666,3906,395
50202,3857,7245,3929
25203,6666,7509,1219
37635,2477,4799,2901
22241,9871,5222,8870
45741,6845,6305,8939
56855,7936,2057,9916
37021,7043,3918,1295
87986,3078,1343,1711
66645,7342,4881,2462
9772,3868,1641,8264
73895,709,5350,6542
99086,1669,2725,9379
8113,7928,228,9888
71721,1794,3661,5881
4047,4881,5178,1071
16071,7131,9626,7164
91038,9239,7107,6083
93063,9130,1407,2124
40830,9380,6457,7409
20097,1012,9812,9567
65891,1284,517,4879
77422,3985,7297,2749
16845,4890,1137,5604
67179,592,731,1437
94216,2138,8593,1771
37236,2530,3223,4474
96647,5291,2798,7056
40909,5179,7563,4881
23551,9214,4801,1406
36524,576,7091,2077
78725,2368,235,1290
24604,7533,8653,6745
91385,2517,2227,6635
91150,8609,2876,56
98472,1800,4973,4766
73230,8212,184,6067
43717,5638,2943,5091
39679,3227,13,1727
67666,3860,3702,1894
78029,7484,8617,2045
97309,3509,2255,9988
44760,3471,4568,1742
84412,3885,7204,4435
37686,9411,554,5716
21579,1004,8593,7715
75380,8055,8113,6127
56905,7706,2642,8635
60022,5089,2747,4252
5918,8937,5696,4631
36601,1073,29,5567
90865,791,9215,4805
90551,6057,7787,9113
16232,4066,8360,2288
63208,5623,5142,8874
73165,6887,4652,1842
41037,8501,6291,4332
83688,7073,9999,3310
75869,623,2314,5129
67100,5817,4514,5813
1967,7131,9042,1656
85998,829,5457,7281
20994,3885,7541,327
17885,5518,4516,2437
3536,4527,361,2066
13279,6004,7488,7672
20345,163,9243,7545
46336,616,2278,1792
97879,5762,3645,8263
80466,4452,2296,7565
40397,4033,5159,2071
20801,7721,7972,3338
6436,5514,6365,3123
60437,5454,3471,2105
4433,6498,2839,2727
61398,8322,3113,1257
21001,4974,3390,7461
70626,588,9990,8703
13655,1674,3381,3374
76766,4366,8575,7547
7362,6538,3256,4743
4570,9923,6207,386
26329,6141,7991,2625
90455,2571,6092,9703
58982,2061,2972,8528
8996,9246,3674,5782
87746,4625,1074,3587
25201,7295,1132,4567
84878,7503,8631,8852
18418,8705,2139,1050
99966,1282,2702,5070
23149,2607,3871,4153
42328,7566,4716,7598
48463,3284,5894,4335
25768,8237,4140,768
94233,6952,3345,8103
84425,6321,7798,3015
47771,221,4194,9061
40792,434,7344,318
61702,3126,9807,4610
5204,3132,8448,609
83462,6407,1018,3073
72726,9912,3694,8950
17254,1971,3939,7486
62122,5200,1261,7419
20805,2786,6986,183
44626,2614,6420,6319
54137,5254,692,3019
88889,5053,3777,5688
7672,425,4178,7658
40264,7109,8554,226
3077,1853,9633,4975
29114,8756,6458,5882
47610,2729,1308,7194
81219,4338,5791,7011
73014,1333,5462,1012
62607,4825,7492,2305
1450,7237,6315,5788
7781,6358,101,1680
88013,7003,9159,4766
68735,3710,6338,3273
76400,8508,920,5253
37403,8199,4485,7090
26724,6126,5189,2539
99257,8217,1355,1555
68777,5285,3788,1048
68309,4025,8868,9573
64124,274,7132,8252
28449,2157,4020,3634
64092,658,5209,2642
44098,3336,1530,6503
84841,9980,8899,8585
79791,8378,703,2010
91061,5593,2462,4087
36506,9899,7336,7042
5010,4317,4499,1133
68264,4299,8490,9442
22086,5660,4271,5589
31940,9707,6203,461
4993,3058,9382,5911
72273,9905,1795,133
31950,5251,1438,9830
74808,6929,219,6669
55712,560,7883,2026
21920,5094,5629,2740
89479,4415,3092,674
51263,9721,5096,3250
38588,5813,1482,8794
7242,5518,9656,2039
52963,7714,4031,2027
91646,6282,8747,3301
16097,1444,8726,4627
57491,8254,9683,3491
48691,2910,8480,2604
66146,8190,7971,4672
29974,8657,893,1940
9906,4109,9115,3657
3526,3340,4381,2872
70841,6665,3408,2533
76848,3007,9024,6964
19896,3553,6956,3087
41692,2890,4475,6943
43036,4933,5024,4613
50889,3858,1465,8638
6177,1456,2432,1960
34139,3630,5735,5954
92147,6045,2450,1018
38144,8893,9837,4117
47931,3531,6482,9440
33883,3969,379,6509
63620,2280,2369,7539
54993,929,6043,6496
63072,9782,8804,3566
64969,8627,2697,6631
64852,9560,957,5441
46696,3263,9092,4475
28532,488,7956,9424
89510,8976,8233,6234
53828,6013,8027,9404
86112,1753,9556,7283
83047,7597,7542,1547
88129,544,7731,7375
45687,4069,817,2883
16105,352,2447,4917
11995,6916,2647,8900
40670,6937,4962,4400
40962,4277,6322,9683
12544,8882,4691,8522
79825,939,1121,5656
50937,8348,2818,2671
77292,7381,2573,4073
95580,911,8931,2992
58422,8812,3914,6428
88309,7193,1467,1336
78192,2661,2430,9791
94795,482,4060,4368
43834,7570,2630,6084
6290,2157,8590,1882
55413,4773,8052,4367
83373,9537,3299,9412
52988,9540,2729,4722
43710,8956,51,2219
36175,9589,7294,3139
35948,4501,5051,236
76515,756,4740,718
34882,3937,4479,9041
38293,5717,1008,8223
24190,8605,1767,2653
18286,1678,1451,247
36792,5363,5771,800
91730,4520,534,7776
59274,8659,5838,2149
70462,4212,4684,1392
62983,3273,5678,2507
8217,5690,8225,791
78339,6970,8987,4854
96348,5685,8742,4420
26443,4618,4907,9132
53921,5311,6087,6544
